순위,업소명,주소,분류,현지인 검색 수
1,러블랑,경북 포항시 북구 동해대로 3310-0,카페/찻집,7855
2,SUBWAY포항남부DT점,경북 포항시 북구 새천년대로 526-0,간이음식,6525
3,스타벅스포항영일대비치점,경북 포항시 북구 삼호로 186-0,카페/찻집,6165
4,환여횟집,경북 포항시 북구 해안로 189-1,전문음식,6094
5,오딘,경북 포항시 북구 동해대로 3320-0,카페/찻집,5869
6,시민제과,경북 포항시 북구 불종로 48-0,간이음식,5793
7,헤이안,경북 포항시 북구 해안로 219-0,카페/찻집,5715
8,스타벅스포항장성DT점,경북 포항시 북구 새천년대로 1255-0,카페/찻집,5559
9,맥도날드포항장성DT점,경북 포항시 북구 새천년대로 1261-0,간이음식,5491
10,포항산림조합숲마을카페,경북 포항시 북구 새마을로 331-6,카페/찻집,5269
11,수가성,경북 포항시 북구 상대로 33-0,한식,4481
12,새포항물회,경북 포항시 북구 삼호로 65-0,전문음식,4344
13,포항바다원해,경북 포항시 북구 해안로 397-0,전문음식,4278
14,스타벅스포항죽도DT점,경북 포항시 북구 새천년대로 486-0,카페/찻집,3911
15,맥도날드포항북부DT점,경북 포항시 북구 해안로 85-0,간이음식,3782
16,어레인지먼트,경북 포항시 북구 해안로 1804-0,카페/찻집,3760
17,홍익돈까스포항양덕점,경북 포항시 북구 장량로190번길 23-0,전문음식,3469
18,마라도회식당,경북 포항시 북구 해안로 217-1,전문음식,3406
19,서민갈비,경북 포항시 북구 칠포로 210-26,한식,3335
20,고바우식당,경북 포항시 북구 중앙상가5길 15-0,한식,3318
21,곤지곤지장성점 [한식],경북 포항시 북구 장량로 17-0,한식,3286
22,마초상회,경북 포항시 북구 칠성로47번길 6-6,한식,3282
23,쿠우쿠우포항상원점,경북 포항시 북구 중앙로 273-0,전문음식,3219
24,올리앤포항점,경북 포항시 북구 창흥로 89-0,외국식,3192
25,냉수면옥,경북 포항시 북구 비학로 397-0,한식,2911
26,버거킹포항법원SK점,경북 포항시 북구 신덕로 257-0,간이음식,2854
27,수가성장성점,경북 포항시 북구 법원로20번길 6-0,한식,2851
28,스타벅스포항양덕점,경북 포항시 북구 장량로 162-0,카페/찻집,2799
29,청하시장식육식당,경북 포항시 북구 청하로200번길 10-1,한식,2750
30,어니스크장성점,경북 포항시 북구 법원로11번길 30-4,간이음식,2723
31,피즈,경북 포항시 북구 새천년대로1173번길 15-55,전문음식,2618
32,반송정국시,경북 포항시 북구 해안로 2796-0,한식,2567
33,애슐리퀸즈포항점,경북 포항시 북구 중앙상가길 6-0,전문음식,2391
34,스타벅스포항중앙점,경북 포항시 북구 불종로 41-0,카페/찻집,2367
