순위,업소명,주소,분류,현지인 검색 수
1,스타벅스경산중방DT점,경북 경산시 경안로 222-0,카페/찻집,14136
2,성화축산,경북 경산시 삼성현로 915-0,한식,6832
3,파스마,경북 경산시 한의대로 96-0,카페/찻집,5306
4,커피명가본,경북 경산시 임당로 230-0,카페/찻집,5100
5,인포그,경북 경산시 삼성현로 902-0,카페/찻집,4881
6,마고 포레스트,경북 경산시 경안로73길 20-0,카페/찻집,4158
7,연지곤지[한식],경북 경산시 삼성현로 558-0,한식,3322
8,만복이쭈꾸미낙지볶음본점,경북 경산시 경산로 185-0,전문음식,3088
9,스타벅스경산임당역DT점,경북 경산시 대학로 208-0,카페/찻집,3024
10,사동전통손칼국시,경북 경산시 원효로36길 19-0,한식,2940
11,카페평산,경북 경산시 삼성현로 587-0,카페/찻집,2882
12,미즈컨테이너대구대학교점,경북 경산시 대구대로 201-0,외국식,2832
13,오던,경북 경산시 압독로 199-0,카페/찻집,2777
14,수페부엌사동본점,경북 경산시 백양로33길 4-0,전문음식,2596
15,우즈베이커리경산포레스트점,경북 경산시 삼성현로 548-0,간이음식,2588
16,동천면옥,경북 경산시 계양로16길 70-1,한식,2586
17,분보남보,경북 경산시 장산로24길 21-0,외국식,2578
18,스타벅스경산하양DT점,경북 경산시 대학로 1417-0,카페/찻집,2496
19,건강밥상수,경북 경산시 경안로6길 4-0,전문음식,2430
20,버거킹경산사동점,경북 경산시 백자로 55-0,간이음식,2378
21,정박사삼계탕전문점,경북 경산시 경안로50길 40-3,한식,2343
22,남매지,경북 경산시 원효로 78-0,한식,2264
23,몽짬뽕경산점 [중식],경북 경산시 원효로42길 27-16,외국식,2262
23,롯데리아영남대DT점,경북 경산시 대학로 316-0,간이음식,2262
25,맨인더키친성암점,경북 경산시 삼성현로 110-12,전문음식,2174
26,복어잡는사람들본점,경북 경산시 대학로 77-0,전문음식,2143
27,목정[한식],경북 경산시 삼성현로 585-0,한식,1968
28,폴바셋경산임당역DT점,경북 경산시 남매로 255-0,카페/찻집,1966
29,대천숯불황우촌,경북 경산시 서상길 45-0,한식,1948
30,마고플레인대구대삼거리점,경북 경산시 대학로 1383-1,카페/찻집,1895
31,후버,경북 경산시 솔숲길4길 6-14,카페/찻집,1892
32,옛진못식육식당,경북 경산시 원효로 440-0,한식,1870
33,파라글로우,경북 경산시 공단7로 3-0,카페/찻집,1853
34,정코다리경산본점,경북 경산시 원효로36길 16-0,한식,1800
35,스페이스임원,경북 경산시 금호강변로 700-0,카페/찻집,1767
36,남산식육식당,경북 경산시 산양1길 6-0,한식,1637
