순위,업소명,주소,분류,현지인 검색 수
1,모에누,경북 구미시 봉한3길 4-0,카페/찻집,9638
2,맥도날드구미인동DT점,경북 구미시 인동북길 155-0,간이음식,5666
3,맥도날드구미형곡DT점,경북 구미시 형곡중앙로 31-0,간이음식,5517
4,삐에노,경북 구미시 신당1로4길 5-6,전문음식,5332
5,낭만쭈꾸미본점,경북 구미시 산업로 193-84,전문음식,5007
6,스타벅스구미광평DT점,경북 구미시 구미대로 188-0,카페/찻집,4878
7,순수가성,경북 구미시 인동북길 99-0,한식,4796
8,맥도날드구미옥계DT점,경북 구미시 옥계2공단로 390-0,간이음식,4750
9,폴콘구미점,경북 구미시 선산대로 11-0,간이음식,4666
10,한채쭈꾸미,경북 구미시 공원로 328-0,전문음식,4186
11,스타벅스구미확장단지점,경북 구미시 신당1로4길 19-0,카페/찻집,4139
12,맥도날드구미도량DT점,경북 구미시 야은로 447-0,간이음식,4109
13,스타벅스구미시청DT점,경북 구미시 송정대로 27-0,카페/찻집,4102
14,더펠리즈,경북 구미시 칠성로 99-0,전문음식,3795
15,스타벅스구미금오산DT점,경북 구미시 금오산로 205-0,카페/찻집,3765
16,스타벅스구미상모DT점,경북 구미시 금오대로 439-0,카페/찻집,3631
17,스타벅스구미문성DT점,경북 구미시 들성로 207-0,카페/찻집,3535
18,산동장안식당,경북 구미시 강동로 840-0,한식,3229
19,아웃백스테이크하우스인동점,경북 구미시 인동가산로 14-0,전문음식,3175
20,원조조방낙지,경북 구미시 송원서로6길 41-1,전문음식,3097
21,피크파크피크,경북 구미시 옥계2공단로 558-8,카페/찻집,3092
22,곤지곤지남통점,경북 구미시 금오산로 217-20,한식,3029
23,투썸플레이스구미상모사곡점,경북 구미시 상사서로 164-0,카페/찻집,2940
24,스타벅스구미도량DT점,경북 구미시 야은로 312-0,카페/찻집,2838
25,스테이550,경북 구미시 송정대로 102-1,카페/찻집,2833
26,리안중화요리[중식],경북 구미시 인동20길 6-0,외국식,2776
27,스시소담,경북 구미시 박정희로 114-0,외국식,2770
28,다담뜰한식뷔페구미점,경북 구미시 금오산로 110-0,전문음식,2765
29,고메스퀘어구미점,경북 구미시 야은로 296-0,전문음식,2683
30,오름식탁,경북 구미시 산업로 191-13,전문음식,2634
31,브로드웨이베이커리카페,경북 구미시 산업로 191-13,간이음식,2614
32,순수보리밥,경북 구미시 봉곡남로23길 30-0,한식,2523
33,금오당,경북 구미시 선기로2길 6-0,간이음식,2479
34,김태주선산곱창구미본점,경북 구미시 송원서로 77-0,전문음식,2388
35,커피명가구미해마루밸리점,경북 구미시 해마루공원로 21-0,카페/찻집,2344
36,배키우동,경북 구미시 금오산로18길 6-14,외국식,2303
37,너와숲,경북 구미시 들성로 171-34,카페/찻집,2257
38,로로리,경북 구미시 야은로 213-21,카페/찻집,2180
39,소풍수제초밥전문점,경북 구미시 봉곡남로 49-0,외국식,2174
40,구미칠곡축협한우프라자,경북 구미시 봉곡로 20-0,한식,2143
41,파스쿠찌구미금오산점,경북 구미시 금오산로 219-0,카페/찻집,2128
42,빠리맨션,경북 구미시 금오산로20길 4-1,전문음식,2110
43,샤브마니아구미신평점,경북 구미시 구미대로 391-0,전문음식,2060
44,460정육식당,경북 구미시 새마을로 74-4,한식,2051
45,전원숯불구미사곡점,경북 구미시 새마을로 94-0,한식,2008
45,피크닉브릭하우스,경북 구미시 인덕1길 150-0,카페/찻집,2008
47,목마식당,경북 구미시 강동로 177-38,한식,1991
48,런던벨,경북 구미시 봉곡남로 20-3,카페/찻집,1975
49,취팔선[중식],경북 구미시 신시로16길 37-0,외국식,1968
49,팔팔순두부,경북 구미시 산책길 85-0,한식,1968
51,춘자식당,경북 구미시 신당인덕2로3길 22-2,한식,1909
51,SUBWAY구미시청점,경북 구미시 송정대로 23-0,간이음식,1909
53,파스쿠찌구미인동점,경북 구미시 인동남길 130-0,카페/찻집,1908
54,진평초원삼겹살,경북 구미시 인동남길 6-0,한식,1891
55,동광알탕,경북 구미시 1공단로7길 86-9,한식,1864
56,황장군공단점,경북 구미시 수출대로 152-0,한식,1855
57,투썸플레이스구미확장단지점,경북 구미시 신당2로 9-0,카페/찻집,1814
58,해평가마솥국밥,경북 구미시 숭선로 433-0,한식,1794
59,따식이,경북 구미시 들성로 154-0,한식,1761
60,농우마실,경북 구미시 송선로 502-0,한식,1721
61,천안문[중식],경북 구미시 봉곡로10길 10-0,외국식,1715
62,롯데리아구미신평DT점,경북 구미시 구미대로 389-0,간이음식,1704
63,스타벅스구미공단점,경북 구미시 1공단로 212-0,카페/찻집,1701
64,벨빌베이크하우스금오산점,경북 구미시 금오산로 217-11,카페/찻집,1641
65,복터진집산동점,경북 구미시 신당2로 69-0,전문음식,1637
66,싱글벙글복어진평직영점,경북 구미시 인동26길 11-0,전문음식,1618
67,스타벅스구미옥계점,경북 구미시 옥계북로 20-0,카페/찻집,1609
68,교동면옥인동점,경북 구미시 인동북길 109-0,한식,1595
69,오투쭈꾸미금오산점,경북 구미시 산책길 55-4,전문음식,1593
70,구미한우협회직판장,경북 구미시 송림2길 5-0,한식,1582
71,싱글벙글복어본점,경북 구미시 역전로 10-0,전문음식,1561
72,산호횟집송정점,경북 구미시 신시로16길 91-0,전문음식,1544
73,홍익돈까스구미점,경북 구미시 봉곡남로 180-0,전문음식,1543
74,스타벅스구미인동점,경북 구미시 인동가산로 9-3,카페/찻집,1518
75,산동식당,경북 구미시 강동로 1001-0,한식,1515
76,SUBWAY구미산동점,경북 구미시 신당1로 58-0,간이음식,1501
77,밥을짓다,경북 구미시 송정대로 121-0,한식,1476
78,가가스시,경북 구미시 상사서로 104-0,외국식,1464
79,와촌식육식당옥계점,경북 구미시 산호대로32길 6-0,전문음식,1460
80,KFC구미옥계점,경북 구미시 산호대로29길 20-7,간이음식,1436
81,천생산오리사냥,경북 구미시 천생산길 38-0,전문음식,1434
82,소담촌구미산동점,경북 구미시 신당1로2길 5-0,전문음식,1428
83,도개다곡묵고을,경북 구미시 원대로 163-0,한식,1427
84,폴이네키친,경북 구미시 인동중앙로5길 28-5,전문음식,1424
85,상송식당,경북 구미시 상무로 608-6,한식,1423
86,가베문릿,경북 구미시 옥계신당로5길 33-6,카페/찻집,1421
