순위,업소명,주소,분류,현지인 검색 수
1,군위이로운한우,경북 군위군 간동유원지길 14-0,한식,3153
2,스틸301,경북 군위군 산성가음로 996-0,카페/찻집,2695
3,우즈,경북 군위군 한티로 2034-0,카페/찻집,668
4,카페스톤,경북 군위군 한티로 1525-6,카페/찻집,650
5,신등갈비군위점,경북 군위군 치산효령로 1414-0,한식,643
6,군위민속한우,경북 군위군 도군로 2656-0,한식,629
7,우사랑한우마을,경북 군위군 도군로 2645-0,한식,563
8,군위참좋은한우,경북 군위군 간동유원지길 5-0,한식,536
9,장원쌈밥,경북 군위군 도군로 2577-5,한식,483
10,카페댐댐,경북 군위군 삼국유사로 438-16,카페/찻집,421
11,연화식당,경북 군위군 중앙6길 11-0,한식,416
12,한밤황토집,경북 군위군 한밤8길 46-55,한식,346
13,시골밥상[한식],경북 군위군 한티로 1903-0,한식,336
14,원조거매메기매운탕,경북 군위군 거매2길 41-1,한식,316
15,효령매운탕,경북 군위군 치산효령로 2267-8,한식,303
16,군산집,경북 군위군 창평길 19-0,한식,276
17,화본국수,경북 군위군 산성가음로 688-0,한식,238
18,시장닭발,경북 군위군 중앙5길 12-8,전문음식,207
19,채미정,경북 군위군 도군로 2518-0,한식,173
20,밀양돼지국밥,경북 군위군 중앙4길 16-8,한식,168
21,동산계곡식당[한식],경북 군위군 원효길 200-0,한식,164
22,수복식당,경북 군위군 동서길 41-0,한식,156
23,삼장매운탕,경북 군위군 치산효령로 2242-0,한식,153
24,리틀맨리,경북 군위군 창평길 25-3,카페/찻집,141
25,금상매운탕,경북 군위군 중앙길 36-0,한식,137
26,쉼소,경북 군위군 만석길 15-7,카페/찻집,136
27,팔공식육식당,경북 군위군 창평길 20-0,한식,133
28,엘아르카비타팔공산점,경북 군위군 한티로 2030-0,카페/찻집,131
29,다락재쉼터,경북 군위군 도군로 2488-0,한식,118
30,파워식자재마트,경북 군위군 군청로 75-0,음식점기타,113
31,신공항 한우프라자,경북 군위군 경북대로 3163-0,한식,100
