순위,업소명,주소,분류,현지인 검색 수
1,쿠우쿠우김천혁신점,경북 김천시 혁신3로 40-0,전문음식,5401
2,맥도날드김천평화DT점,경북 김천시 자산로 199-0,간이음식,2951
3,스타벅스김천시청DT점,경북 김천시 시청로 47-0,카페/찻집,2392
4,스타벅스김천구미역점,경북 김천시 혁신3로 26-0,카페/찻집,2136
5,메타1976,경북 김천시 조각공원길 330-137,카페/찻집,1756
6,훗스테이크김천점,경북 김천시 어모로 515-0,전문음식,1499
7,롤링핀김천혁신점,경북 김천시 영남대로 2181-21,카페/찻집,1497
8,커피팀버김천혁신점,경북 김천시 모산길 9-0,카페/찻집,1429
9,우리반상시월[한식],경북 김천시 혁신8로 5-0,한식,1378
10,오하,경북 김천시 새터3길 76-15,카페/찻집,1125
11,배신식당,경북 김천시 배시내길 46-0,한식,1120
12,포레스트키친,경북 김천시 김선로 23-3,전문음식,1063
13,어모유정식당,경북 김천시 어모로 252-0,한식,1060
14,페로어페로김천구미점,경북 김천시 옥산길 2-23,카페/찻집,1035
15,버거킹김천혁신도시점,경북 김천시 혁신3로 17-0,간이음식,920
16,연하루뼈대짬뽕[중식],경북 김천시 영남대로 1398-0,외국식,908
17,오짬땡오늘은짬뽕땡기는날[중식],경북 김천시 어모로 206-0,외국식,905
18,오단이꼬마김밥,경북 김천시 평화순환길 8-0,간이음식,899
19,투썸플레이스김천혁신도시점,경북 김천시 혁신4로 81-0,카페/찻집,891
20,명희네집,경북 김천시 아랫장터5길 15-0,한식,877
21,등촌샤브칼국수,경북 김천시 조각공원길 400-0,한식,860
22,육풍김천혁신점,경북 김천시 혁신3로 35-0,한식,852
23,공화춘[중식],경북 김천시 영남대로 2247-0,외국식,851
24,강성면옥,경북 김천시 구농고2길 3-0,한식,832
25,화타[중식],경북 김천시 옥산길 160-0,외국식,808
26,떡보의하루김천점,경북 김천시 시청로 100-0,간이음식,804
27,만복이쭈꾸미낙지볶음김천점,경북 김천시 조각공원길 246-0,전문음식,784
28,아포수제돈가스,경북 김천시 한지2길 18-11,간이음식,777
29,양조장카페,경북 김천시 옥산길 12-0,카페/찻집,763
30,김천대자연한우프라자,경북 김천시 대학로 51-7,한식,737
31,로기커피,경북 김천시 신촌길 168-0,카페/찻집,736
32,목구멍김천점,경북 김천시 혁신3로 22-0,한식,733
32,근처,경북 김천시 삼락길 104-3,전문음식,733
34,내마음의풍경,경북 김천시 금송4길 34-9,한식,706
35,독도횟집,경북 김천시 용시길 271-0,전문음식,693
36,호박해물칼국수,경북 김천시 연화지길 5-0,한식,691
37,장영선원조지례삼거리불고기,경북 김천시 장터길 64-0,한식,689
38,윤가네촌돼지,경북 김천시 복전길 47-0,한식,653
39,안동황소식육식당김천점,경북 김천시 혁신8로 5-0,한식,630
40,버거킹교동DT점,경북 김천시 대학로 75-0,간이음식,610
