순위,업소명,주소,분류,현지인 검색 수
1,문경약돌한우프라자,경북 문경시 문경대로 1024-0,한식,1963
2,화수헌,경북 문경시 현리3길 9-0,카페/찻집,1556
3,문경약돌한우타운,경북 문경시 문경대로 2426-0,한식,1405
4,뉴욕제과,경북 문경시 금천로 557-0,간이음식,1343
5,스타벅스문경새재점,경북 문경시 새재로 906-0,카페/찻집,1170
6,채가네들깨국수,경북 문경시 온천3길 10-16,한식,1133
7,카페선일,경북 문경시 주흘로 51-0,카페/찻집,942
8,송내촌산나물밥,경북 문경시 가열2길 25-1,한식,924
9,산양정행소,경북 문경시 불암2길 14-5,카페/찻집,898
10,초계한우,경북 문경시 부천로 136-0,한식,885
11,파밀리아,경북 문경시 하푸실길 30-0,전문음식,843
12,한국관식당,경북 문경시 봉명길 5-0,한식,833
13,모심정[한식],경북 문경시 봉생1길 13-0,한식,669
14,카페라밀,경북 문경시 영신로 101-0,카페/찻집,659
15,남부떡볶이,경북 문경시 중앙로 16-0,간이음식,625
15,촌짬뽕[중식],경북 문경시 당교9길 8-7,외국식,625
17,새재할매집,경북 문경시 새재로 922-0,한식,550
18,민지송어장,경북 문경시 민지길 68-15,전문음식,544
19,만복이쭈꾸미낙지볶음문경점,경북 문경시 당교3길 37-0,전문음식,530
20,다온정,경북 문경시 가은로 178-0,한식,485
21,고더스커피,경북 문경시 공단강변길 17-0,카페/찻집,446
22,라루올로수제화덕피자,경북 문경시 새재2길 29-0,전문음식,424
23,미성레스토랑,경북 문경시 점촌5길 4-1,전문음식,408
24,까브,경북 문경시 안생달길 281-0,카페/찻집,403
25,샤브20문경점,경북 문경시 여중1길 13-6,전문음식,376
26,희월재,경북 문경시 영신영강길 34-0,카페/찻집,367
26,카페가은역,경북 문경시 대야로 2441-0,카페/찻집,367
28,대흥숯불,경북 문경시 새재로 51-0,한식,361
29,대흥식육점,경북 문경시 새재로 458-9,한식,359
29,한성에서짬뽕한그릇[중식],경북 문경시 당교7길 35-7,외국식,359
31,메밀꽃필무렵,경북 문경시 신흥1길 11-0,한식,350
32,산중에,경북 문경시 새재2길 36-0,한식,342
33,산천송어회,경북 문경시 흥덕6길 11-0,전문음식,336
34,솔밭식당,경북 문경시 중앙6길 6-0,한식,330
35,투썸플레이스문경점,경북 문경시 중앙로 140-0,카페/찻집,318
36,로마언니네,경북 문경시 오서길 49-0,전문음식,311
37,하초동,경북 문경시 새재로 861-0,한식,305
38,영팔식육식당,경북 문경시 신흥2길 27-0,한식,304
39,카페칼디,경북 문경시 활공장길 115-0,카페/찻집,285
40,투썸플레이스문경온천지구점,경북 문경시 온천5길 2-1,카페/찻집,274
41,백두산가든,경북 문경시 새재로 869-0,한식,272
42,영흥반점[중식],경북 문경시 상신로 6-1,외국식,260
43,윤훈식농가쌈밥문경점,경북 문경시 반쟁이4길 16-0,한식,257
44,벨라테라,경북 문경시 진남1길 152-0,외국식,254
45,초계별채,경북 문경시 부천로 131-0,카페/찻집,250
46,뱃나들중화요리[중식],경북 문경시 뱃나들1길 5-0,외국식,245
47,진남매운탕,경북 문경시 진남1길 210-0,한식,237
48,문경식당,경북 문경시 새재로 920-1,한식,233
49,카페승민씨,경북 문경시 온천6길 23-0,카페/찻집,232
50,문경약돌돼지새재갈비,경북 문경시 새재로 908-0,한식,229
51,한우리식당,경북 문경시 중앙6길 26-0,한식,221
52,문경약돌한우정육식당,경북 문경시 새재로 359-9,한식,214
53,임꺽정손두부가든,경북 문경시 새재로 870-0,한식,213
54,마성식당,경북 문경시 문경대로 1764-0,한식,212
55,미돈가,경북 문경시 서당마길 92-26,한식,210
56,더힐로드33.3,경북 문경시 하푸실길 33-3,카페/찻집,208
57,시장순대,경북 문경시 주흘로 31-0,한식,201
58,영남매운탕,경북 문경시 진남1길 185-0,한식,199
59,동화원산장식당,경북 문경시 새재1길 48-0,한식,196
59,문경약돌돼지참나무장작구이마성점,경북 문경시 은성로 1649-0,한식,196
61,롯데리아점촌점,경북 문경시 호서로 2-0,간이음식,195
62,도미노피자문경점촌점,경북 문경시 모전로 108-0,간이음식,194
63,그램그램문경점,경북 문경시 신흥로 14-0,한식,187
64,복터진집문경직영점,경북 문경시 돈달로 20-0,전문음식,186
65,꽃밭식당,경북 문경시 중앙7길 10-8,한식,185
66,카페하내리,경북 문경시 은성로 1138-0,카페/찻집,181
67,순이네꿈,경북 문경시 주평5길 55-0,한식,180
68,청록숯불갈비,경북 문경시 당교7길 13-0,한식,179
69,파리바게뜨경북문경점,경북 문경시 중앙로 123-0,간이음식,177
69,광부의행복밥상,경북 문경시 대야로 2442-0,한식,177
71,모란면옥,경북 문경시 매봉로 68-0,한식,164
72,돼지네식육식당,경북 문경시 문희로 4-0,한식,161
72,교촌치킨점촌점,경북 문경시 당교로 212-0,간이음식,161
74,만식이짬뽕,경북 문경시 모전6길 27-0,외국식,153
75,파리바게뜨문경모전점,경북 문경시 당교로 212-0,간이음식,151
75,산북손짜장[중식],경북 문경시 금천로 559-1,외국식,151
75,동막골,경북 문경시 매봉6길 3-10,한식,151
78,시골손두부식당,경북 문경시 온천1길 6-0,한식,148
79,명륜진사갈비경북문경점,경북 문경시 당교6길 18-0,한식,146
79,2피자1치킨상회문경점촌점,경북 문경시 영신로 17-0,간이음식,146
81,마당바위,경북 문경시 새재로 898-0,한식,142
82,경미식당,경북 문경시 흥덕로 16-0,한식,141
83,족욕카페꽃마실,경북 문경시 동달길 68-7,카페/찻집,139
84,명성송어장,경북 문경시 동성길 59-0,전문음식,138
85,초계갈비,경북 문경시 부천로 133-1,한식,136
86,샤브마니아문경점,경북 문경시 당교2길 2-0,전문음식,132
86,롯데리아문경시청점,경북 문경시 시청1길 5-0,간이음식,132
88,수정식당,경북 문경시 대야로 2478-1,한식,131
88,서울만두,경북 문경시 신흥로 161-8,한식,131
88,온천약돌한우돼지정육식당,경북 문경시 온천2길 38-0,한식,131
91,희영이네묵집,경북 문경시 은성로 1667-0,한식,127
