순위,업소명,주소,분류,현지인 검색 수
1,스타벅스상주무양DT점,경북 상주시 영남제일로 1683-0,카페/찻집,3088
2,명실상감한우상주축협직영점,경북 상주시 영남제일로 1119-9,한식,2777
3,명주정원,경북 상주시 새잼이길 7-0,카페/찻집,1753
4,청자[중식],경북 상주시 북상주로 539-5,외국식,1104
5,다담뜰한식뷔페상주점,경북 상주시 만산3길 6-0,전문음식,1034
6,루안[중식],경북 상주시 중앙로 177-7,외국식,997
7,상주주막,경북 상주시 갱다불길 147-0,한식,960
8,커피팀버상주풀마운틴점,경북 상주시 만산5길 31-41,카페/찻집,885
9,고려분식,경북 상주시 중앙시장길 29-0,간이음식,847
10,투썸플레이스경북상주점,경북 상주시 삼백로 88-0,카페/찻집,845
11,용궁단골식당,경북 상주시 상산로 35-0,한식,817
12,남산가든,경북 상주시 신서문1길 137-0,한식,774
13,묘봉두부마을,경북 상주시 속리산로 2348-0,전문음식,748
14,누리마을감자탕상주점,경북 상주시 경상대로 2978-0,한식,717
15,카페둥시,경북 상주시 자산길 28-24,카페/찻집,706
16,버거킹경북상주점,경북 상주시 중앙로 186-2,간이음식,699
17,외남반점[중식],경북 상주시 석단로 926-1,외국식,672
18,청기와숯불촌,경북 상주시 대조1길 40-0,한식,545
19,파스쿠찌경북상주점,경북 상주시 상산로 363-0,카페/찻집,500
20,길성이누룽지백숙상주점,경북 상주시 능암1길 11-6,한식,447
21,상주공간,경북 상주시 남성2길 22-0,카페/찻집,420
22,송담추어탕상주점,경북 상주시 경상대로 3275-0,한식,417
23,롯데리아상주점,경북 상주시 중앙로 185-0,간이음식,414
24,새토종왕순대,경북 상주시 함창시장2길 8-0,한식,396
25,농우마실도남농원점,경북 상주시 용마로 359-0,한식,379
26,카페인가든,경북 상주시 동문1길 46-0,카페/찻집,347
26,주왕산삼계탕상주점,경북 상주시 북상주로 75-0,한식,347
26,개운궁,경북 상주시 경상대로 2882-0,한식,347
29,부흥식당,경북 상주시 남적로 6-75,한식,338
30,선산김치곱창,경북 상주시 성동로 16-0,전문음식,333
31,청주본가상주점,경북 상주시 삼백로 258-0,한식,327
32,지천식당,경북 상주시 남상주로 1460-0,한식,318
33,샤브마니아상주점,경북 상주시 경상대로 3180-0,전문음식,316
34,무양주택,경북 상주시 동수1길 67-0,카페/찻집,313
35,샤브향상주점,경북 상주시 문무3길 15-0,전문음식,308
36,모서마을,경북 상주시 백화로 1265-0,한식,306
37,본가장수촌상주점,경북 상주시 부원2길 20-0,한식,304
38,소우리,경북 상주시 경상대로 2950-0,한식,290
39,수라간[한식],경북 상주시 상서문3길 119-0,한식,288
40,녹원가든,경북 상주시 상산로 88-0,한식,262
41,풀마운틴,경북 상주시 만산5길 31-41,전문음식,260
41,쿠치나13Y,경북 상주시 새잼이길 21-7,외국식,260
43,파리바게뜨상주터미널점,경북 상주시 삼백로 91-0,간이음식,255
44,교촌치킨상주점,경북 상주시 상산로 349-0,간이음식,253
45,고향산천,경북 상주시 백화로 1156-0,한식,243
46,FORREST65,경북 상주시 당교로 58-5,카페/찻집,238
47,백강정,경북 상주시 갱다불길 145-0,한식,220
48,낙동강한우촌,경북 상주시 영남제일로 51-8,한식,217
49,이디야커피상주이마트점,경북 상주시 경상대로 3141-0,카페/찻집,211
49,만당[중식],경북 상주시 경상대로 2874-0,외국식,211
51,도미노피자상주서문점,경북 상주시 삼백로 120-0,간이음식,207
52,구프커피,경북 상주시 개운2길 19-14,카페/찻집,205
53,꼼바,경북 상주시 경상대로 3025-8,외국식,203
54,서보냇가,경북 상주시 영남제일로 1971-14,한식,202
55,대한독도횟집,경북 상주시 상산로 215-67,전문음식,198
56,영원식당,경북 상주시 덕담1길 82-10,한식,196
57,문장대식육식당,경북 상주시 문장로 1699-0,한식,190
57,메밀묵촌,경북 상주시 가야로 6-0,한식,190
59,성수식당[중식],경북 상주시 화령남6길 17-0,외국식,189
59,남천식당,경북 상주시 왕산로 186-1,한식,189
61,로그인,경북 상주시 아리랑고개1길 46-0,카페/찻집,188
62,생오리숯골가든,경북 상주시 외답5길 22-24,전문음식,187
63,이오니언,경북 상주시 중앙로 363-0,카페/찻집,184
63,통나무집,경북 상주시 지천1길 43-0,한식,184
65,두락[한식],경북 상주시 식산로 112-0,한식,174
66,들안길,경북 상주시 경상대로 3000-0,한식,163
67,오렌지애견카페,경북 상주시 연원2길 45-19,카페/찻집,160
67,카페여연,경북 상주시 문장대1길 47-6,카페/찻집,160
69,라라코스트상주점,경북 상주시 상서문2길 123-0,전문음식,158
70,조이통통생구이,경북 상주시 문무1길 40-5,한식,155
71,이디야커피상주시청점,경북 상주시 상산로 243-1,카페/찻집,152
72,BHC상주냉림점,경북 상주시 봉양2길 117-0,간이음식,151
72,공아춘수타왕손짜장[중식],경북 상주시 경상대로 3197-0,외국식,151
74,쪽쪽갈비상주점,경북 상주시 무양2길 25-0,한식,149
74,오리대가,경북 상주시 만산들마길 38-6,전문음식,149
76,혜원식당,경북 상주시 금도랑길 21-0,한식,145
77,상주청정한우,경북 상주시 영남제일로 52-5,한식,144
78,칸도라멘,경북 상주시 서성로 2-0,외국식,143
78,파리바게뜨경북상주점,경북 상주시 상산로 264-0,간이음식,143
80,우림,경북 상주시 상서문3길 109-1,카페/찻집,141
80,임금님돈까스,경북 상주시 문무3길 35-5,전문음식,141
82,양평칼국수,경북 상주시 중앙로 313-0,한식,140
83,새지천식당,경북 상주시 문필로 38-0,한식,136
84,홍성식육식당,경북 상주시 남성4길 10-0,한식,135
85,조은매운탕,경북 상주시 덕암로 45-0,한식,134
86,이화정송어장,경북 상주시 남상주로 303-0,전문음식,129
86,명륜진사갈비경북상주점,경북 상주시 상산로 349-0,한식,129
88,백화가든,경북 상주시 백화로 871-0,한식,128
89,신원가든,경북 상주시 북상주로 411-0,한식,126
89,불티나분식,경북 상주시 서성로 36-0,간이음식,126
89,뚱스밥버거상주점,경북 상주시 상산로 305-0,간이음식,126
89,대가야성[중식],경북 상주시 복룡3길 45-0,외국식,126
93,카페소레다,경북 상주시 봉양2길 8-7,카페/찻집,124
94,옛살비용궁단골식당화산점,경북 상주시 북상주로 36-0,한식,122
95,뚜레쥬르상주낙양점,경북 상주시 경상대로 2927-1,간이음식,119
96,오송송어장,경북 상주시 문장대2길 141-3,전문음식,118
97,오복정,경북 상주시 식산로 102-0,한식,115
98,문장대가든펜션,경북 상주시 문장대2길 123-0,한식,114
99,진성아구찜,경북 상주시,전문음식,109
99,태평양횟집,경북 상주시 동문1길 24-0,전문음식,109
