순위,업소명,주소,분류,현지인 검색 수
1,새불고기식당,경북 성주군 대고로 22-0,한식,877
2,리베볼,경북 성주군 덕운로 1433-0,카페/찻집,710
3,트리팔렛,경북 성주군 주산로 454-0,카페/찻집,707
4,별고을한우,경북 성주군 참별로 2491-4,한식,530
5,촌두부집,경북 성주군 지산로 64-0,한식,382
6,황장군성주점,경북 성주군 성주순환로 66-1,한식,322
7,인송쥬,경북 성주군 참별로 1009-0,카페/찻집,283
8,가야경,경북 성주군 동신로 209-0,한식,258
9,카페그날,경북 성주군 참별로 1277-0,카페/찻집,245
10,버섯칼국수,경북 성주군 성주로 3542-0,한식,237
11,산마루식당,경북 성주군 성주가야산로 110-0,전문음식,226
11,카페옐롱,경북 성주군 월항로 560-0,카페/찻집,226
13,파리바게뜨경북성주점,경북 성주군 성주로 3230-0,간이음식,219
14,설빙성주점,경북 성주군 성주순환로2길 64-0,카페/찻집,199
15,마운트리,경북 성주군 성산4길 57-28,카페/찻집,191
16,핸즈커피성주점,경북 성주군 성주순환로 66-1,카페/찻집,186
17,해물을품은짬뽕성주점 [중식],경북 성주군 성주순환로3길 6-0,외국식,181
18,농가맛집밀[한식],경북 성주군 덕운로 1566-0,한식,170
19,전나무식당,경북 성주군 성주가야산로 116-0,한식,161
20,왜관식당[한식],경북 성주군 주산로 382-0,한식,145
21,샤브향성주점,경북 성주군 성주순환로2길 10-0,전문음식,137
22,투썸플레이스경북성주점,경북 성주군 성주로 3263-3,카페/찻집,135
23,재동이칼국수보리밥,경북 성주군 성주가야산로 452-0,한식,128
24,우돈우,경북 성주군 소성길 153-0,한식,121
25,예은바다회,경북 성주군 성주순환로2길 7-14,전문음식,117
26,라라코스트성주점,경북 성주군 성주순환로3길 4-0,전문음식,114
27,감골식당,경북 성주군 경산길 9-3,한식,110
28,할매묵집,경북 성주군 성주로 1598-0,한식,106
29,왕가한정식[한식],경북 성주군 성주순환로 278-0,한식,102
30,장수돼지국밥성주점,경북 성주군 성주순환로1길 5-11,한식,91
31,배스킨라빈스경북성주점,경북 성주군 성산6길 2-0,간이음식,87
32,롯데리아성주점,경북 성주군 성주읍4길 4-0,간이음식,79
33,명륜진사갈비경북 성주점,경북 성주군 성주순환로7길 15-0,한식,75
34,산여울식당,경북 성주군 참별로 1415-14,한식,73
35,돌물레,경북 성주군 성주가야산로 336-0,한식,72
35,소망의뜨락,경북 성주군 참별로 2288-0,전문음식,72
37,가야산왕식당,경북 성주군 동신로 97-12,한식,71
37,청진동해장국감자탕,경북 성주군 성주순환로 76-0,한식,71
39,할리스성주성밖숲점,경북 성주군 성밖숲길 7-0,카페/찻집,69
40,그레잇커피,경북 성주군 성주순환로1길 15-0,카페/찻집,68
40,세온찜,경북 성주군 성주로 3271-0,한식,68
40,만수전복,경북 성주군 관화길 92-7,전문음식,68
43,파스쿠찌성주성밖숲점,경북 성주군 성밖숲길 19-0,카페/찻집,67
44,한돈참숯꼬기,경북 성주군 성주읍3길 50-0,한식,63
45,카페노랑,경북 성주군 벽봉로 89-0,카페/찻집,61
46,리버스카페,경북 성주군 참별로 2503-0,카페/찻집,55
47,성주장충동왕족발,경북 성주군 성주읍1길 19-9,전문음식,53
48,커피인포터리,경북 성주군 도성1길 105-0,카페/찻집,52
49,옥수정식당,경북 성주군 포천계곡로 449-0,한식,49
50,고바우식당,경북 성주군 시장길 43-1,한식,48
50,교촌치킨성주점,경북 성주군 성주읍1길 7-0,간이음식,48
52,성주한우축산프라자,경북 성주군 주천로 333-0,한식,46
53,자담치킨경북성주점,경북 성주군 성주순환로2길 49-0,간이음식,45
53,나무정원카페,경북 성주군 성주로 1780-0,카페/찻집,45
53,성밖수반애[한식],경북 성주군 경산2길 51-0,한식,45
53,부자한식뷔페,경북 성주군 성주로 4190-0,전문음식,45
57,생수장가든,경북 성주군 성주가야산로 277-0,한식,44
58,선비꼬마김밥성주점,경북 성주군 성주읍2길 13-12,간이음식,42
59,양지골쉼터식당,경북 성주군 성주가야산로 106-0,전문음식,40
59,허리케인식당,경북 성주군 시장길 13-2,전문음식,40
61,얼음고을냉면,경북 성주군 성주순환로5길 28-0,한식,38
61,무지개가든,경북 성주군 성주로 828-0,한식,38
63,올리브그린,경북 성주군 창금로 236-0,카페/찻집,36
64,왕만두식당,경북 성주군 성주로 3209-0,한식,35
65,산방식당[한식],경북 성주군 신계2길 29-0,한식,34
66,백운계곡식당,경북 성주군 덕운로 1408-0,전문음식,33
67,대흥가든식당,경북 성주군 참별로 2531-14,한식,31
68,울엄마양평해장국,경북 성주군 성주순환로 234-0,한식,30
69,빽다방경북성주점,경북 성주군 성주로 3283-0,카페/찻집,29
70,카페봄봄성주점,경북 성주군 성주로 3232-1,카페/찻집,28
70,BHC성주읍성점,경북 성주군 성주순환로1길 39-0,간이음식,28
72,단초밥돈까스,경북 성주군 성주로 3267-0,외국식,27
72,돌담집,경북 성주군 포천계곡로 697-0,한식,27
74,엄마손김밥도사,경북 성주군 성주읍3길 2-0,간이음식,25
74,먹들,경북 성주군 봉양로2길 19-0,한식,25
76,보물섬,경북 성주군 참별로 1168-0,한식,24
77,고로쇠백숙식당,경북 성주군 금봉길 122-0,한식,23
77,신토불이,경북 성주군 성주가야산로 302-0,전문음식,23
77,성재네시골밥상,경북 성주군 참별로 2208-0,한식,23
77,원무술한우촌,경북 성주군 경산2길 16-1,한식,23
77,가야양식,경북 성주군 가야산식물원길 2-0,전문음식,23
82,멕시카나치킨선남점,경북 성주군 관화길 117-0,간이음식,22
83,황궁[중식],경북 성주군 성주로 3983-0,외국식,21
83,웅짬뽕[중식],경북 성주군 예산3길 2-3,외국식,21
83,본죽경북성주점,경북 성주군 시장길 10-3,간이음식,21
83,고방찬남경식당,경북 성주군 시장길 10-10,한식,21
87,카페365에비뉴,경북 성주군 예산3길 1-4,카페/찻집,20
87,성주가나안농장한우식당,경북 성주군 명천로3길 99-0,한식,20
89,국제오리성주점,경북 성주군 성주읍3길 17-0,전문음식,19
89,온유푸드,경북 성주군 운용로 1008-0,한식,19
89,명관공단셀프한식당[한식],경북 성주군 명관로 337-136,한식,19
92,동궁찜닭성주점,경북 성주군 성주읍1길 19-0,전문음식,18
92,신식당,경북 성주군 성주로 4222-0,한식,18
94,60계치킨경북성주점,경북 성주군 성주읍2길 16-1,간이음식,16
94,안동간고등어,경북 성주군 대고로 28-0,한식,16
96,삼헌식당,경북 성주군 성주로 1424-0,한식,15
96,토담웰빙식당,경북 성주군 성주가야산로 349-0,한식,15
96,행복한식당,경북 성주군 황산길 1-0,한식,15
96,옥천농장식당,경북 성주군 성암로 877-0,한식,15
100,보약밥상,경북 성주군 주천로 282-0,한식,14
