순위,업소명,주소,분류,현지인 검색 수
1,스타벅스안동강변DT점,경북 안동시 육사로 327-0,카페/찻집,3022
2,폴모스트,경북 안동시 암산1길 15-0,카페/찻집,2965
3,맘모스베이커리남부본점,경북 안동시 문화광장길 34-0,간이음식,2762
4,쿠우쿠우안동점,경북 안동시 옥동2길 42-0,전문음식,2136
5,일직식당,경북 안동시 경동로 676-0,한식,2070
6,커피홀베이커리안동풍산점,경북 안동시 풍산중앙길 151-5,카페/찻집,1860
7,까치와호랑이,경북 안동시 물한길 16-11,카페/찻집,1671
8,소담촌안동점,경북 안동시 옥동2길 41-18,한식,1517
9,땡큐커피,경북 안동시 영호2길 15-0,카페/찻집,1458
10,동악골금재가든,경북 안동시 동악골길 166-0,한식,1331
11,월영당,경북 안동시 민속촌길 26-0,카페/찻집,1329
12,396COFFEECOMPANY,경북 안동시 옥동길 32-0,카페/찻집,1215
13,옥야식당,경북 안동시 경동로 601-12,한식,1176
14,전원,경북 안동시 안교절골길 23-6,전문음식,1127
15,예미정본채 [한식],경북 안동시 옹정골길 111-0,한식,1100
16,대구식육식당,경북 안동시 풍산중앙길 152-0,한식,1054
17,청록한정식[한식],경북 안동시 운동장길 197-0,한식,1020
18,투썸플레이스경북도청점,경북 안동시 천년숲서로 29-0,카페/찻집,962
19,비스트로봄날본점,경북 안동시 어가골길 83-0,전문음식,950
20,카페뒤뜰,경북 안동시 경동로 2214-0,카페/찻집,947
21,맘모스제과송현분점,경북 안동시 경동로 338-0,간이음식,929
22,만복이쭈꾸미낙지볶음,경북 안동시 강남로 285-0,전문음식,914
23,신라국밥,경북 안동시 서경지5길 35-0,한식,896
24,해물몽땅칼국수,경북 안동시 관광단지로 287-0,한식,879
25,옥동손국수,경북 안동시 강변마을1길 91-0,한식,862
26,풍전,경북 안동시 안교1길 9-0,전문음식,854
27,버거킹경북도청점,경북 안동시 검무로 4-8,간이음식,851
28,투썸플레이스경북신도청중앙점,경북 안동시 검무로 10-19,카페/찻집,828
29,커피명가안동점,경북 안동시 관광단지로 346-52,카페/찻집,820
30,그녀의홈카페,경북 안동시 봉정사길 103-1,카페/찻집,793
31,카페더뷰,경북 안동시 호수공원2길 73-0,카페/찻집,790
32,묵향,경북 안동시 경동로 220-0,한식,787
33,스타벅스안동옥동점,경북 안동시 광명로 166-0,카페/찻집,770
34,스타벅스안동시청점,경북 안동시 서동문로 173-0,카페/찻집,760
35,까몬안동점,경북 안동시 호수공원2길 12-0,외국식,753
36,투썸플레이스안동강변점,경북 안동시 육사로 275-0,카페/찻집,749
37,헛제사밥까치구멍집[한식],경북 안동시 석주로 203-0,한식,740
38,피오르달리조안동대본점,경북 안동시 송천2길 72-29,외국식,730
39,비스트로봄날도청점,경북 안동시 호수공원2길 12-0,외국식,729
40,버버리찰떡,경북 안동시 제비원로 128-0,전문음식,727
41,보리식당,경북 안동시 풍일로 1989-0,한식,707
42,예닮,경북 안동시 귀여리길 78-28,한식,692
43,핸즈커피안동댐점,경북 안동시 석주로 205-0,카페/찻집,691
44,경복궁,경북 안동시 충효로 4439-0,한식,686
45,한상채비,경북 안동시 경북대로 634-0,한식,662
46,불금등갈비,경북 안동시 강남10길 30-0,한식,661
47,산청식당,경북 안동시 대석3길 14-1,한식,658
48,말콥,경북 안동시 영가로 5-0,간이음식,653
49,롯데리아안동용상DT점,경북 안동시 경동로 974-0,간이음식,651
50,베니네,경북 안동시 관광단지로 40-0,전문음식,649
51,끼니가,경북 안동시 경북대로 1656-0,한식,648
52,아테네,경북 안동시 광명로 212-8,전문음식,641
53,이웃집밀리,경북 안동시 마들7길 67-0,카페/찻집,614
54,만당해장국옥동점,경북 안동시 광명로 158-0,한식,607
55,카츠옳음,경북 안동시 중평4길 10-0,전문음식,603
56,병산손국수,경북 안동시 효부골길 2-1,한식,596
57,곤지곤지,경북 안동시 앙실로 63-0,한식,558
58,동굴매운탕,경북 안동시 강남로 26-2,한식,553
59,황소곳간,경북 안동시 풍산태사로 1029-0,한식,552
60,진성식당,경북 안동시 태사길 25-0,전문음식,551
61,교동면옥안동옥동점,경북 안동시 경북대로 345-0,한식,542
62,투썸플레이스안동옥동점,경북 안동시 옥서로 49-0,카페/찻집,505
63,벌교꼬막정식,경북 안동시 솔밭길 172-0,전문음식,503
64,솔밭식당,경북 안동시 전서로 214-6,한식,502
65,엔제리너스안동옥동점,경북 안동시 광명로 175-0,카페/찻집,493
66,거창숯불갈비,경북 안동시 음식의길 14-0,한식,472
67,금강옥,경북 안동시 강남1길 133-16,전문음식,464
68,아르아르아르,경북 안동시 제비원로 383-0,카페/찻집,452
69,롯데리아안동옥동점,경북 안동시 경북대로 418-0,간이음식,445
70,신선식당,경북 안동시,한식,434
71,샤브향안동점,경북 안동시 육사로 323-0,전문음식,425
