순위,업소명,주소,분류,현지인 검색 수
1,영덕대게거리,경북 영덕군,음식점기타,1337
2,나비산기사식당,경북 영덕군 강산로 10-0,한식,974
3,보움,경북 영덕군 영덕대게로 928-0,카페/찻집,884
4,무브온커피,경북 영덕군 영덕대게로 411-0,카페/찻집,815
5,동해안횟집펜션,경북 영덕군 동해대로 4198-5,전문음식,807
6,삼성웰스토리삼성영덕연수원,경북 영덕군 칠보산1길 71-0,한식,668
7,영덕물가자미전문점,경북 영덕군 영덕대게로 939-0,전문음식,648
8,아성식당[한식],경북 영덕군 야성길 47-0,한식,598
9,생선구이집,경북 영덕군 영덕대게로 153-1,한식,550
10,카페봄,경북 영덕군 영덕대게로 192-0,카페/찻집,511
11,타이짬뽕영덕점 [중식],경북 영덕군 강구대게1길 11-0,외국식,508
12,롯데리아영덕점,경북 영덕군 남석길 74-0,간이음식,415
13,강구항대게직판장이오,경북 영덕군 강구대게길 45-0,전문음식,411
14,송천강재첩국,경북 영덕군 덕천길 177-0,한식,381
15,덕스,경북 영덕군 예주2길 35-0,간이음식,352
16,리브포레스트,경북 영덕군 영덕대게로 625-284,카페/찻집,349
17,라면집,경북 영덕군 영덕대게로 161-0,간이음식,345
18,보배네골목짬뽕[중식],경북 영덕군 남석1길 38-0,외국식,335
19,남은대게직판장,경북 영덕군 강구대게길 43-1,전문음식,329
20,김대감숯불구이,경북 영덕군 벌영길 129-5,한식,320
21,밥한끼[한식],경북 영덕군 영덕로 123-0,한식,317
22,동해바지락칼국수,경북 영덕군 동해대로 4389-0,한식,302
23,신항만횟집,경북 영덕군 신강구길 83-0,전문음식,301
24,커피공장,경북 영덕군 금진길 11-0,카페/찻집,287
25,파리바게뜨경북영덕점,경북 영덕군 중앙길 108-7,간이음식,230
26,대게궁,경북 영덕군 강구대게길 29-0,전문음식,221
27,국수일번지,경북 영덕군 동해대로 4411-0,한식,220
28,라스베가스조개구이,경북 영덕군 영덕대게로 433-0,한식,219
29,내손에쏙물회,경북 영덕군 영덕대게로 453-0,전문음식,217
30,하프문베이카페,경북 영덕군 구계길 6-0,카페/찻집,210
31,번영커피앤스프,경북 영덕군 번영길 80-0,카페/찻집,207
32,쿠키앤칩스,경북 영덕군 강변길 350-0,간이음식,203
33,고래불머구리횟집,경북 영덕군 병곡1길 72-0,전문음식,192
34,문화식당[중식],경북 영덕군 예주2길 33-0,외국식,188
35,블루밍 342,경북 영덕군 삼사길 21-1,카페/찻집,185
36,그리가다,경북 영덕군 흰돌로 102-0,카페/찻집,177
37,신흥춘해물짬뽕[중식],경북 영덕군 동해대로 3508-0,외국식,173
38,죽도산,경북 영덕군 강구대게길 47-1,전문음식,172
39,카페제이,경북 영덕군 영덕대게로 254-0,카페/찻집,165
40,장사리카페,경북 영덕군 동해대로 3606-0,카페/찻집,156
41,다람쥐키친,경북 영덕군 도매길 12-20,전문음식,155
42,탐라식당,경북 영덕군 강구시장1길 10-1,전문음식,151
43,사계절대게직판장,경북 영덕군 강구대게길 52-0,전문음식,145
44,이디야커피영덕블루로드점,경북 영덕군 영덕대게로 2492-0,카페/찻집,140
45,삼천포대게도매직판장,경북 영덕군 강구대게길 41-0,전문음식,138
45,명성회타운,경북 영덕군 동해대로 4096-0,전문음식,138
47,예주돌솥밥,경북 영덕군 예주목은길 104-0,한식,137
48,천리미항식당,경북 영덕군 축산항길 56-0,전문음식,131
48,이디야커피경북영덕점,경북 영덕군 중앙길 96-0,카페/찻집,131
50,김가네식당,경북 영덕군 축산항길 36-0,전문음식,127
51,칠보산한식뷔페,경북 영덕군 동해대로 7767-0,전문음식,125
52,청담대게,경북 영덕군 강구대게길 31-0,전문음식,123
53,205대게직판장,경북 영덕군 영덕대게로 205-0,전문음식,120
54,대명대게,경북 영덕군 강구대게길 13-0,전문음식,113
54,배스킨라빈스경북영덕점,경북 영덕군 중앙길 105-0,간이음식,113
