순위,업소명,주소,분류,현지인 검색 수
1,사느레정원,경북 영주시 문수로1363번길 30-0,카페/찻집,1889
2,태극당,경북 영주시 번영로 154-0,간이음식,1716
3,순흥전통묵집,경북 영주시 순흥로39번길 21-0,한식,1489
4,영주축협한우플라자본점,경북 영주시 한정로 10-0,한식,1200
5,나드리,경북 영주시 중앙로 89-0,간이음식,1189
6,흥부가,경북 영주시 대학로 92-0,한식,1026
7,영주축협한우프라자풍기점,경북 영주시 안풍로308번길 7-0,한식,1014
8,아테네레스토랑,경북 영주시 영주로231번길 13-0,전문음식,902
9,한결청국장전문,경북 영주시 인삼로 1-1,한식,896
10,창신식육식당,경북 영주시 선비로79번길 40-12,한식,832
11,명동감자탕,경북 영주시 중앙로106번길 8-0,한식,780
12,꼼떼바베큐영주점,경북 영주시 선비로203번길 42-0,전문음식,742
13,다담뜰한식뷔페영주점,경북 영주시 대학로284번길 10-0,전문음식,739
14,영주랜떡,경북 영주시 구성로350번길 15-0,간이음식,721
15,오며가,경북 영주시 대동로34번길 23-4,한식,701
16,올바른빵집,경북 영주시 영봉로 1-20,간이음식,678
17,삼뜨락[한식],경북 영주시 안풍로 307-12,한식,634
18,정도너츠본점,경북 영주시 동양대로 6-1,카페/찻집,623
19,약선당[한식],경북 영주시 신재로 887-14,한식,621
20,정도너츠영주점,경북 영주시 대학로 200-0,카페/찻집,619
21,연화떡카페,경북 영주시 죽계로 26-0,카페/찻집,597
22,우정면옥,경북 영주시 창진로 27-0,한식,570
23,May Bloom,경북 영주시 용주로 492-0,카페/찻집,567
24,풍기인삼갈비,경북 영주시 소백로 1933-0,한식,521
25,마츠,경북 영주시 대학로262번길 23-0,외국식,511
26,남원추어탕,경북 영주시 죽령로 1548-0,한식,489
27,카페선비꽃,경북 영주시 신재로 685-0,카페/찻집,484
28,민속떡집,경북 영주시 기주로76번길 11-0,간이음식,439
29,중앙분식,경북 영주시 중앙로 123-1,간이음식,434
30,시장순대,경북 영주시 대동로 142-0,한식,413
31,황토골인삼불고기,경북 영주시 기주로 46-0,한식,405
32,야초원,경북 영주시 의상로 231-0,한식,405
33,신차이나[중식],경북 영주시 동양대로 107-6,외국식,405
34,자연묵집,경북 영주시 회헌로 508-0,한식,368
35,제주복집,경북 영주시 지천로143번길 2-0,전문음식,354
36,소담촌영주점,경북 영주시 대학로201번길 1-0,전문음식,341
37,만당해장국,경북 영주시 대학로 6-0,한식,333
38,바보형제쭈꾸미영주점,경북 영주시 대동로34번길 3-13,전문음식,319
39,원조서부냉면,경북 영주시 인삼로3번길 26-0,한식,313
40,전통영주묵집식당,경북 영주시 원당로163번길 24-0,한식,295
41,장수표고식당,경북 영주시 장수로 252-4,한식,293
42,자연식당[한식],경북 영주시 신재로 515-0,한식,289
43,카페월호,경북 영주시 승평로117번길 217-0,카페/찻집,284
44,일월식당[중식],경북 영주시 부석로 25-1,외국식,283
45,오빵,경북 영주시 대동로13번길 24-0,간이음식,266
46,갈비만영주점,경북 영주시 대학로 246-0,한식,265
47,죽령주막,경북 영주시 죽령로 2136-0,한식,263
48,뜬돌정,경북 영주시 대동로31번길 25-7,한식,258
