순위,업소명,주소,분류,현지인 검색 수
1,용궁단골식당본점,경북 예천군 용궁시장길 30-0,한식,3656
2,이모네집,경북 예천군 연천길 14-16,한식,1603
3,청하예천축산농협한우프라자,경북 예천군 행복7길 10-0,한식,1229
4,용궁순대,경북 예천군 용궁로 158-0,한식,937
5,박달식당,경북 예천군 용궁로 77-0,한식,842
6,용궁단골식당2호점,경북 예천군 용궁시장길 28-19,한식,834
7,봉덕창고,경북 예천군 봉덕로 49-0,카페/찻집,819
8,맛질예찬토담,경북 예천군 오암길 20-0,한식,770
9,제주복집,경북 예천군 이미기길 71-0,전문음식,721
10,백수식당,경북 예천군 충효로 284-0,한식,715
11,예천축협한우프라자,경북 예천군 충효로 257-0,한식,688
12,윤훈식농가쌈밥,경북 예천군 호명로 557-7,한식,658
13,배스킨라빈스경북도청점,경북 예천군 새움3로 20-0,간이음식,550
14,숲속이야기,경북 예천군 대심1길 115-0,한식,511
15,통명묵집,경북 예천군 보문로 162-0,한식,509
16,꽃따지식당,경북 예천군 보문로 613-9,한식,508
17,유동장어구이,경북 예천군 충효로 1884-0,전문음식,464
18,베풀장어,경북 예천군 양지1길 11-0,전문음식,286
19,용궁특별시,경북 예천군 용궁시장길 42-0,카페/찻집,270
20,새대구숯불구이,경북 예천군 시장로 61-0,한식,270
21,전국을달리는청포집,경북 예천군 맛고을길 30-0,한식,260
22,피오르달리조도청점,경북 예천군 새움3로 30-0,외국식,253
23,미인짬뽕&설원칡냉면도청점,경북 예천군 양지7길 16-3,한식,252
24,삼일회초밥,경북 예천군 양지7길 16-5,외국식,242
25,커피베이경북도청낙동강점,경북 예천군 지풍로 1010-0,카페/찻집,241
26,예천한우,경북 예천군 충효로 297-0,한식,236
27,예천참우마을본가,경북 예천군 풍지로 23-0,한식,234
28,SNUGCOFFEEHOUSE,경북 예천군 시장로 73-0,카페/찻집,218
29,용궁순대용왕궁,경북 예천군 용궁로 196-0,한식,204
30,만수당,경북 예천군 석송로 313-10,간이음식,192
31,백번고기집,경북 예천군 상풍로 1445-0,한식,180
32,서울왕순대,경북 예천군 맛고을길 80-0,한식,180
33,삼일분식,경북 예천군 맛고을길 36-0,간이음식,179
34,복돼지식당,경북 예천군 방터길 5-0,한식,168
35,김서방숯불갈비,경북 예천군 맛고을길 34-0,한식,160
36,맛질송어회,경북 예천군 하학길 44-0,전문음식,144
37,한국관복어집,경북 예천군 군청길 42-4,전문음식,136
38,대덕가든,경북 예천군 양궁로 879-0,한식,133
39,해오름,경북 예천군 수락대로 558-1,한식,132
40,서민식육식당,경북 예천군 양지3길 21-0,한식,116
41,정코다리경북도청점,경북 예천군 지풍로 1010-0,한식,113
42,동궁찜닭경북도청점,경북 예천군 새움3로 52-0,전문음식,112
43,낙천갈비,경북 예천군 맛고을길 50-3,한식,110
44,화목식당,경북 예천군 산단길 6-9,한식,110
45,커넥티드커피,경북 예천군 양지1길 30-3,카페/찻집,107
46,산호식당,경북 예천군 맛고을길 32-0,한식,103
