순위,업소명,주소,분류,현지인 검색 수
1,나곡식당,경북 울진군 곡리1길 5-29,한식,1626
2,청목신신짬뽕울진본점 [중식],경북 울진군 울진중앙로 40-0,외국식,1188
3,제일반점[중식],경북 울진군 죽변중앙로 168-13,외국식,1183
4,후포리백년식당,경북 울진군 후포6길 159-1,전문음식,1100
5,후포어시장회센터,경북 울진군 울진대게로 169-71,전문음식,1042
6,이게대게왕비천점,경북 울진군 불영계곡로 3630-0,전문음식,836
7,솔밭옹심이칼국수,경북 울진군 덕구온천로 758-0,한식,808
8,르카페말리,경북 울진군 죽변중앙로 32-0,카페/찻집,702
9,예원[중식],경북 울진군 죽변중앙로 218-0,외국식,623
10,옹심이칼국수전문,경북 울진군 덕구온천로 678-0,한식,574
11,송학면옥,경북 울진군 읍내2길 39-0,한식,557
12,울산회식당,경북 울진군 망양로 225-9,전문음식,548
13,죽변우성식당,경북 울진군 죽변항길 69-0,전문음식,495
14,황금송,경북 울진군 울진북로 1703-0,한식,488
15,산수옥,경북 울진군 불영계곡로 3631-0,한식,487
16,Cafe1-21,경북 울진군 세포2길 1-21,카페/찻집,472
17,하삼동커피울진후포점,경북 울진군 삼율6길 7-0,카페/찻집,456
18,커피루나,경북 울진군 울진북로 876-0,카페/찻집,427
19,물치상회,경북 울진군 울진대게로 289-1,카페/찻집,378
20,돌섬식당,경북 울진군 죽변항길 73-0,한식,376
21,공석2020,경북 울진군 공세항길 247-0,외국식,371
22,고바우한중식,경북 울진군 후포로 179-0,외국식,364
23,회대게조개파는총각,경북 울진군 죽변항길 239-0,전문음식,356
24,대게앤쿡,경북 울진군 후포로 178-3,전문음식,347
25,하비비,경북 울진군 울진북로 2138-41,카페/찻집,336
26,옛골[한식],경북 울진군 주인2길 24-1,한식,326
27,바다횟집,경북 울진군 현내항길 258-0,전문음식,321
28,청아가든,경북 울진군 맞덕구길 2-0,한식,318
29,박가네설렁탕,경북 울진군 상흥부1길 2-0,한식,312
