순위,업소명,주소,분류,현지인 검색 수
1,팔팔식당,경북 청송군 경동로 5157-0,한식,1316
2,신촌식당,경북 청송군 신촌약수길 18-0,한식,1270
3,서울여관식당,경북 청송군 약수길 18-1,한식,835
4,청하누,경북 청송군 주왕산로 440-0,한식,780
5,주왕산청솔식당,경북 청송군 공원길 164-0,한식,423
6,백일홍,경북 청송군 송소고택길 21-0,카페/찻집,391
7,명궁약수가든,경북 청송군 경동로 5156-0,한식,389
8,청송송어장회집,경북 청송군 사부실길 17-0,전문음식,300
9,달기약수닭백숙해성,경북 청송군 중앙로 415-0,한식,283
10,주왕산가든,경북 청송군 주왕산로 508-9,한식,244
11,송이가든,경북 청송군 주왕산로 504-0,한식,224
12,두연[한식],경북 청송군 초막본길 40-0,한식,220
13,작은하늘농가레스토랑,경북 청송군 교하로 246-0,전문음식,183
14,동대구식당,경북 청송군 약수길 22-0,한식,181
15,불로촌식당,경북 청송군 경동로 5173-5,한식,173
16,달기약수탕닭백숙촌,경북 청송군,음식점기타,133
17,달기약수촌,경북 청송군 약수길 54-5,한식,94
18,심부자밥상,경북 청송군 덕천길 39-0,한식,87
19,핀버트,경북 청송군 복지타운길 5-0,카페/찻집,85
20,가든세계평화,경북 청송군 경동로 5185-0,한식,84
21,신동양식당,경북 청송군 중앙로 526-0,한식,83
22,계곡가든,경북 청송군 경동로 5173-3,한식,80
23,킴스마운틴커피클래스,경북 청송군 당마을길 7-0,카페/찻집,75
24,신촌포항식당,경북 청송군 경동로 5161-0,전문음식,74
25,인더가든,경북 청송군 주왕산로 508-9,카페/찻집,71
26,소나무식당,경북 청송군 중앙로 581-0,한식,69
27,민박촌식당,경북 청송군 당마을길 11-0,한식,69
28,09순대국밥,경북 청송군 중앙로 292-0,한식,64
29,봉산식당,경북 청송군 약수길 28-0,한식,59
30,김복희대구왕뽈찜청송진보점,경북 청송군 체육공원로 11-8,한식,58
31,남해식당,경북 청송군 청송로 5547-5,한식,58
32,웰빙하우스,경북 청송군 휴양단지길 34-1,한식,58
33,수풀림,경북 청송군 공원길 182-0,카페/찻집,57
34,풍경,경북 청송군 복리길 25-0,한식,57
35,신촌안동식당,경북 청송군 경동로 5140-0,한식,53
36,울산단골식당,경북 청송군 약수길 53-0,한식,49
37,울릉도순대국밥,경북 청송군 금월로 212-0,한식,49
38,송림정[한식],경북 청송군 중평병부길 40-5,한식,48
39,삼보식당,경북 청송군 공원길 180-0,한식,48
40,달기약수마을,경북 청송군 약수길 42-0,한식,47
41,사과와커피이야기,경북 청송군 주왕산로 697-8,간이음식,45
42,고향식당[중식],경북 청송군 중앙로 271-0,외국식,44
43,카페아바드,경북 청송군 진안동윗길 32-0,카페/찻집,43
44,미정식당,경북 청송군,한식,42
45,영천식당[한식],경북 청송군 약수길 56-0,한식,40
46,명품수타왕손짜장[중식],경북 청송군 금월로 213-0,외국식,37
47,경원식당,경북 청송군 청송로 6320-0,한식,36
48,사과밭에돈돈,경북 청송군 중앙로 302-0,한식,35
49,먹보가,경북 청송군 중앙로 476-0,한식,35
50,드롭탑청송갤러리점,경북 청송군 중앙로 451-0,카페/찻집,34
51,수원식당,경북 청송군 체육공원로 34-1,한식,29
52,신촌꽃돌식당,경북 청송군 경동로 5171-0,한식,28
53,만수무강,경북 청송군 논시골로 14-0,전문음식,27
54,신토불이식당,경북 청송군 공원길 156-0,한식,27
55,안동식당,경북 청송군 약수길 54-2,한식,26
56,진주약수식당,경북 청송군 약수길 22-6,한식,26
57,조양다방,경북 청송군 구산북로 67-0,카페/찻집,26
58,청록담복어샤브,경북 청송군 본마을2길 20-0,전문음식,26
59,청송약수맛집,경북 청송군 중앙로 533-0,한식,25
60,세미정식당,경북 청송군 신촌약수길 13-0,한식,23
61,주왕산맛집,경북 청송군 공원길 154-5,한식,23
62,시골식당,경북 청송군 중앙로 254-0,한식,22
63,좋은식당,경북 청송군 공원길 219-0,한식,22
64,신진보숯불가든,경북 청송군 진보로 238-0,한식,21
65,신탕초막식당,경북 청송군 약수길 34-0,한식,21
66,팔수식당,경북 청송군 부남로 1180-0,한식,21
67,여덟고을,경북 청송군 진안남2길 16-23,카페/찻집,20
68,명일여관식당,경북 청송군 공원길 212-0,한식,20
69,오부자해물칼국수,경북 청송군 각산아랫길 16-4,한식,20
70,윤꽃정원,경북 청송군 주왕산로 313-1,카페/찻집,19
71,청솔식당,경북 청송군 금월로 272-1,한식,18
72,키카보니,경북 청송군 팔각산로 146-0,간이음식,18
73,부산식당,경북 청송군 약수길 24-0,한식,18
74,카페꽃담,경북 청송군 신촌1길 4-0,카페/찻집,18
75,주왕산두부맛집,경북 청송군 공원길 89-0,한식,17
76,청송커피 엠버,경북 청송군 군청로 11-0,카페/찻집,17
77,텃밭지기,경북 청송군 주왕산로 264-0,한식,17
78,학교종이땡땡땡,경북 청송군 부남로 14-0,카페/찻집,16
79,남경식당,경북 청송군 경동로 5169-0,한식,16
80,객주한우한돈,경북 청송군 진안남1길 12-0,한식,15
81,카페모퉁이,경북 청송군 망미정2길 14-0,카페/찻집,13
82,동성식당,경북 청송군 부동로 1024-1,한식,13
83,주왕산관광호텔커피숍,경북 청송군,카페/찻집,13
84,예안식당,경북 청송군 신촌약수길 2-1,한식,13
85,그린체어커피,경북 청송군 청송로 1791-0,카페/찻집,12
86,청송맷돌순두부,경북 청송군 청송로 643-0,한식,11
87,수복기사식당,경북 청송군 새마을로 5478-0,한식,11
88,청송꽃차이야기 솔채,경북 청송군 교하로 370-0,카페/찻집,11
89,빠띠오대명리조트청송점,경북 청송군 주왕산로 494-1,전문음식,11
90,철구짬뽕[중식],경북 청송군 진보로 173-0,외국식,11
91,달팡,경북 청송군 중앙로 237-0,간이음식,10
92,배가네식당,경북 청송군 약수길 32-0,한식,10
