순위,업소명,주소,분류,현지인 검색 수
1,세컨드원광주수완가든점,광주 광산구 임방울대로 611-23,카페/찻집,6729
2,황솔촌수완점,광주 광산구 장신로19번안길 23-0,한식,6249
3,쌍교숯불갈비송정점,광주 광산구 동곡로 462-0,한식,5960
4,임가네,광주 광산구 사암로130번길 65-0,한식,4956
5,궁전제과수완점,광주 광산구 사암로 426-0,간이음식,4705
6,유향[중식],광주 광산구 용아로400번길 33-0,외국식,3833
7,명화식육식당,광주 광산구 평동로 421-0,한식,3744
8,esc2,광주 광산구 풍영정길 241-2,카페/찻집,3518
9,남쪽마을돌짜장,광주 광산구 임곡로 523-7,외국식,3397
10,하울링송정점,광주 광산구 상무대로 509-1,카페/찻집,3260
11,취홍[중식],광주 광산구 월계로 223-11,외국식,3225
12,LoungeOIC,광주 광산구 임방울대로826번길 42-0,전문음식,3208
13,까르르스타광주수완점,광주 광산구 왕버들로 207-0,전문음식,3130
14,상무초밥첨단점,광주 광산구 첨단중앙로106번길 37-0,외국식,3081
15,하마아구찜수완본점,광주 광산구 수완로14번길 27-0,한식,3047
16,더청솔,광주 광산구 수완로 160-0,한식,3007
17,카페304,광주 광산구 장신로 280-14,카페/찻집,2966
18,첨단공원국밥본점,광주 광산구 첨단중앙로182번길 24-3,한식,2795
19,어등뼈해장국보쌈,광주 광산구 무진대로231번길 30-21,한식,2770
20,부엌간수완점,광주 광산구 수완로106번길 37-0,전문음식,2757
21,꽃담,광주 광산구 첨단과기로 109-0,한식,2684
22,숙성도광주점,광주 광산구 임방울대로800번길 71-0,한식,2595
23,옛날에금잔디,광주 광산구 도산로9번길 54-0,한식,2519
24,크래버대게나라수완점,광주 광산구 왕버들로 175-0,전문음식,2485
25,스퀘어,광주 광산구 하완길 103-0,카페/찻집,2454
26,대양,광주 광산구 손재로 407-0,한식,2282
27,라라브레드송정점,광주 광산구 광산로19번길 24-0,간이음식,2278
28,건강식당,광주 광산구 사암로92번길 13-0,전문음식,2242
29,광후장어,광주 광산구 임방울대로 503-0,전문음식,2202
30,무등왕돈까스수완점,광주 광산구 수완로 88-0,전문음식,2184
31,하남목장,광주 광산구 사암로216번길 10-15,한식,2150
32,유유샤브수완점,광주 광산구 수완로52번길 30-6,전문음식,2146
33,매월농원하남점,광주 광산구 사암로 764-28,전문음식,2116
34,호야분식,광주 광산구 수등로 280-0,간이음식,1994
35,행복한임금님수완점 [한식],광주 광산구 왕버들로 113-2,한식,1967
36,송원식육식당,광주 광산구 평동로800번길 13-0,한식,1941
37,여수회수산,광주 광산구 풍영로 95-0,전문음식,1939
38,청석골냉면,광주 광산구 산월로3번길 46-0,한식,1905
39,솔밭솥밥,광주 광산구 수완로50번길 44-3,한식,1835
40,정동,광주 광산구 수완로74번길 11-68,전문음식,1812
41,달맞이흑두부광주점,광주 광산구 북문대로 500-17,전문음식,1808
42,마루샤브수완점,광주 광산구 장신로 62-0,전문음식,1746
43,연경하남점 [중식],광주 광산구 하남산단3번로 133-8,외국식,1733
44,아우어베이커리광주첨단점,광주 광산구 임방울대로826번길 47-0,간이음식,1718
45,돈페하남점,광주 광산구 용아로399번길 51-0,전문음식,1707
46,해궁,광주 광산구 풍영로229번길 53-0,전문음식,1669
47,보향미,광주 광산구 첨단중앙로124번길 41-0,한식,1637
48,바칼,광주 광산구 신창로138번길 31-5,한식,1636
49,칠봉이짬뽕[중식],광주 광산구 목련로394번길 23-26,외국식,1634
50,르미엘수완본점,광주 광산구 왕버들로 207-0,전문음식,1615
51,등촌수완흑석점,광주 광산구 하남울로48번길 18-0,전문음식,1607
52,송정떡갈비1호점,광주 광산구 광산로29번길 1-0,한식,1597
53,짬뽕지존수완점 [중식],광주 광산구 임방울대로 507-0,외국식,1591
54,다연닭갈비,광주 광산구 목련로153번안길 46-3,전문음식,1561
55,소촌옥숯불갈비,광주 광산구 소촌로 155-0,한식,1559
56,무두,광주 광산구 첨단강변로87번길 5-0,전문음식,1544
57,수완초밥,광주 광산구 임방울대로 347-0,외국식,1538
58,메밀당막국수광주수완점,광주 광산구 수등로94번길 32-9,한식,1522
59,토방,광주 광산구 산월로21번길 10-0,한식,1515
60,시골밥상,광주 광산구 평동로766번길 16-0,한식,1488
61,하남꽃게장백반,광주 광산구 산정공원로59번길 10-0,전문음식,1486
62,민속촌신가점,광주 광산구 목련로394번길 10-17,한식,1481
63,매운날,광주 광산구 첨단중앙로106번길 42-0,한식,1480
64,카페스태리,광주 광산구 용아로 175-0,카페/찻집,1466
65,식당해이리,광주 광산구 임방울대로801번길 42-0,한식,1458
66,고려조삼계탕본점,광주 광산구 임방울대로 809-0,한식,1457
67,아필코본점,광주 광산구 첨단중앙로124번길 27-0,카페/찻집,1433
68,최주원육개장,광주 광산구 풍영정길 53-0,한식,1428
69,금수저은수저[한식],광주 광산구 신창로166번길 24-0,한식,1424
70,서울깍두기수완직영점,광주 광산구 수완로52번길 20-0,한식,1422
71,깐깐한족발본점,광주 광산구 첨단중앙로116번길 46-0,전문음식,1416
72,하남낙지마당,광주 광산구 사암로216번길 10-13,전문음식,1400
73,서울곱창,광주 광산구 송정로15번길 71-0,전문음식,1396
74,포항물회본점,광주 광산구 목련로397번안길 7-0,전문음식,1389
