순위,업소명,주소,분류,현지인 검색 수
1,초유지,광주 북구 하서로523번길 11-0,한식,3759
2,탱고아구찜,광주 북구 설죽로471번길 12-0,한식,3731
3,창억떡집중흥본점,광주 북구 경열로 242-0,간이음식,3639
4,영미오리탕,광주 북구 경양로 126-0,한식,3494
5,김연수해물나라,광주 북구 모룡대길 47-0,전문음식,3343
6,황솔촌운암점,광주 북구 북문대로 167-0,한식,3175
7,반헤이브,광주 북구 용전마을길 23-6,카페/찻집,2988
8,용전식육식당,광주 북구 용전마을길 28-0,한식,2984
9,득량만횟집,광주 북구 동문대로97번길 81-0,전문음식,2724
10,차차룸,광주 북구 일곡택지로99번길 33-0,전문음식,2595
11,진식당본점,광주 북구 중흥로 105-0,한식,2391
12,백년한우,광주 북구 연양로67번길 5-0,한식,2366
13,라라브레드양산점,광주 북구 하서로 498-0,간이음식,2299
14,25시참숯구이,광주 북구 연양로105번길 7-0,한식,2237
15,상무초밥용봉점,광주 북구 용봉택지로 95-0,외국식,2180
16,밤실마을,광주 북구 밤실로 163-9,한식,2135
17,문라이즈531,광주 북구 삼소로 352-0,카페/찻집,2009
18,꽃담샤브,광주 북구 첨단연신로 97-0,전문음식,1843
19,오늘부터애간장,광주 북구 일곡마을로 121-0,전문음식,1826
20,옥천면옥,광주 북구 무등로 144-0,한식,1712
21,수진초밥,광주 북구 첨단연신로108번길 83-0,외국식,1687
22,낙지한마당,광주 북구 설죽로217번길 6-3,전문음식,1664
23,민속촌용봉점,광주 북구 저불로 1-0,한식,1656
24,대성콩물중흥본점,광주 북구 제봉로 272-0,한식,1594
25,석암돌솥밥[한식],광주 북구 대천로139번길 8-1,한식,1583
26,진식당1호점,광주 북구 중흥로 88-0,한식,1578
27,궁전제과운암점,광주 북구 서강로54번길 40-0,간이음식,1576
28,토방닭매운탕,광주 북구 동문대로 130-1,한식,1524
29,건영수산회직판장,광주 북구 저불로39번길 9-0,전문음식,1423
30,해뜰날1호점,광주 북구 저불로 81-0,전문음식,1385
31,다온[한식],광주 북구 동운로201번길 68-0,한식,1348
32,돈까스만드는남자,광주 북구 비엔날레로 134-0,전문음식,1268
33,대왕김밥,광주 북구 자미로 55-0,간이음식,1261
34,카페얼씨,광주 북구 송강로 49-0,카페/찻집,1253
35,지리산순한한우한우프라자,광주 북구 빛고을대로 771-0,한식,1243
36,원기옥비엔날레점,광주 북구 비엔날레로 134-0,한식,1237
37,미꾸미꾸,광주 북구 대천로 143-0,한식,1235
38,초이찌,광주 북구 임방울대로1042번길 6-1,전문음식,1221
39,수림갈비,광주 북구 동문대로 387-2,한식,1183
40,옹고집보쌈,광주 북구 저불로 18-4,전문음식,1165
41,축협한우프라자,광주 북구 민주로 64-0,한식,1164
42,장흥한우첨단2지구점,광주 북구 첨단연신로29번길 9-0,한식,1151
43,원조나주곰탕하얀집운암점,광주 북구 북문대로 160-0,한식,1147
44,운암회관,광주 북구 대자로 24-0,한식,1122
45,오얏리돌솥밥[한식],광주 북구 밤실로 178-0,한식,1122
46,행랑채,광주 북구 일곡마을로 165-0,한식,1111
47,영발원반점[중식],광주 북구 서림로 141-0,외국식,1090
48,개구쟁이,광주 북구 석곡로529번길 1-21,카페/찻집,1084
49,이씨네푸줏간운암점,광주 북구 대자로54번길 12-0,한식,1070
50,명인면옥첨단점,광주 북구 임방울대로 991-0,한식,1068
51,유명회관,광주 북구 금남로131번길 18-0,한식,1056
52,청자골강진식육식당,광주 북구 우치로27번길 4-0,한식,1045
53,코발트,광주 북구 우치로331번길 11-0,전문음식,1037
54,서진주한정식[한식],광주 북구 석곡로 630-0,한식,1033
55,제주도세기마을용봉점,광주 북구 저불로69번길 29-0,한식,997
56,박소영왕만두,광주 북구 대자로 62-0,간이음식,996
57,족발창고,광주 북구 저불로31번길 4-1,전문음식,958
58,광수빵집,광주 북구 용봉택지로 39-0,간이음식,950
59,본가상무부세마늘보쌈,광주 북구 본촌마을길102번길 23-14,전문음식,945
60,진심옥,광주 북구 설죽로471번길 12-4,한식,926
61,람바다,광주 북구 갈마로 57-0,전문음식,922
62,남원추어탕추어락,광주 북구 하서로 507-0,한식,921
63,뼈대있는집,광주 북구 호동로 28-0,한식,917
64,궁전제과두암점,광주 북구 동문대로 92-0,간이음식,913
65,넓으실[한식],광주 북구 대촌길6번길 20-6,한식,905
66,서태후[중식],광주 북구 일곡로 45-11,외국식,897
67,창평국밥,광주 북구 천지인로 103-0,한식,850
68,필링돈까스첨단직영점,광주 북구 첨단과기로208번길 43-10,전문음식,844
69,어느멋진날,광주 북구 하서로483번길 2-0,전문음식,827
70,닭꿈,광주 북구 하서로241번길 41-0,전문음식,819
71,바다로한상,광주 북구 천지인로 123-0,한식,818
72,원조장수갈비,광주 북구 하서로 450-0,한식,796
73,대덕회관,광주 북구 능안로 13-0,한식,791
74,광신보리밥,광주 북구 두리봉길 2-1,한식,789
75,테라스카페갈라,광주 북구 신용산길 66-0,카페/찻집,785
