순위,업소명,주소,분류,현지인 검색 수
1,퍼니스카페앤라운지,광주 서구 천변좌하로 192-0,카페/찻집,15828
2,맥문동,광주 서구 마륵로 24-0,전문음식,6127
3,테이트모던,광주 서구 상무대로673번길 24-0,카페/찻집,5875
4,솔빛마루상무점 [한식],광주 서구 상무자유로 24-2,한식,5726
5,상무초밥상무점,광주 서구 운천로 253-0,외국식,5301
6,나정상회,광주 서구 상무자유로 24-0,한식,5011
7,매월농원,광주 서구 전평길 66-0,전문음식,4416
8,옥과한우촌상무점,광주 서구 내방로 39-1,한식,4409
9,황솔촌상무점,광주 서구 운천로 143-0,한식,4110
10,쟝리6-6,광주 서구 천변좌하로 436-0,카페/찻집,3582
11,마천루[중식],광주 서구 월드컵4강로 236-0,외국식,3570
12,하해가,광주 서구 내방로 37-0,전문음식,3520
13,서울깍두기상무점,광주 서구 상무시민로 97-6,한식,3497
14,등촌상무점,광주 서구 마륵로 23-0,전문음식,3149
15,영미오리탕상무점,광주 서구 상무중앙로104번길 10-0,한식,3046
16,김강심칼국수,광주 서구 회재로 841-0,한식,3028
17,비바로마,광주 서구 상무누리로 20-0,외국식,3007
18,온고당,광주 서구 개산길 13-11,한식,2944
19,갤러리24,광주 서구 천변좌로 14-0,카페/찻집,2846
20,하마아구찜상무직영점,광주 서구 상무시민로 131-0,한식,2812
21,크래버대게나라상무점,광주 서구 운천로 213-0,전문음식,2729
22,명가원[한식],광주 서구 상무시민로 97-5,한식,2625
23,더바른샤브,광주 서구 상무중앙로28번길 4-0,전문음식,2616
24,명지원명가,광주 서구 운천로 237-0,한식,2613
25,밀탑상무점,광주 서구 상무자유로 27-0,카페/찻집,2589
26,다도해물나라,광주 서구 마륵복개로 57-0,전문음식,2575
27,삼희불낙상무본점,광주 서구 상무누리로 143-0,전문음식,2572
28,해동활어,광주 서구 상무대로 653-1,전문음식,2559
29,신쭈꾸미본점,광주 서구 시청서편로4번길 16-0,전문음식,2443
30,미풍해장국광주상무점,광주 서구 시청로20번길 11-0,한식,2427
31,가배당,광주 서구 눌재로 434-0,카페/찻집,2410
32,짬뽕지존전남광주점 [중식],광주 서구 서광주로 31-0,외국식,2236
33,대광식당,광주 서구 상무대로695번길 15-0,한식,2185
34,블레스롤광주상무점,광주 서구 천변좌하로 168-2,카페/찻집,2184
35,청수민물장어,광주 서구 마륵로 27-0,전문음식,2104
36,이바돔감자탕상무점,광주 서구 상무중앙로34번길 2-0,한식,2081
37,김서방국밥,광주 서구 화정로260번길 11-2,한식,2013
