순위,업소명,주소,분류,현지인 검색 수
1,대덕식당,대구 남구 앞산순환로 443-0,한식,5656
2,고령촌돼지찌개앞산본점,대구 남구 앞산순환로 440-1,한식,4723
3,아눅앞산,대구 남구 앞산순환로 459-0,카페/찻집,2710
4,조조칼국수앞산본점,대구 남구 현충로15길 13-1,한식,2537
5,앞산주택,대구 남구 현충로1길 16-0,외국식,2352
6,신마산식당본점,대구 남구 현충로 214-0,한식,1543
7,곤지곤지옹기보리밥[한식],대구 남구 앞산순환로 465-1,한식,1495
8,핸즈커피앞산점,대구 남구 앞산순환로 415-0,카페/찻집,1290
9,커피플라자,대구 남구 앞산순환로87길 49-0,카페/찻집,1287
10,또이스치킨찜닭본점,대구 남구 양지북길 100-0,전문음식,1185
11,카펠라,대구 남구 앞산순환로 449-0,카페/찻집,1132
12,앞산큰골집본점,대구 남구 큰골길 35-0,한식,1118
13,오르다카페,대구 남구 안지랑로 11-0,카페/찻집,1066
14,넘버더스타즈,대구 남구 현충로 54-0,카페/찻집,959
15,한진기사식당,대구 남구 봉덕로 7-0,전문음식,944
16,현짬뽕[중식],대구 남구 대봉로 89-0,외국식,943
17,민스크,대구 남구 현충로6길 9-2,카페/찻집,891
18,성주막창대명점,대구 남구 대명로 3-0,전문음식,883
19,로벤하우스,대구 남구 현충로5길 7-1,전문음식,851
20,진흥반점[중식],대구 남구 이천로28길 43-2,외국식,842
21,밀림,대구 남구 용두길 16-0,카페/찻집,841
22,진해숯불막창,대구 남구 성당로 272-0,전문음식,813
23,구공탄막창,대구 남구 대명로 303-0,전문음식,811
24,청라연[한식],대구 남구 두류공원로 62-0,한식,751
25,파크국밥,대구 남구 대명복개로 199-0,한식,705
26,동근이숯불두마리치킨이천점,대구 남구 대봉로38길 9-0,간이음식,665
27,호어모아,대구 남구 안지랑로5길 88-0,전문음식,643
28,앞산카페거리,대구 남구 대명남로 189-0,음식점기타,628
29,청학식당,대구 남구 봉덕로1길 52-1,한식,626
30,행복한갈비대명점,대구 남구 대명로 199-0,한식,626
31,앞산게장,대구 남구 앞산순환로 473-0,전문음식,573
32,지오네키친,대구 남구 현충로 21-0,전문음식,567
33,앞산분식본점,대구 남구 앞산순환로 383-6,간이음식,547
34,면장수앞산점,대구 남구 앞산순환로 411-0,한식,546
35,인디안까페,대구 남구 앞산순환로 436-0,전문음식,539
36,크래프터,대구 남구 현충로 41-3,간이음식,536
37,대쿠이본점,대구 남구 중앙대로51길 38-2,전문음식,533
38,앞산울진대게본점,대구 남구 앞산순환로 559-1,전문음식,530
39,오마모리,대구 남구 대명남로 167-0,카페/찻집,527
40,이을감자탕대명점,대구 남구 명덕로 128-0,한식,524
41,낙산가든식당,대구 남구 봉덕로20길 24-0,한식,520
42,한스시,대구 남구 두류공원로19길 8-4,외국식,491
43,원대덕골민물장어,대구 남구 앞산순환로 409-0,전문음식,467
44,이천우화,대구 남구 이천로 137-0,한식,457
45,이우철한방누룽지삼계탕앞산점,대구 남구 앞산순환로 423-4,한식,455
46,읍천리382본점,대구 남구 안골길 17-1,카페/찻집,454
47,두셰프의돈가스앤마우,대구 남구 안지랑로5길 90-0,전문음식,451
48,앞산옛날통닭,대구 남구 현충로 61-0,간이음식,448
49,센터피스1호점,대구 남구 현충로6길 17-13,전문음식,445
50,밀양돼지국밥,대구 남구 대명로 99-0,한식,443
51,용궁복어,대구 남구 현충로 46-0,전문음식,442
52,회성각[중식],대구 남구 현충로 256-0,외국식,435
53,와촌손칼국시본점,대구 남구 대명남로 141-0,한식,429
54,기장아나고,대구 남구 두류공원로 108-4,전문음식,419
55,본가안동갈비,대구 남구 중앙대로22길 219-0,한식,416
56,지환이네왕족발,대구 남구 대명복개로 96-0,전문음식,401
57,청도돼지국밥,대구 남구 대봉로 65-0,한식,394
58,초원부대찌개,대구 남구 두류공원로 104-1,전문음식,394
59,스시비조,대구 남구 대명로14길 63-0,외국식,393
60,블루웨이브,대구 남구 큰골5길 5-0,전문음식,392
61,명덕빵앗간,대구 남구 명덕로40길 72-0,간이음식,385
62,이태리앤이태리,대구 남구 삼정길 93-0,간이음식,380
63,아리찬쭈꾸미,대구 남구 현충로 35-1,한식,379
64,오무하무,대구 남구 안지랑로 21-0,전문음식,379
65,황제무한화로구이봉덕점,대구 남구 봉덕로 58-0,한식,378
66,성당못빌,대구 남구 성당로 54-5,카페/찻집,375
67,정우초밥,대구 남구 장전2길 68-3,외국식,363
68,솔밭골,대구 남구 대명로 178-0,한식,363
69,네쥬,대구 남구 중앙대로30길 37-0,카페/찻집,358
70,도리도프,대구 남구 안골길 57-0,전문음식,356
71,라비앙로즈,대구 남구 안지랑로 15-0,전문음식,355
72,샤브향대명동계대점,대구 남구 명덕로 104-0,전문음식,349
73,강씨목삼,대구 남구 중앙대로22길 146-0,한식,347
74,설빙대구앞산점,대구 남구 현충로 43-2,카페/찻집,336
75,후라토식당대구점,대구 남구 장전3길 85-0,외국식,335
76,이을감자탕봉덕점,대구 남구 이천로 7-0,한식,328
77,소문난에덴떡볶이,대구 남구 봉덕로 117-0,간이음식,319
78,샤브향앞산빨래터점,대구 남구 안지랑로5길 73-0,전문음식,312
79,라겟옴,대구 남구 앞산순환로87길 51-0,카페/찻집,307
80,온천골앞산점,대구 남구 앞산순환로 435-0,한식,303
81,대동강,대구 남구 대봉로 57-1,한식,299
82,똔똔이곱창막창,대구 남구 대명로36길 71-2,전문음식,286
83,백복수반[한식],대구 남구 앞산순환로 391-0,한식,285
