순위,업소명,주소,분류,현지인 검색 수
1,스테이블모먼트월배점,대구 달서구 조암남로32길 24-0,간이음식,6675
2,동이식당[한식],대구 달서구 한실로6길 165-7,한식,5044
3,취팔선진천점 [중식],대구 달서구 상화로 55-0,외국식,4713
4,스타벅스대구감삼DT점,대구 달서구 와룡로 131-0,카페/찻집,4219
5,맥도날드대구진천DT점,대구 달서구 월배로 67-0,간이음식,4109
6,갈비만대구본점,대구 달서구 조암로 58-0,한식,4088
7,아웃백스테이크하우스죽전점,대구 달서구 달구벌대로 1545-0,전문음식,4009
8,맥도날드대구상인DT점,대구 달서구 월곡로 338-0,간이음식,3761
9,커피팀버월성점,대구 달서구 조암남로20길 41-0,카페/찻집,3501
10,가야성[중식],대구 달서구 월배로83길 7-0,외국식,3390
11,뜨돈진천본점,대구 달서구 진천로9길 30-0,전문음식,3383
12,조조칼국수월성점,대구 달서구 성서4차첨단로 120-0,한식,3235
13,맥도날드대구이곡DT점,대구 달서구 이곡공원로 8-0,간이음식,3127
14,미친뷔페,대구 달서구 구마로 97-0,전문음식,3109
15,버거킹대구상인SK DT점,대구 달서구 월배로 200-0,간이음식,3016
16,스타벅스대구상인DT점,대구 달서구 월곡로 334-0,카페/찻집,2901
17,장기동먹거리촌,대구 달서구,음식점기타,2893
18,스타벅스대구성서ICDT점,대구 달서구 달구벌대로 1393-0,카페/찻집,2826
19,빠다롤더테라스,대구 달서구 조암남로14길 42-0,간이음식,2799
20,맥도날드대구본리DT점,대구 달서구 와룡로 134-0,간이음식,2603
21,제니스뷔페달서점,대구 달서구 와룡로 143-0,전문음식,2567
22,테라스스시뷔페,대구 달서구 와룡로 169-0,전문음식,2552
23,스타벅스대구두류DT점,대구 달서구 달구벌대로 1796-0,카페/찻집,2527
24,샤브20이곡점,대구 달서구 달구벌대로 1254-0,전문음식,2442
25,천연애,대구 달서구 앞산순환로 289-0,전문음식,2425
26,맥도날드대구모다SK DT점,대구 달서구 달서대로 455-0,간이음식,2337
27,맥도날드대구용산DT점,대구 달서구 용산로 222-0,간이음식,2318
28,돼지만본점,대구 달서구 상화북로 192-0,한식,2304
29,우즈베이커리대곡점,대구 달서구 갈밭로 76-0,간이음식,2276
30,피카커피진천점,대구 달서구 진천로 38-0,카페/찻집,2266
31,핸즈커피호산점,대구 달서구 호산동로 148-0,카페/찻집,2240
32,길선회초밥,대구 달서구 월배로73길 6-0,외국식,2078
33,애슐리퀸즈대구이월드점,대구 달서구 두류공원로 200-0,전문음식,2061
34,코시스스시앤파스타장기점,대구 달서구 용산로 82-0,외국식,2047
35,스쿨푸드 대구월성CGV점,대구 달서구 조암로 29-0,간이음식,2010
36,스타벅스대구수목원점,대구 달서구 화암로 379-0,카페/찻집,1974
37,호박추어탕,대구 달서구 이곡서로7길 17-0,한식,1928
38,맥도날드대구두류DT점,대구 달서구 달구벌대로 1684-0,간이음식,1925
39,베를린에스프레소바,대구 달서구 미리샘길 82-0,카페/찻집,1924
40,에이엠,대구 달서구 상원로 163-0,전문음식,1919
