순위,업소명,주소,분류,현지인 검색 수
1,스타벅스대구테크노폴리스점,대구 달성군 테크노상업로 84-0,카페/찻집,4676
2,유가제빵소,대구 달성군 테크노중앙대로1길 35-0,간이음식,4642
3,도케비커피,대구 달성군 음동길 130-15,카페/찻집,3942
4,쿠우쿠우현풍테크노점,대구 달성군 테크노중앙대로 254-0,전문음식,3873
5,룰리커피가창점,대구 달성군 우록길 76-0,카페/찻집,3834
6,슬로우스톤,대구 달성군 휴양림길 109-0,카페/찻집,3746
7,원조현풍박소선할매집곰탕본점,대구 달성군 현풍중앙로 56-1,한식,3410
8,벨베꼼메,대구 달성군 세천북로 66-0,카페/찻집,3241
9,큰나무집,대구 달성군 우록길 24-0,한식,3082
10,오퐁드부아,대구 달성군 주리2길 104-0,카페/찻집,3065
11,마고플레인강정보점,대구 달성군 강정본길 68-18,카페/찻집,3026
12,곤지곤지본점 [한식],대구 달성군 퇴계길 43-8,한식,3012
13,정미네,대구 달성군 헐티로2길 26-0,한식,2845
14,현풍닭칼국수본점,대구 달성군 현풍중앙로 50-0,한식,2805
15,옹심이칼국수,대구 달성군 다사로 655-0,한식,2688
16,곤지곤지현풍점,대구 달성군 테크노순환로12길 24-0,한식,2680
17,산엘아르카,대구 달성군 휴양림길 416-0,카페/찻집,2424
18,핸즈커피세천점,대구 달성군 세천북로14길 8-0,카페/찻집,2347
19,스테이블모먼트화원점,대구 달성군 비슬로 2614-9,카페/찻집,2331
20,버거킹대구테크노폴리스점,대구 달성군 테크노중앙대로 243-0,간이음식,2269
21,커피명가구지점,대구 달성군 내리길 19-5,카페/찻집,2159
22,161커피스튜디오,대구 달성군 비슬로 581-0,카페/찻집,2052
23,엄마밥상세천점 [한식],대구 달성군 세천북로7길 8-0,한식,2025
24,카페담,대구 달성군 유가사2길 15-0,카페/찻집,1940
25,다담뜰한식뷔페달성점,대구 달성군 비슬로 581-0,한식,1840
26,카르멜,대구 달성군 달구벌대로 616-0,카페/찻집,1822
27,바토플루이르,대구 달성군 달구벌대로92길 108-0,카페/찻집,1804
28,호반더블루,대구 달성군 달창로 420-0,카페/찻집,1800
29,롯데리아현풍테크노폴리스점,대구 달성군 테크노대로 61-0,간이음식,1748
30,Enelrio,대구 달성군 비슬로 1139-0,카페/찻집,1636
31,금산곰탕,대구 달성군 구례길 1-0,한식,1616
32,대가웍본점 [중식],대구 달성군 현풍동로29길 5-0,외국식,1608
33,자연충만,대구 달성군 마비정길 163-0,카페/찻집,1593
34,스몰버드,대구 달성군 현풍로14길 20-0,카페/찻집,1592
35,롤링핀비슬산점,대구 달성군 휴양림길 439-0,간이음식,1553
36,생수정식당,대구 달성군 우록3길 58-0,한식,1539
37,보백관서재점,대구 달성군 서재본길 11-0,한식,1521
38,맥도날드대구다사DT점,대구 달성군 달구벌대로 825-0,간이음식,1517
39,홍천뚝배기본점,대구 달성군 논공로 814-0,한식,1483
40,커피명가루체215,대구 달성군 구라로 89-0,카페/찻집,1461
41,버거킹대구서재FS점,대구 달성군 서재로 66-0,간이음식,1456
42,포레밀,대구 달성군 휴양림길 481-0,카페/찻집,1450
43,카페비슬,대구 달성군 음동길 201-0,카페/찻집,1425
44,꾸웁소,대구 달성군 테크노남로 144-0,한식,1364
45,강원도집,대구 달성군 가창로176길 18-0,전문음식,1348
46,대새목장,대구 달성군 가창로93길 523-0,카페/찻집,1346
46,마르텐사이트,대구 달성군 하빈로 363-0,카페/찻집,1346
48,꽃잔디식당,대구 달성군 달구벌대로 750-0,한식,1338
49,묘운,대구 달성군 육신사길 34-0,카페/찻집,1307
49,샤브향서재점,대구 달성군 서재본길 45-0,전문음식,1307
51,스타벅스대구죽곡점,대구 달성군 달구벌대로 861-0,카페/찻집,1271
52,멍리버,대구 달성군 현풍서로71길 3-0,카페/찻집,1234
53,갈비만본점,대구 달성군 테크노상업로 110-0,한식,1227
54,핸즈커피화원점,대구 달성군 구라1길 8-0,카페/찻집,1213
55,롯데리아대구논공점,대구 달성군 논공로 741-0,간이음식,1207
56,강정보돌짜장[중식],대구 달성군 강정길 13-0,외국식,1193
57,까사드테하,대구 달성군 녹문길 16-11,카페/찻집,1170
58,하얀집,대구 달성군 가창로155길 9-0,한식,1160
59,가창닭갈비,대구 달성군 가창로119길 13-0,전문음식,1120
60,동곡원조할매손칼국수,대구 달성군 달구벌대로55길 97-5,한식,1111
61,최과장회덮밥,대구 달성군 테크노중앙대로5길 34-7,전문음식,1096
61,선한어부,대구 달성군 테크노공원로 59-0,전문음식,1096
63,오복반점,대구 달성군 명천로 146-0,외국식,1083
64,일월정[한식],대구 달성군 논공로 697-5,한식,1055
65,현풍닭칼국수대구테크노폴리스점,대구 달성군 테크노상업로 68-0,한식,1041
66,파리바게뜨달성구지점,대구 달성군 과학마을로 42-0,간이음식,1039
67,가창댐식당,대구 달성군 헐티로 1056-0,한식,1030
68,김태희옛날손국수,대구 달성군 옥포로 597-0,한식,1025
69,카페목하,대구 달성군 가창로10길 56-0,카페/찻집,1023
70,써브웨이대구테크노폴리스점,대구 달성군 테크노상업로 62-0,간이음식,1016
71,파스쿠찌대구화원DI점,대구 달성군 사문진로 424-0,카페/찻집,998
