순위,업소명,주소,분류,현지인 검색 수
1,에녹커피,대구 동구 아양로 344-0,카페/찻집,5496
2,K2정문식당,대구 동구 아양로 341-0,한식,4373
3,레이틀리92,대구 동구 초례로 6-0,카페/찻집,4299
4,스타벅스대구동촌유원지점,대구 동구 효동로2길 45-0,카페/찻집,4165
5,곤지곤지[한식],대구 동구 서촌로 14-0,한식,4104
6,스타벅스대구팔공산점,대구 동구 파계로 650-0,카페/찻집,4035
7,맥도날드대구동호DT점,대구 동구 안심로 403-0,간이음식,3995
8,맥도날드방촌DT점,대구 동구 동촌로 243-0,간이음식,3781
9,스타벅스동대구로DT점,대구 동구 동대구로 422-0,카페/찻집,3722
10,마고플레인아양점,대구 동구 해동로 107-0,간이음식,3676
11,브리니팔공,대구 동구 팔공로206길 4-0,카페/찻집,3239
12,마고플레인비스타혁신점,대구 동구 혁신대로 104-0,카페/찻집,3059
13,스타벅스대구각산역DT점,대구 동구 안심로 383-0,카페/찻집,2937
14,헤이마,대구 동구 파계로 583-0,카페/찻집,2888
15,베르겐에스프레소바,대구 동구 파계로138길 64-0,카페/찻집,2866
16,동림식당,대구 동구 파계로116길 49-0,한식,2850
17,로렐트리,대구 동구 효동로6길 122-0,외국식,2688
18,홍천뚝배기,대구 동구 공항로 130-0,한식,2648
19,팔공노을철판구이,대구 동구 서촌로 98-1,한식,2622
20,핸즈커피동촌유원지점,대구 동구 효동로6길 5-6,카페/찻집,2602
21,수수밀소,대구 동구 매여로 320-0,카페/찻집,2401
22,가마솥에누른밥,대구 동구 서촌로23길 13-11,전문음식,2358
23,투썸플레이스대구동촌유원지점,대구 동구 효동로6길 46-0,카페/찻집,2244
24,티아이티에프,대구 동구 팔공산로 1169-0,카페/찻집,2236
25,마루막창동촌점,대구 동구 효동로2길 33-7,전문음식,2126
26,스타벅스대구율하점,대구 동구 안심로16길 47-0,카페/찻집,2030
27,SUBWAY대구동촌DT점,대구 동구 해동로 259-0,간이음식,2014
28,트리팜,대구 동구 서촌로 133-0,카페/찻집,1977
29,동봉,대구 동구 팔공로 995-0,한식,1974
30,스타벅스대구팔공로DT점,대구 동구 팔공로 332-0,카페/찻집,1968
31,더기네장어[한식],대구 동구 팔공산로2길 88-0,한식,1876
32,스타벅스대구봉무점,대구 동구 팔공로51길 15-11,카페/찻집,1870
33,슬로우벗베럴,대구 동구 신평로 113-0,카페/찻집,1853
34,디어밸리,대구 동구 파계로 360-0,간이음식,1819
35,팔공산닭갈비,대구 동구 파계로 154-8,전문음식,1801
36,황토시골집,대구 동구 파계로 602-0,한식,1798
37,팔공산장작구이,대구 동구 서촌로 82-0,한식,1768
38,홍익돈까스반야월점,대구 동구 안심로 240-0,전문음식,1767
39,하늘천따지,대구 동구 서촌로 129-0,전문음식,1763
40,파스쿠찌대구신암점,대구 동구 아양로 72-0,카페/찻집,1747
41,버거킹대구신서혁신도시DT점,대구 동구 이노밸리로 277-0,간이음식,1727
42,커들포드,대구 동구 팔공로 1334-0,카페/찻집,1714
43,삼성웰스토리코스트코대구혁신도시,대구 동구 첨단로 10-0,음식점기타,1711
44,굿테이스트커피커피맛을조금아는남자팔공산점,대구 동구 팔공산로277길 26-0,카페/찻집,1570
45,고인돌,대구 동구 아양로9길 5-0,간이음식,1532
46,도미노피자반야월점,대구 동구 이노밸리로56길 3-3,간이음식,1524
47,큰기와집,대구 동구 서촌로 106-0,한식,1523
48,팔공산돌짬뽕[중식],대구 동구 서촌로7길 5-0,외국식,1507
49,우즈베이커리카페,대구 동구 송라로10길 2-0,간이음식,1505
50,올바릇나사리식당,대구 동구 팔공산로 1179-0,한식,1495
51,벽우팔공산점,대구 동구 팔공산로 331-0,한식,1493
52,밥을짓다,대구 동구 팔공산로9길 6-1,한식,1395
52,해금강본점,대구 동구 신암남로 133-0,전문음식,1395
54,수가성대구혁신점,대구 동구 이노밸리로26길 17-0,한식,1374
55,동인정,대구 동구 파계로 572-0,한식,1360
56,상해루동대구점 [중식],대구 동구 동부로22길 9-0,외국식,1345
57,만복이쭈꾸미낙지볶음동대구점,대구 동구 동대구로 448-0,전문음식,1307
58,풍년화로,대구 동구 신서로 34-0,한식,1260
59,안심농장직영식육식당,대구 동구 대경로 1-0,한식,1243
60,인스퍼레이션디,대구 동구 효동로6길 57-0,카페/찻집,1240
61,스타벅스동대구터미널점,대구 동구 동부로30길 12-0,카페/찻집,1213
62,석경혁신점,대구 동구 이노밸리로46길 26-0,한식,1210
63,뭄뭄동촌유원지점,대구 동구 효동로2길 47-0,외국식,1209
64,파리바게뜨동대구터미널점,대구 동구 동부로 154-0,간이음식,1206
65,원조어탕팔공산점,대구 동구 파계로 569-0,한식,1202
66,메종듀미디,대구 동구 서촌로21길 11-0,카페/찻집,1186
67,초이스엠,대구 동구 팔공산로 260-0,전문음식,1142
68,황제무한화로구이이시아폴리스점,대구 동구 단산길 16-0,한식,1134
69,어물전,대구 동구 효동로6길 19-4,한식,1125
70,매남골식당,대구 동구 매여로 190-0,한식,1109
71,촘촘,대구 동구 효동로6길 84-8,외국식,1097
72,무진장함버지기,대구 동구 둔산로 8-0,한식,1096
73,금마루[한식],대구 동구 아양로 253-0,한식,1094
74,술낭구본점,대구 동구 이노밸리로56길 4-0,한식,1090
75,청담한쭈꾸미,대구 동구 효동로2길 47-7,전문음식,1076
76,쭈꾸미네,대구 동구 효동로6길 43-0,전문음식,1054
77,서가앤쿡대구혁신도시점,대구 동구 이노밸리로 325-0,전문음식,1031
78,파계마루,대구 동구 파계로 613-0,카페/찻집,1009
79,백구한식,대구 동구 동촌로46길 12-3,한식,1005
80,하녹90,대구 동구 율암로 156-13,카페/찻집,1003
80,투썸플레이스대구팔공순환로점,대구 동구 서촌로 81-0,카페/찻집,1003
82,본가안동국시,대구 동구 율하동로10길 23-0,한식,1002
82,전농부의풀꽃밥상,대구 동구 파계로 497-0,한식,1002
84,일출수산,대구 동구 율하동로28길 54-0,전문음식,984
85,산중식당,대구 동구 팔공산로185길 55-0,한식,975
86,고기굽는남자신세계점,대구 동구 동부로 166-0,한식,964
87,등촌샤브칼국수효목점,대구 동구 화랑로 91-0,전문음식,961
88,이화원[중식],대구 동구 효동로6길 6-0,외국식,957
88,프라그란자,대구 동구 파계로 622-0,카페/찻집,957
90,소담숯불,대구 동구 송라로 148-0,한식,943
91,밥먹고갑시다,대구 동구 효동로6길 131-0,한식,939
92,보스턴,대구 동구 방촌로 58-0,카페/찻집,938
93,버거킹율하점,대구 동구 안심로22길 10-0,간이음식,926
94,탑골식당,대구 동구 동화사2길 21-7,전문음식,922
95,미소팔공한우직판장,대구 동구 팔공산로 222-0,한식,904
96,품한정식[한식],대구 동구 효동로6길 47-5,한식,887
97,원조할매뚜레박어탕국수본점,대구 동구 파계로 479-8,한식,879
98,샤브향대구동호혁신도시점,대구 동구 이노밸리로 168-0,전문음식,876
98,커피스미스동촌유원지점,대구 동구 효동로6길 118-0,카페/찻집,876
100,매일봄봄[한식],대구 동구 효동로2길 25-0,한식,853
