순위,업소명,주소,분류,현지인 검색 수
1,곤지곤지침산점,대구 북구 침산남로37길 27-0,한식,4083
2,핸즈커피성북교점,대구 북구 침산로 198-0,카페/찻집,3394
3,팔공산맥,대구 북구 칠곡중앙대로 329-0,한식,3022
4,오늘잡은소대구칠곡점,대구 북구 구리로 183-8,한식,2957
5,농협축산물프라자하나로마트한우셀프식당,대구 북구 침산남로 88-0,한식,2722
6,스테이블모먼트반석점,대구 북구 복현로8길 19-36,간이음식,2616
7,소소래,대구 북구 학정로 284-0,카페/찻집,2592
8,이가네더덕밥,대구 북구 이곡길 35-41,한식,2328
9,홍익돈까스칠곡점,대구 북구 구리로 173-0,전문음식,2325
10,수봉반점[중식],대구 북구 대현남로2길 60-0,외국식,1944
11,빌리웍스1,대구 북구 고성북로10길 41-0,카페/찻집,1869
12,칠성할매콩국수본점,대구 북구 침산남로 40-0,한식,1867
13,마고노더니스마고플레인태전점,대구 북구 팔거천서로 35-0,카페/찻집,1844
14,기와집,대구 북구 대천로7길 6-10,전문음식,1737
15,비움,대구 북구 침산남로9길 43-0,카페/찻집,1682
16,여원찜갈비,대구 북구 복현로 182-27,한식,1665
17,안동생갈비석경,대구 북구 학남로3길 32-1,한식,1614
18,다담뜰한식뷔페칠곡점,대구 북구 칠곡중앙대로 642-0,전문음식,1591
19,소문난부자돼지국밥본점,대구 북구 칠곡중앙대로 606-1,한식,1405
20,샤브마니아칠곡점,대구 북구 학정로 529-0,전문음식,1329
21,대동반점[중식],대구 북구 대현남로 49-0,외국식,1307
22,조돌해녀본점,대구 북구 동천로 125-10,전문음식,1299
23,전원숯불칠곡태전점,대구 북구 칠곡중앙대로 269-0,한식,1253
24,라라코스트복현점,대구 북구 검단로 5-0,전문음식,1252
25,고기굽는남자칠곡3지구점,대구 북구 동천로 138-8,한식,1252
26,고바슨커피아레나점,대구 북구 고성로 191-0,카페/찻집,1224
27,조선숯불갈비본점,대구 북구 옥산로 102-0,한식,1202
28,홍익돈까스대구복현점,대구 북구 동북로 187-1,전문음식,1189
29,걸리버막창,대구 북구 옥산로 53-0,한식,1188
30,대한콩국본점,대구 북구 팔거천동로34길 3-17,한식,1180
31,별꽃자리,대구 북구 동변로24길 64-0,카페/찻집,1179
32,맛찬들왕소금구이본점,대구 북구 호국로39길 26-0,한식,1144
33,북촌화로,대구 북구 동천로 125-10,한식,1135
34,벽강물회,대구 북구 침산남로 62-0,전문음식,1124
35,해장님감자탕태전점,대구 북구 칠곡중앙대로 307-0,한식,1108
36,레이지모닝칠곡점,대구 북구 동천로 5-15,간이음식,1083
37,신전떡볶이본점,대구 북구 칠성로17길 13-0,간이음식,1082
38,돌체참숯구이,대구 북구 팔거천동로24길 9-0,한식,1069
39,대진에스알,대구 북구 신천동로 654-0,카페/찻집,1055
40,제1국수집,대구 북구 노원로 242-0,한식,1043
41,안동황소고집식육식당,대구 북구 매천로 139-0,한식,998
42,도휴[중식],대구 북구 동화천로57길 6-0,외국식,992
43,다담뜰한식뷔페엑스코점,대구 북구 엑스코로 10-0,전문음식,963
44,에이엠칠곡점,대구 북구 동천로 128-6,전문음식,951
45,바르미샤브칼국수칠곡점,대구 북구 칠곡중앙대로91길 5-11,전문음식,949
46,파이퍼,대구 북구 호국로 300-22,카페/찻집,945
47,남다른감자탕노원점,대구 북구 원대로 131-0,한식,945
48,피카커피,대구 북구 학정로110길 24-1,카페/찻집,943
49,뚝방 삼지창,대구 북구 유통단지로3길 36-0,한식,929
50,교동면옥원대점,대구 북구 오봉로 20-0,한식,911
51,본가안동국시,대구 북구 대불서길 59-0,한식,902
52,핸즈커피운암호수점,대구 북구 구암로 228-0,카페/찻집,901
53,뭄뭄연경점,대구 북구 동화천로 229-0,외국식,899
54,원조어탕본점,대구 북구 대불서길 51-0,한식,866
55,허벌냉면칠곡본점,대구 북구 칠곡중앙대로116길 28-6,한식,848
56,교동면옥태전점,대구 북구 태전로 13-0,한식,829
57,샤브향태전점,대구 북구 구암로 59-0,전문음식,810
58,연화정삼계탕산격동점,대구 북구 유통단지로8길 21-19,한식,809
59,일월산침산본점,대구 북구 침산로 163-0,한식,792
60,푸릴리칠성점,대구 북구 칠성남로 123-0,전문음식,790
61,이비가짬뽕대구칠곡점 [중식],대구 북구 칠곡중앙대로 643-0,외국식,788
62,황우리,대구 북구 칠곡중앙대로 371-0,한식,775
63,순해집손칼국수본점,대구 북구 칠곡중앙대로46길 40-0,한식,765
64,예손가손칼국수,대구 북구 옥산로 62-0,한식,763
65,삼거리회타운,대구 북구 구암로 280-1,전문음식,749
66,전원숯불침산점,대구 북구 침산로 66-0,한식,748
67,로에베플로레스,대구 북구 이곡길 35-10,전문음식,736
68,이상근의삼거리오징어회타운,대구 북구 구암로 280-0,전문음식,720
69,해가빛코다리앤쭈꾸미,대구 북구 동암로12길 17-0,한식,707
70,돌수산회,대구 북구 학정로 528-0,전문음식,662
71,황장군침산점,대구 북구 옥산로 106-0,한식,657
72,황태풍경,대구 북구 구리로 151-0,한식,653
