순위,업소명,주소,분류,현지인 검색 수
1,스타벅스대구평리DT점,대구 서구 서대구로 89-0,카페/찻집,2174
2,맥도날드대구평리DT점,대구 서구 서대구로 95-0,간이음식,1939
3,쿠우쿠우대구서구점,대구 서구 와룡로 307-0,전문음식,1929
4,푸른회식당,대구 서구 달구벌대로375길 14-1,전문음식,1261
5,대성기사한식뷔페,대구 서구 달서천로 342-0,전문음식,1214
6,퀸즈크라운베이커리카페,대구 서구 서대구로 118-0,카페/찻집,1145
7,버거킹대구평리DT점,대구 서구 국채보상로 298-0,간이음식,1025
8,황장군평리점,대구 서구 서대구로 85-0,한식,963
9,의성무침회본점,대구 서구 달구벌대로375길 17-0,전문음식,927
10,라라코스트평리점,대구 서구 서대구로 82-0,전문음식,784
11,SUBWAY대구평리DT점,대구 서구 서대구로 111-0,간이음식,770
12,할리스대구팔달교DT점,대구 서구 팔달로 34-0,카페/찻집,746
13,구공탄막창,대구 서구 국채보상로 308-0,전문음식,637
14,팬더짬뽕전문점[중식],대구 서구 서대구로 64-0,외국식,564
15,제비원식당,대구 서구 달서천로87길 4-0,전문음식,539
16,트레이더스베이커리비산점,대구 서구 팔달로 54-0,간이음식,524
17,청송약수삼계탕본점,대구 서구 서대구로 130-0,한식,521
18,기찻길참숯구이,대구 서구 달서천로 232-0,한식,468
19,국가대표민물장어,대구 서구 와룡로 367-0,전문음식,453
20,두찜평리점,대구 서구 평리로 415-0,전문음식,374
21,남다른감자탕평리점,대구 서구 서대구로 147-0,한식,370
22,똘똘이식당,대구 서구 달구벌대로375길 31-0,전문음식,367
23,파스쿠찌대구신평리네거리점,대구 서구 국채보상로 204-0,카페/찻집,357
24,진미식육식당,대구 서구 달서천로83길 13-0,한식,342
25,손복자부산할매낙지,대구 서구 달구벌대로 1789-0,전문음식,340
26,고기굽는남자서구청점,대구 서구 국채보상로 233-0,한식,324
27,24시원조굴뚝배기전문점,대구 서구 북비산로 112-0,한식,321
28,완뽕본점 [중식],대구 서구 서대구로 50-0,외국식,318
29,죽전식당,대구 서구 와룡로 307-0,한식,314
30,장원부대찌개,대구 서구 달구벌대로 1795-0,전문음식,312
31,다담뜰한식뷔페서구내당점,대구 서구 달구벌대로 1783-0,전문음식,305
31,원조대가야성[중식],대구 서구 서대구로 178-0,외국식,305
33,섬,대구 서구 당산로47길 24-0,전문음식,279
34,청담면옥,대구 서구 서대구로 127-0,한식,275
35,피아자,대구 서구 서대구로 104-0,전문음식,258
36,전원숯불평리점,대구 서구 서대구로 122-0,한식,247
37,샤브향광장점,대구 서구 달구벌대로 1679-0,전문음식,244
38,숨쉬는순두부평리점,대구 서구 서대구로 115-0,한식,239
39,만두세상,대구 서구 서대구로62길 11-0,한식,237
40,바닐라빌리지,대구 서구 서대구로 152-0,카페/찻집,234
41,호남원조식당,대구 서구 달구벌대로375길 26-1,한식,233
42,부림복어,대구 서구 서대구로 100-0,전문음식,224
43,세종종합수산,대구 서구 와룡로 367-0,전문음식,222
44,배박사늑대갈비,대구 서구 서대구로 41-0,한식,214
45,KFC내당동점,대구 서구 달구벌대로 1689-0,간이음식,213
46,백번식당,대구 서구 서대구로2길 65-0,한식,212
47,평상면옥,대구 서구 달구벌대로 1763-0,한식,207
48,찬&찬막창삼겹살,대구 서구 달서천로 343-1,전문음식,201
49,카페이랑,대구 서구 국채보상로48길 6-7,카페/찻집,200
50,평리당,대구 서구 국채보상로 240-0,전문음식,194
51,시골돼지국밥,대구 서구 달서로 91-0,한식,193
52,현풍닭칼국수두류점,대구 서구 달구벌대로 1765-0,한식,186
53,윤바우네,대구 서구 달서천로 321-0,한식,176
54,시골부뚜막7호광장점,대구 서구 달구벌대로 1795-0,한식,173
55,등촌샤브칼국수서구점,대구 서구 국채보상로 235-1,한식,172
55,자박갈비북구청점,대구 서구 옥산로 34-0,한식,172
57,바라던바다대게새우,대구 서구 서대구로 132-0,전문음식,171
58,투썸플레이스퀸스로드점,대구 서구 평리로35길 18-14,카페/찻집,167
59,신마산,대구 서구 달서로 89-0,한식,161
60,신성회초밥,대구 서구 서대구로 56-0,외국식,160
61,구공탄막창,대구 서구 서대구로 120-0,전문음식,150
61,현이네,대구 서구 달구벌대로 1793-0,한식,150
63,교동면옥내당점,대구 서구 서대구로 52-0,한식,146
64,대하닭갈비,대구 서구 달구벌대로 1793-0,전문음식,145
65,중리숯불막창식당,대구 서구 와룡로72길 71-0,전문음식,143
