순위,업소명,주소,분류,현지인 검색 수
1,오문창순대국밥,대전 대덕구 한밭대로 1153-0,한식,4721
2,두두당,대전 대덕구 대청로 234-0,카페/찻집,1928
3,비래키키,대전 대덕구 비래골길 47-12,카페/찻집,1843
4,중부회수산시장,대전 대덕구 계족로 544-0,전문음식,1439
5,부추해물칼국수,대전 대덕구 신탄진로804번길 31-0,한식,1163
6,한마음정육식당와동점,대전 대덕구 장동로 75-0,한식,919
7,왕손곱창,대전 대덕구 대화로 69-0,전문음식,871
8,매봉식당,대전 대덕구 계족로664번길 113-0,한식,821
9,옥천순대매운족발,대전 대덕구 송촌로 9-0,한식,806
10,에이디카페,대전 대덕구 대청로 260-0,카페/찻집,738
11,향미각[중식],대전 대덕구 쌍청당로 14-0,외국식,721
12,유가옥설렁탕중리점,대전 대덕구 한밭대로 1161-0,한식,719
13,꽁뚜,대전 대덕구 신탄진로36번길 111-0,외국식,706
14,찌글이짜글이본점,대전 대덕구 대덕대로1454번길 13-0,한식,669
15,백마강참숯민물장어,대전 대덕구 동서대로 1752-0,전문음식,626
16,통일면옥,대전 대덕구 한밭대로1117번길 17-0,한식,597
17,띠울석갈비본점,대전 대덕구 신탄진로 209-0,한식,582
18,형제횟집,대전 대덕구 중리로76번길 22-0,전문음식,571
19,짬뽕지존신탄진점 [중식],대전 대덕구 신탄진로 578-0,외국식,564
20,이가촌,대전 대덕구 아리랑로 141-0,한식,536
21,뚝배기에담은이탈리아,대전 대덕구 송촌북로4번길 47-10,전문음식,534
22,모들식탁,대전 대덕구 대덕대로1448번길 117-0,한식,532
23,혜성옥본점,대전 대덕구 한밭대로 1147-0,한식,521
24,그린브라우니신탄진점,대전 대덕구 대청로 152-0,간이음식,519
25,초가랑,대전 대덕구 대청호수로1326번길 70-29,한식,517
26,필짬뽕,대전 대덕구 한남로137번길 43-0,외국식,515
27,또랑,대전 대덕구 계족로 550-0,한식,491
28,신화수산활어회센타2호점,대전 대덕구 오정로 125-0,전문음식,491
29,강길도낙지마을,대전 대덕구 선비마을로 9-0,전문음식,487
30,이화수전통육개장신일점,대전 대덕구 신일동로 1-0,한식,478
31,구들마루오정점,대전 대덕구 대전로 1009-0,한식,460
32,금강옥천올갱이,대전 대덕구 동춘당로15번길 90-0,한식,453
33,삼삼카페,대전 대덕구 대청호수로 1875-0,카페/찻집,450
34,소도둑대전송촌점,대전 대덕구 송촌북로4번길 49-0,한식,447
35,첨사취이,대전 대덕구 송촌북로 48-0,외국식,440
36,월산본가송촌점,대전 대덕구 계족산로81번길 87-0,한식,433
37,11시들쌈밥신탄진본점,대전 대덕구 대청로 9-0,한식,430
38,샤브쌈주머니오정점,대전 대덕구 한밭대로 1048-0,전문음식,416
39,방일해장국신탄진점,대전 대덕구 대덕대로1448번길 3-0,한식,395
40,영화반점[중식],대전 대덕구 신탄진동로23번길 46-0,외국식,393
41,양평칼국수,대전 대덕구 중리남로28번길 1-0,한식,373
42,미강손짜장[중식],대전 대덕구 덕암로181번길 19-0,외국식,355
43,황기왕짬뽕[중식],대전 대덕구 중리북로37번길 65-0,외국식,353
44,장승마을,대전 대덕구 신탄진동로24번길 24-0,전문음식,347
45,대청골순대국밥,대전 대덕구 대청로 10-0,한식,346
46,송촌먹자골목,대전 대덕구,음식점기타,327
47,황제장어나라송촌점,대전 대덕구 계족산로81번길 95-0,전문음식,325
48,복수한우날고기,대전 대덕구 계족산로36번길 33-0,한식,324
49,가마솥해장국,대전 대덕구 산업단지로87번길 13-0,한식,320
50,은혜식당,대전 대덕구 한밭대로1159번길 11-0,한식,318
51,몽심,대전 대덕구 한남로38번길 28-0,간이음식,316
52,을축,대전 대덕구 신탄진동로23번길 81-0,간이음식,305
53,가마솥팔팔통닭,대전 대덕구 송촌북로20번길 14-0,간이음식,304
54,망골고개식당,대전 대덕구 석봉로3번길 41-0,한식,281
55,오리사랑,대전 대덕구 계족산로81번길 39-0,전문음식,273
56,강가에서,대전 대덕구 대청로 429-0,전문음식,265
57,이성수왕짬뽕순두부1호점,대전 대덕구 비래서로 25-0,한식,259
58,어가아구찜,대전 대덕구 중리동로 17-0,한식,255
59,이촌농장,대전 대덕구 대청로424번길 440-0,한식,251
60,큰집추어탕,대전 대덕구 계족로 728-0,한식,249
61,안골식당,대전 대덕구 대청로570번길 77-0,한식,244
62,예산소복갈비,대전 대덕구 송촌남로 43-0,한식,239
63,계림가든,대전 대덕구 신탄진로36번길 127-0,한식,236
64,장수촌,대전 대덕구 신탄진로 512-0,한식,235
65,임단아갈비탕&찜본점,대전 대덕구 신탄진동로 13-0,한식,230
66,코다리밥상송촌점,대전 대덕구 송촌북로36번길 24-0,한식,227
67,다원정,대전 대덕구 신탄진동로24번길 10-0,한식,226
68,왕실전골칼국수,대전 대덕구 계족산로36번길 67-0,한식,223
69,춘복여관경양식,대전 대덕구 신탄진동로7번안길 12-0,전문음식,219
70,카페아마떼대청호점,대전 대덕구 대청로424번길 554-0,카페/찻집,216
71,이종구항아리짬뽕오정점 [중식],대전 대덕구 한밭대로1006번길 11-0,외국식,210
72,기막고,대전 대덕구 신탄진동로 43-0,한식,205
73,계족산풍천가,대전 대덕구 신탄진로36번길 210-0,한식,202
