순위,업소명,주소,분류,현지인 검색 수
1,맥도날드대전가장DT점,대전 서구 도산로 324-0,간이음식,11982
2,베스타프리미엄뷔페,대전 서구 만년로 70-0,전문음식,10130
3,스타벅스대전관저점,대전 서구 관저로 142-0,카페/찻집,5834
4,비씨씨킹덤,대전 서구 문정로 40-0,전문음식,4965
5,맥도날드대전가수원DT점,대전 서구 계백로 1124-0,간이음식,4552
6,신촌설렁탕만년점,대전 서구 대덕대로 390-0,한식,4411
7,성심당롯데백화점대전점,대전 서구 계룡로 598-0,간이음식,4310
8,대선칼국수,대전 서구 둔산중로40번길 28-0,한식,4249
9,아웃백스테이크하우스대전둔산점,대전 서구 대덕대로 164-0,전문음식,4208
10,스타벅스대전용문DT점,대전 서구 도산로 336-0,카페/찻집,4197
11,상무초밥둔산직영점,대전 서구 둔산로31번길 66-0,외국식,4128
12,스타벅스대전가수원DT점,대전 서구 계백로 1128-0,카페/찻집,3870
13,스타벅스대전갈마DT점,대전 서구 계룡로 384-0,카페/찻집,3571
14,VIPS둔산점,대전 서구 대덕대로 243-0,전문음식,3168
15,바다수산,대전 서구 계룡로 338-0,전문음식,3147
16,하레하레도안점,대전 서구 원도안로26번길 13-0,간이음식,3061
17,공주떡집대전본점,대전 서구 용문로 89-0,간이음식,3010
18,옥수숯불구이,대전 서구 변동중로 49-0,한식,2796
19,델빠네,대전 서구 원도안로207번길 16-61,카페/찻집,2766
20,짬뽕지존대전둔산점 [중식],대전 서구 둔산서로 13-0,외국식,2755
21,몽뜨,대전 서구 원도안로257번길 48-0,카페/찻집,2705
22,강남면옥,대전 서구 둔산로123번길 15-0,한식,2668
23,드르쿰다from제주,대전 서구 계룡로314번길 8-0,카페/찻집,2534
24,여자만장어구이,대전 서구 만년로68번길 38-0,전문음식,2514
25,사리원본점,대전 서구 둔산로31번길 77-0,한식,2497
26,정치망,대전 서구 도안대로 47-0,전문음식,2483
26,랑만[중식],대전 서구 원도안로179번길 22-28,외국식,2483
28,달빛에구운고등어대전도마점,대전 서구 도림2길 11-0,한식,2458
29,스타벅스대전복수점,대전 서구 복수남로 28-0,카페/찻집,2383
30,에그드랍관저점,대전 서구 관저로 157-0,간이음식,2364
31,공주칼국수,대전 서구 용문로 32-0,한식,2299
32,쿠우쿠우대전가수원점,대전 서구 도안동로 10-0,전문음식,2286
33,설악칡냉면,대전 서구 둔산대로117번길 56-0,한식,2208
34,스타벅스대전수침교DT점,대전 서구 계룡로 692-0,카페/찻집,2187
35,진주냉면이설옥,대전 서구 가장로 77-0,한식,2120
36,천년의정원[중식],대전 서구 만년로67번길 18-13,외국식,2110
37,KFC대전시청역점,대전 서구 둔산로 121-0,간이음식,2090
38,스타벅스대전목원대점,대전 서구 동서대로 682-0,카페/찻집,1996
39,오도르,대전 서구 도안동로 144-34,카페/찻집,1988
40,버거킹대전관저점,대전 서구 구봉로147번길 68-12,간이음식,1983
41,드로이,대전 서구 용소로60번길 54-0,전문음식,1971
42,소나무풍경,대전 서구 괴정로116번길 42-0,한식,1966
43,스타벅스대전만년점,대전 서구 만년로 81-0,카페/찻집,1899
44,크리스피크림도넛대전둔산점,대전 서구 둔산중로 46-0,간이음식,1893
45,오한순손수제비,대전 서구 신갈마로230번길 36-0,한식,1881
46,경복궁대전점,대전 서구 대덕대로 366-0,한식,1812
47,바르미샤브샤브앤칼국수탄방점,대전 서구 문정로 77-0,전문음식,1811
48,담양애떡갈비,대전 서구 만년남로3번길 16-8,한식,1807
49,워낭명가둔산시청점,대전 서구 둔산서로 41-0,한식,1805
50,인아웃,대전 서구 용소로44번길 21-0,카페/찻집,1803
51,귀빈돌솥밥,대전 서구 만년로68번길 21-0,전문음식,1783
52,대나무통밥맛정식,대전 서구 대덕대로 370-0,한식,1780
53,드리오리갈마동지점,대전 서구 신갈마로 57-0,전문음식,1770
54,가마솥보은순대,대전 서구 신갈마로 58-17,한식,1754
55,까르르스타대전점,대전 서구 만년로 70-0,전문음식,1714
56,스타벅스대전시청사거리점,대전 서구 둔산남로 50-0,카페/찻집,1702
57,구르메,대전 서구 둔산대로117번길 22-0,한식,1701
58,캘리포니아베이커리,대전 서구 둔산남로91번길 13-0,간이음식,1685
59,흥부네칼국수보리밥,대전 서구 가수원중로 53-0,한식,1653
60,설천순대국밥,대전 서구 둔산로51번길 66-0,한식,1643
61,투드커피,대전 서구 상보안길 105-0,카페/찻집,1629
62,설짬뽕[중식],대전 서구 도안대로 37-0,외국식,1616
63,토미야[일식],대전 서구 청사서로 14-0,외국식,1613
64,초가집,대전 서구 갈마로85번길 30-0,한식,1604
64,프랭크커핀바대전점,대전 서구 용소로40번길 29-0,카페/찻집,1604
66,태평소국밥둔산점,대전 서구 둔산로31번길 52-0,한식,1584
66,일당감자탕둔산시청점,대전 서구 둔산중로46번길 22-0,한식,1584
68,바르미샤브샤브N칼국수관저점,대전 서구 도안대로 37-0,전문음식,1552
69,맥키스컴퍼니,대전 서구 영골길 158-0,음식점기타,1501
70,후지산,대전 서구 둔산로137번길 21-0,외국식,1488
71,학짬뽕대전점 [중식],대전 서구 월평로 94-1,외국식,1470
72,만년닭강정둔산직영점,대전 서구 대덕대로 179-0,간이음식,1464
73,모루,대전 서구 봉우로56번길 7-15,전문음식,1440
74,쿠우쿠우대전둔산점,대전 서구 대덕대로233번길 17-0,전문음식,1434
75,원조태평소국밥갈마점,대전 서구 신갈마로 179-0,한식,1433
76,구들마루정림점,대전 서구 정림로65번길 32-10,한식,1428
77,버거킹대전월평점,대전 서구 월평북로 81-0,간이음식,1405
78,대성콩국수,대전 서구 도산로 137-0,한식,1376
79,정일품두손두부,대전 서구 둔산대로117번길 34-0,한식,1375
