순위,업소명,주소,분류,현지인 검색 수
1,성심당본관,대전 중구 대종로480번길 15-0,간이음식,14808
2,원조태평소국밥태평본점,대전 중구 태평로 116-0,한식,4851
3,월산본가,대전 중구 대종로 455-0,한식,4386
4,영동뜨끈이,대전 중구 대전천서로 375-1,한식,3231
5,농민순대,대전 중구 충무로 138-0,한식,3058
6,반찬식당,대전 중구 보문산공원로 484-0,한식,2599
7,시민칼국수,대전 중구 대흥로10번길 5-0,한식,2288
8,선화동소머리해장국본점,대전 중구 선화로 128-0,한식,2203
9,광천식당,대전 중구 대종로505번길 29-0,전문음식,1665
10,스마일칼국수,대전 중구 보문로230번길 82-0,한식,1555
11,점선면,대전 중구 부용로 44-0,카페/찻집,1439
12,희락반점[중식],대전 중구 중앙로129번길 21-0,외국식,1407
13,바다황제,대전 중구 대흥로121번길 43-0,전문음식,1370
14,사리원면옥본점,대전 중구 중교로 62-0,한식,1263
15,실비식당,대전 중구 선화로 126-10,한식,1235
16,백암골흑염소마을,대전 중구 태평로44번길 6-0,한식,1218
17,손이가어죽칼국수,대전 중구 중앙로121번길 48-0,한식,1192
18,모습,대전 중구 보문산로 331-0,카페/찻집,1170
19,만수민물장어참숯구이,대전 중구 보문산로 331-0,전문음식,1079
20,문화농원,대전 중구 보문산로 186-45,한식,1023
21,신화수산활어회타운,대전 중구 산서로 16-0,전문음식,930
22,만나대흥본점,대전 중구 대흥로 138-0,전문음식,839
23,대전갈비집,대전 중구 대전천서로 419-8,한식,820
24,도담[한식],대전 중구 계백로1630번길 11-0,한식,809
25,원조태평소국밥유천점,대전 중구 유천로 17-1,한식,801
26,감자바위골식당,대전 중구 보문로20번길 14-4,한식,773
27,유씨네부엌,대전 중구 보문산공원로497번길 109-0,한식,766
28,별뜨는집,대전 중구 보문로162번길 66-0,한식,758
29,한영식당,대전 중구 계룡로874번길 6-0,한식,754
30,성심당케익부띠끄본점,대전 중구 대종로 480-0,간이음식,754
31,진주냉면이설옥,대전 중구 대전천서로 275-1,한식,754
32,동소예,대전 중구 충무로 125-0,한식,746
33,보문산호랭이,대전 중구 중교로 84-1,외국식,717
34,두손개성만두,대전 중구 보문산로365번길 2-0,한식,657
35,김판순김치찌개,대전 중구 안영로 45-0,한식,648
36,착한낙지보문산점,대전 중구 대종로 331-0,전문음식,627
37,태화원[중식],대전 중구 중앙로112번길 43-0,외국식,625
38,칼짬뽕[중식],대전 중구 문화로 88-0,외국식,618
39,금광한정식[한식],대전 중구 충무로 127-0,한식,612
40,몽그라운드애견카페,대전 중구 어덕마을로 42-5,카페/찻집,599
41,샤브쌈주머니서대전역점,대전 중구 오류로 31-0,전문음식,593
42,카라멜,대전 중구 보문로288번길 19-0,전문음식,589
43,서울북어,대전 중구 목중로20번길 54-0,전문음식,578
44,홍두깨칼국수,대전 중구 대종로 258-0,한식,572
45,옹심이메밀칼국수,대전 중구 계룡로904번길 19-0,한식,570
46,진로집,대전 중구 중교로 45-5,한식,568
47,육교회관,대전 중구 문화로 145-0,전문음식,564
48,밀밭칼국수본점,대전 중구 보문산로 147-18,한식,554
49,아줌마돈까스,대전 중구 충무로 124-0,전문음식,539
50,태평족발,대전 중구 동서대로 1224-0,전문음식,536
51,부잣집곰탕,대전 중구 대흥로 131-0,한식,531
52,맛소야직영점,대전 중구 대전천서로 627-0,한식,531
53,동백카츠대흥점,대전 중구 대종로452번길 3-0,전문음식,526
54,시골막국수앤옹심이본점,대전 중구 대둔산로 275-0,한식,524
55,예지원[한식],대전 중구 중앙로16번길 27-17,한식,515
56,황토우렁이마을,대전 중구 대둔산로 454-0,한식,514
57,한마음정육식당중촌점,대전 중구 어덕마을로 146-0,한식,507
58,요우란[일식],대전 중구 선화서로 34-0,외국식,499
59,할머니추어탕,대전 중구 대흥로 138-0,한식,498
60,목구멍대전오류점,대전 중구 계룡로882번길 58-0,한식,496
61,백조한우마을본점,대전 중구 중촌로24번길 5-0,한식,495
62,어두리,대전 중구 계룡로882번길 108-0,한식,482
63,청원농장,대전 중구 사정공원로 209-0,한식,479
64,안영한우마을,대전 중구 대둔산로 166-0,한식,467
65,신도칼국수중촌점,대전 중구 대전천서로 679-1,한식,460
66,투웨이버거목동직영점,대전 중구 동서대로1365번길 6-0,간이음식,444
67,남다른감자탕대전본점,대전 중구 계백로 1601-0,한식,434
68,겐로쿠우동서대전점,대전 중구 계룡로918번길 24-0,외국식,428
69,동은성[중식],대전 중구 대종로 532-1,외국식,424
70,크래버대게나라서대전점,대전 중구 계룡로 875-0,전문음식,418
71,선코다리냉면서대전점,대전 중구 대흥로 22-0,한식,417
72,황제명태본가,대전 중구 계백로 1556-0,한식,400
73,현대식당,대전 중구 중앙로130번길 37-10,한식,398
74,황제장어나라유천점,대전 중구 유천로 90-0,전문음식,392
75,오시우커피,대전 중구 목척8길 37-0,카페/찻집,391
76,청석골칡냉면,대전 중구 보문산로141번길 39-0,한식,388
77,목동칼국수목동점,대전 중구 목중로19번길 76-0,한식,376
78,서울치킨,대전 중구 중앙로112번길 34-0,간이음식,376
79,비래옥,대전 중구 중앙로129번길 22-0,한식,371
80,풍전삼계탕,대전 중구 계백로 1620-0,한식,369
81,샤브마니아태평점,대전 중구 계백로1565번길 11-0,전문음식,364
82,알로하녹,대전 중구 대종로521번길 29-0,카페/찻집,356
83,예가촌,대전 중구 계룡로 932-1,한식,351
84,제주오목돈,대전 중구 계룡로874번길 97-0,한식,347
