순위,업소명,주소,분류,현지인 검색 수
1,토북베이커리강서점,부산 강서구 낙동남로 526-1,간이음식,8702
2,비아조,부산 강서구 식만로 164-0,카페/찻집,5348
3,록산,부산 강서구 화전산업대로 272-43,카페/찻집,4396
4,영진돼지국밥,부산 강서구 명지오션시티8로 31-0,한식,4114
5,구디너프,부산 강서구 가덕해안로1169번길 28-0,카페/찻집,3448
6,카페진목,부산 강서구 명지새동네길2번길 56-3,카페/찻집,3299
7,월남면반,부산 강서구 명지국제6로302번길 19-3,외국식,3236
8,오리한상,부산 강서구 명지국제9로 66-0,전문음식,2960
9,이프리오,부산 강서구 범방4로 32-0,카페/찻집,2920
10,명지첫집국제신도시점,부산 강서구 명지국제6로232번길 18-0,전문음식,2907
11,신호활어회센터,부산 강서구 신호산단1로 60-0,전문음식,2902
12,테라비본점,부산 강서구 명지국제8로10번길 16-0,전문음식,2828
13,샤브20부산명지점,부산 강서구 명지국제8로 19-0,전문음식,2773
14,카페오플로우,부산 강서구 가락대로 1206-0,카페/찻집,2712
15,다온나루,부산 강서구 범방3로46번길 21-0,카페/찻집,2432
16,그랜드하브,부산 강서구 가덕해안로 924-0,카페/찻집,2419
17,그날이후불타는삼겹살,부산 강서구 새진목길11번길 22-0,한식,2314
18,코지하우스명지점,부산 강서구 명지국제11로 70-0,전문음식,2271
19,소희네집,부산 강서구 가덕해안로1208번길 2-12,전문음식,2243
20,어라우즈로스터리,부산 강서구 르노삼성대로 630-0,카페/찻집,2187
21,용장어요리전문점,부산 강서구 낙동남로682번길 94-0,전문음식,2026
22,대저할매국수,부산 강서구 대저중앙로 337-0,한식,1887
23,포레스트3002,부산 강서구 낙동남로682번길 262-0,카페/찻집,1874
24,장룡수산본점,부산 강서구 낙동남로 749-0,전문음식,1799
25,정원오리촌,부산 강서구 명지오션시티10로 127-0,전문음식,1731
26,로다로지,부산 강서구 명지국제12로19번길 20-10,카페/찻집,1726
27,이지요 더파크,부산 강서구 신호산단1로72번길 54-0,카페/찻집,1677
28,푸디 1354,부산 강서구 가락대로 1354-0,한식,1648
29,할리스부산명지국제신도시점,부산 강서구 명지국제11로 57-0,카페/찻집,1586
30,자갈치왕짬뽕[중식],부산 강서구 공항로447번길 6-0,외국식,1564
31,일삼육고기집,부산 강서구 명지국제8로 293-0,한식,1551
32,박가네순두부,부산 강서구 신호산단1로98번길 91-0,한식,1506
33,채선당자연한가득부산명지점,부산 강서구 명지국제1로 60-1,전문음식,1505
34,방코,부산 강서구 새진목길 51-0,전문음식,1461
35,앙로고택,부산 강서구 식만로 122-0,카페/찻집,1458
36,효돈까스명지국제신도시점,부산 강서구 명지국제6로318번길 38-0,전문음식,1452
37,영진돼지국밥신호점,부산 강서구 신호산단2로49번길 48-0,한식,1447
38,룸606,부산 강서구 명지국제6로 316-0,전문음식,1401
39,칠곡보리밥칼국수,부산 강서구 신호산단4로64번길 35-0,한식,1400
40,낙동강오리알본점,부산 강서구 상덕로 35-1,전문음식,1356
41,수미가칼국수,부산 강서구 영강길 157-0,한식,1356
42,명지첫집오션시티직영점,부산 강서구 명지오션시티11로 74-0,전문음식,1320
43,녹산용가든,부산 강서구 낙동남로682번길 94-0,한식,1296
44,한그루양과점,부산 강서구 명지국제6로1번길 37-0,카페/찻집,1294
45,꿈꾸는요리사제과점2호점,부산 강서구 신호산단4로 54-0,간이음식,1293
46,우적명지점,부산 강서구 명지국제6로1번가길 6-0,한식,1290
47,만호갈미샤브샤브,부산 강서구 르노삼성대로 602-0,전문음식,1287
48,하라케이크부산점,부산 강서구 명지국제6로302번길 11-6,간이음식,1283
49,자담면가,부산 강서구 영강길81번길 10-0,한식,1270
50,챠오샤브,부산 강서구 명지국제2로28번길 23-0,한식,1247
51,류센소명지점,부산 강서구 명지국제5로148번길 16-1,외국식,1235
52,녹슨드럼통본점,부산 강서구 경전철로 233-2,한식,1170
53,브런치빈부산명지점,부산 강서구 명지오션시티4로 94-0,카페/찻집,1156
54,금촌돼지국밥,부산 강서구 명지국제6로1번가길 23-1,한식,1151
55,벨렘351,부산 강서구 대저로299번길 6-0,카페/찻집,1149
56,봄내멸치쌈밥,부산 강서구 명지오션시티8로 27-0,한식,1112
57,소고기집박군명지점,부산 강서구 명지국제6로220번길 5-4,한식,1108
58,이비가짬뽕부산명지점 [중식],부산 강서구 명지국제4로208번길 6-8,외국식,1105
59,글리제,부산 강서구 가덕해안로 592-0,카페/찻집,1097
60,산골애명지점,부산 강서구 명지오션시티1로 173-0,전문음식,1089
61,토다이U명지점,부산 강서구 명지국제6로 107-0,전문음식,1049
62,CAFE미루,부산 강서구 새진목길 58-0,카페/찻집,1049
63,낭만송백,부산 강서구 맥도강변길 283-0,카페/찻집,1028
64,오늘도대박집명지신호점,부산 강서구 신호산단2로 43-13,한식,1003
65,경마장돌짜장[중식],부산 강서구 가락대로900번가길 9-0,외국식,958
66,부산댁명지점,부산 강서구 명지국제6로232번길 6-1,한식,942
67,보배반점명지점 [중식],부산 강서구 명지오션시티10로 140-0,외국식,940
68,금빛노을,부산 강서구 둔치강변길 656-0,카페/찻집,940
69,수백당돼지국밥명지점,부산 강서구 명지국제8로 287-0,한식,939
70,백소정부산명지점,부산 강서구 명지오션시티7로 33-0,전문음식,929
71,브리타니,부산 강서구 가덕해안로 663-0,카페/찻집,918
72,꿈꾸는요리사국제신도시점,부산 강서구 명지국제8로 230-0,간이음식,918
73,부산조개창고명지점,부산 강서구 명지국제2로28번길 23-0,전문음식,915
74,동해수산,부산 강서구 신호산단1로72번길 7-0,전문음식,895
75,하농숯불갈비2호점,부산 강서구 명지국제12로19번길 1-0,한식,890
76,대마등,부산 강서구 르노삼성대로 574-0,한식,888
77,현풍닭칼국수명지점,부산 강서구 명지국제8로 286-0,한식,883
78,팔각도부산명지점,부산 강서구 명지국제6로232번길 13-1,전문음식,882
79,부자떡집,부산 강서구 명지오션시티11로 84-0,간이음식,877
80,조방낙지코다리찜,부산 강서구 명지국제6로318번길 34-1,전문음식,874
81,영진돼지국밥,부산 강서구 과학산단로 349-0,한식,872
82,칸웨이명지점 [중식],부산 강서구 명지오션시티4로 84-0,외국식,837
83,동경회관,부산 강서구 신호산단1로72번길 17-0,전문음식,836
84,행스,부산 강서구 명지국제5로148번길 16-2,전문음식,825
85,주왕산삼계탕본점,부산 강서구 신포길39번길 35-0,한식,825
86,돗간,부산 강서구 명지국제12로29번길 4-0,한식,820
