순위,업소명,주소,분류,현지인 검색 수
1,맥도날드부산구서DT점,부산 금정구 중앙대로 1957-0,간이음식,5450
2,선유도원,부산 금정구 상현로 64-0,카페/찻집,3694
3,스타벅스금정남산동DT점,부산 금정구 중앙대로 1989-0,카페/찻집,2725
4,스타벅스금정구청DT점,부산 금정구 중앙대로 1730-0,카페/찻집,2515
5,배비장보쌈구서본점,부산 금정구 금정로 239-0,전문음식,2443
6,모모스커피부산본점,부산 금정구 오시게로 20-0,카페/찻집,2192
7,버거킹부산금정오일뱅크점,부산 금정구 중앙대로 1664-0,간이음식,2167
8,부산갈매기,부산 금정구 체육공원로 565-0,한식,2058
9,압구정한우갈비,부산 금정구 청룡로 61-0,한식,1989
10,헤이든신씨어,부산 금정구 산성로 436-0,카페/찻집,1952
11,스타벅스온천장역DT점,부산 금정구 식물원로 13-0,카페/찻집,1898
12,마파람해물찜해물탕구서본점,부산 금정구 금강로 418-0,한식,1851
12,포구나무집,부산 금정구 조리2길 13-7,한식,1851
14,KFC부산구서DT점,부산 금정구 중앙대로 1824-0,간이음식,1633
15,기와집,부산 금정구 오륜대로 245-0,전문음식,1327
16,얼크니손칼국수,부산 금정구 금강로 752-0,한식,1300
17,이흥용과자점구서점,부산 금정구 금샘로 379-1,간이음식,1254
18,더팜471,부산 금정구 하마2길 28-17,카페/찻집,1221
19,우정갈비,부산 금정구 금샘로 353-0,한식,1185
20,리디엔폴,부산 금정구 금샘로 219-0,카페/찻집,1110
21,손영환비빔국수칼국수,부산 금정구 체육공원로 524-0,한식,1093
22,투썸플레이스부산남산점,부산 금정구 금샘로 399-1,카페/찻집,1081
23,하동집,부산 금정구 오륜대로 258-0,전문음식,1080
24,전원숯불구서점,부산 금정구 금강로 449-0,한식,1030
25,경주집,부산 금정구 하마2길 6-0,전문음식,1016
26,명륜진사갈비부산구서점,부산 금정구 금정로185번길 30-0,한식,995
27,만서리이가네막국수,부산 금정구 식물원로 27-0,한식,985
28,베이킹맘큐원성신유통,부산 금정구 공단로 51-0,간이음식,978
29,티원,부산 금정구 범어사로 363-0,카페/찻집,976
30,푸주옥설렁탕도가니탕,부산 금정구 금정로 248-0,한식,945
31,오륙도낙지,부산 금정구 수림로20번길 49-0,전문음식,929
32,초심한우정,부산 금정구 범어천로 11-0,한식,887
33,할매집,부산 금정구 오륜대로 145-107,한식,854
34,셀라스범어사점,부산 금정구 금샘로 538-0,카페/찻집,852
35,동원분식,부산 금정구 금사로51번길 9-0,간이음식,826
36,경희궁구서점,부산 금정구 금샘로 441-0,전문음식,810
37,면채움,부산 금정구 금정로231번길 11-0,간이음식,803
38,맥도날드부산대2호점,부산 금정구 금정로60번길 24-0,간이음식,802
39,녹우원,부산 금정구 중앙대로1763번길 27-0,한식,783
40,뉴숯불통닭본점,부산 금정구 금강로335번길 55-0,간이음식,777
41,느루[한식],부산 금정구 금샘로 478-0,한식,768
42,무심정[한식],부산 금정구 북문로 23-0,한식,765
43,샤브향남산점,부산 금정구 금샘로 533-0,전문음식,749
44,구포촌국수,부산 금정구 금샘로 490-0,한식,739
45,수림식당본점,부산 금정구 금샘로 7-0,외국식,705
46,투썸플레이스부산금정산성점,부산 금정구 산성로 448-0,카페/찻집,696
47,감나무집,부산 금정구 범어사로 334-0,전문음식,691
48,할리스부산금강식물원점,부산 금정구 금샘로 22-0,카페/찻집,669
49,더도이종가집돼지국밥구서점,부산 금정구 금정로 249-0,한식,651
50,농가의하루,부산 금정구 금샘로 335-0,외국식,617
51,톤쇼우,부산 금정구 금강로 247-10,전문음식,615
52,아이리,부산 금정구 북문로 73-0,카페/찻집,592
53,석대다리집,부산 금정구 공단동로 3-0,한식,563
54,SUBWAY장전역점,부산 금정구 중앙대로1719번길 30-0,간이음식,560
55,고려해장국,부산 금정구 청룡예전로 34-0,한식,532
56,옵스구서골드점,부산 금정구 금강로 477-0,간이음식,530
57,채선당플러스남산점,부산 금정구 청룡로 59-0,전문음식,525
57,안경희개미집금정직영점,부산 금정구 금정로 204-0,전문음식,525
59,우디,부산 금정구 식물원로 36-5,전문음식,495
59,파스쿠찌부산남산점,부산 금정구 금샘로 351-0,카페/찻집,495
61,우렁각시와꽃길,부산 금정구 중앙대로1929번길 12-0,한식,493
62,이랴이랴남산점,부산 금정구 중앙대로 1975-0,한식,486
63,투썸플레이스구서SK점,부산 금정구 수림로72번길 104-0,카페/찻집,456
64,범일돼지국밥,부산 금정구 무학송로 129-0,한식,451
65,카페지수,부산 금정구 산성로 428-0,카페/찻집,448
66,명품달인김밥본점,부산 금정구 중앙대로 2346-0,간이음식,443
67,해오름[한식],부산 금정구 체육공원로 680-0,한식,442
68,본중식,부산 금정구 금샘로 359-0,외국식,438
69,양지집,부산 금정구 오륜대로 271-0,한식,430
70,다인,부산 금정구 땅곡길 45-5,한식,429
71,대성관초밥,부산 금정구 금강로 179-0,외국식,426
72,자봉산장,부산 금정구 북문로 32-0,한식,425
73,금빛코다리남산점,부산 금정구 남산로 10-0,한식,422
74,울산집,부산 금정구 오륜대로 145-93,한식,415
75,오복미역구서점,부산 금정구 금정로 251-0,한식,396
75,동원장수촌,부산 금정구 금강로 577-0,한식,396
77,임진각식당,부산 금정구 놀이마당로 24-0,한식,392
78,버거킹부산외대점,부산 금정구 금샘로 478-0,간이음식,391
79,24시약수터해장국,부산 금정구 금샘로 421-0,한식,390
80,금정한정식[한식],부산 금정구 금샘로 431-0,한식,386
81,돌솥돌판아구찜,부산 금정구 수내2길 37-0,한식,384
82,디위드,부산 금정구 중앙대로 2356-0,카페/찻집,376
83,소나무집,부산 금정구 오륜대로 274-0,전문음식,373
84,바담코다리본점,부산 금정구 금샘로 453-0,한식,371
85,맛나감자탕구서점,부산 금정구 금강로 528-0,한식,368
86,고기굽는남자구서점,부산 금정구 수림로50번길 122-0,한식,364
87,낭만제주,부산 금정구 금정로 200-0,한식,357
88,금샘다방,부산 금정구 금샘로 574-0,카페/찻집,346
89,부산모밀,부산 금정구 금강로 734-1,외국식,342
89,배스킨라빈스부산구서역점,부산 금정구 구서로 5-0,간이음식,342
89,서문국수,부산 금정구,한식,342
92,동래산성낙원집,부산 금정구 산성로 418-0,한식,334
93,설봉돼지국밥,부산 금정구 수림로49번길 6-0,한식,327
93,원조동촌칼국수,부산 금정구 금샘로 563-0,한식,327
95,해운대31cm해물칼국수구서점,부산 금정구 금정로231번길 22-0,한식,325
96,도미노피자구서점,부산 금정구 금강로 433-0,간이음식,324
97,스타벅스금정구서점,부산 금정구 금강로 441-0,카페/찻집,318
97,한우고기집,부산 금정구 금샘로 341-0,한식,318
99,와사비꼬막정식금정점,부산 금정구 중앙대로 1714-0,전문음식,313
100,맥도날드부곡점,부산 금정구 수림로 6-0,간이음식,312
