순위,업소명,주소,분류,현지인 검색 수
1,칠암사계,부산 기장군 칠암1길 7-10,카페/찻집,16404
2,대게만찬,부산 기장군 기장해안로 266-0,전문음식,7453
3,웨이브온커피,부산 기장군 해맞이로 286-0,카페/찻집,7259
4,미식일상,부산 기장군 동부산관광로 34-0,외국식,4667
5,바릇식당,부산 기장군 문오성길 61-0,전문음식,4568
6,풍원장시골밥상집[한식],부산 기장군 기장해안로 250-0,한식,4285
7,얼크니손칼국수기장점,부산 기장군 차성로417번길 22-0,한식,3986
8,헤이든,부산 기장군 문오성길 22-0,카페/찻집,3781
9,고향연화,부산 기장군 연화길 33-8,전문음식,3279
10,하녹,부산 기장군 내리길 146-5,카페/찻집,3269
11,두루미베이커리카페,부산 기장군 곰내길 654-77,카페/찻집,3185
12,제이엠커피로스터스부산본점,부산 기장군 대변3길 8-0,카페/찻집,3185
13,코랄라니,부산 기장군 기장해안로 32-0,카페/찻집,2980
14,보몽드,부산 기장군 구기길 19-7,카페/찻집,2905
15,유정1995,부산 기장군 병산로 303-0,카페/찻집,2619
16,칠암일번지횟집,부산 기장군 문오성길 547-0,전문음식,2600
17,공극샌드커피,부산 기장군 공수해안길 41-0,카페/찻집,2402
18,제이엠커피로스터스정관점,부산 기장군 곰내길 634-0,카페/찻집,2345
19,기장끝집본점,부산 기장군 기장해안로 895-0,간이음식,2222
20,일등가한우만찬,부산 기장군 기장해안로 266-0,한식,2196
21,바보낙지,부산 기장군 동암해안길 6-0,한식,2185
22,로아누,부산 기장군 기장대로 868-34,한식,2163
23,피크스퀘어,부산 기장군 기장해안로 864-0,카페/찻집,2139
24,철마연밥[한식],부산 기장군,한식,2094
25,어느멋진날,부산 기장군 기장해안로 1286-0,전문음식,2086
26,우즈베이커리,부산 기장군 일광로 346-0,간이음식,2016
27,명품물회,부산 기장군 기장해안로 34-20,전문음식,2009
28,흙시루,부산 기장군 차성로451번길 28-0,한식,1942
29,덕미,부산 기장군 동암해안길 77-0,카페/찻집,1926
30,영진돼지국밥정관점,부산 기장군 산단2로 51-0,한식,1908
31,일광아구찜,부산 기장군 삼성3길 55-0,한식,1901
32,형제가든,부산 기장군 석길길 16-6,한식,1885
33,대보름,부산 기장군 기장해안로 98-0,카페/찻집,1863
34,마리솔,부산 기장군 일광로 290-0,카페/찻집,1859
35,곰내재468,부산 기장군 곰내길 468-0,한식,1845
36,메이크씨,부산 기장군 일광로 754-0,카페/찻집,1800
37,탐복,부산 기장군 문오성길 31-0,한식,1792
38,철마한우수목원,부산 기장군 곰내길 308-0,한식,1743
39,포에버얌,부산 기장군 문오성길 43-0,외국식,1725
40,어촌밥상,부산 기장군 연화2길 4-0,한식,1710
41,카페도토리 로스터스,부산 기장군 상장안1길 29-4,카페/찻집,1695
42,전산가든,부산 기장군 학리길 16-0,한식,1676
43,더이스트인부산,부산 기장군 기장해안로 266-0,전문음식,1642
44,카페드220볼트오시리아,부산 기장군 기장해안로 98-0,카페/찻집,1631
45,가마솥생복집,부산 기장군 차성로 327-2,전문음식,1628
46,오프오,부산 기장군 기장해안로 860-0,카페/찻집,1601
47,카페공지,부산 기장군 기장해안로 509-0,카페/찻집,1585
48,료코기장점 [일식],부산 기장군 기장해안로 925-1,외국식,1580
49,일미아구찜,부산 기장군 학리등대로 102-0,한식,1549
50,향유정속초이모네찜부산점,부산 기장군 대변로 105-0,한식,1480
51,흑송,부산 기장군 용수로 89-0,외국식,1438
52,아틀리에은유재,부산 기장군 기룡2길 70-4,카페/찻집,1404
53,일광대복집,부산 기장군 이화로 3-0,전문음식,1379
54,웨스턴챔버,부산 기장군 병산로 221-19,카페/찻집,1360
55,카페오시오,부산 기장군 일광로 310-0,카페/찻집,1358
56,씨앤트리,부산 기장군 일광로 808-0,카페/찻집,1316
57,부산조개창고,부산 기장군 구연3로 17-0,전문음식,1296
58,칠암만장,부산 기장군 일광로 648-0,전문음식,1271
