순위,업소명,주소,분류,현지인 검색 수
1,맥도날드부산초량DT점,부산 동구 중앙대로 228-0,간이음식,2756
2,초량불백,부산 동구 초량로 36-0,한식,2596
3,맥도날드범일SK DT점,부산 동구 자성로 127-0,간이음식,1904
4,조방제일한우,부산 동구 조방로42번길 12-0,한식,1243
5,초량1941,부산 동구 망양로 533-5,카페/찻집,1052
6,투썸플레이스부산초량점,부산 동구 중앙대로 325-0,카페/찻집,959
7,본전돼지국밥,부산 동구 중앙대로214번길 3-8,한식,886
8,60년전통할매국밥,부산 동구 중앙대로533번길 4-0,한식,865
9,신발원,부산 동구 대영로243번길 62-0,외국식,769
10,하이디라오부산역점,부산 동구 중앙대로 175-0,외국식,755
11,감포참가자미,부산 동구 범일로102번길 16-20,전문음식,709
12,스타벅스범일동일타워점,부산 동구 조방로 14-0,카페/찻집,657
13,스완양분식,부산 동구 중앙대로236번길 7-5,전문음식,633
14,밀양가산돼지국밥,부산 동구 자성로133번길 45-0,한식,619
15,초량밀면,부산 동구 중앙대로 225-0,한식,561
16,평산옥,부산 동구 초량중로 26-0,한식,544
17,고관함박,부산 동구 중앙대로349번길 14-0,전문음식,535
18,스타벅스부산역점,부산 동구 중앙대로 216-0,카페/찻집,521
19,스타벅스부산역아스티점,부산 동구 중앙대로214번길 7-8,카페/찻집,488
20,은하갈비,부산 동구 초량중로 86-0,한식,375
21,초량845,부산 동구 망양로533번길 8-0,음식점기타,370
22,대건명가초량본점,부산 동구 중앙대로 232-0,한식,354
23,참숯골,부산 동구 조방로49번길 25-0,한식,346
24,클레이디뷔페,부산 동구 조방로 14-0,전문음식,324
25,1950태성당베이커리,부산 동구 중앙대로296번길 3-5,간이음식,301
26,석화한정식[한식],부산 동구 조방로 21-0,한식,299
27,코카모메초량점,부산 동구 영초윗길 20-0,외국식,294
28,송죽[일식],부산 동구 범일로102번길 16-10,외국식,283
29,스타벅스부산역라마다점,부산 동구 중앙대로196번길 10-0,카페/찻집,281
30,초량원조불백,부산 동구 초량로 36-0,한식,273
31,COFFEE TEK ROASTERS,부산 동구 자성로133번길 10-0,카페/찻집,266
