순위,업소명,주소,분류,현지인 검색 수
1,냉수탕가든,부산 부산진구 가야공원로 107-0,전문음식,6711
2,외식일번가부산본점,부산 부산진구 신천대로 222-0,한식,5237
3,맥도날드부산범전DT점,부산 부산진구 중앙대로 823-0,간이음식,4761
4,더스타뷔페,부산 부산진구 중앙대로666번길 50-0,전문음식,3577
5,더파티서면점,부산 부산진구 신천대로 252-0,전문음식,2814
6,맥도날드당감DT점,부산 부산진구 동평로 91-0,간이음식,2345
7,청와정,부산 부산진구 동평로44번길 55-0,한식,2335
8,그린하노이양정점,부산 부산진구 양성로 98-0,외국식,1649
9,불끈낙지개금점,부산 부산진구 가야대로410번길 4-0,전문음식,1611
10,맥도날드가야점,부산 부산진구 가야대로 607-0,간이음식,1491
11,아시오,부산 부산진구 월드컵대로472번길 1-0,카페/찻집,1477
12,서가네오리,부산 부산진구 가야공원로 83-33,전문음식,1457
13,맥도날드초읍DT점,부산 부산진구 성지로 152-0,간이음식,1392
14,S서울깍뚜기전포동점,부산 부산진구 서전로 49-0,한식,1355
15,이재모피자서면점,부산 부산진구 전포대로209번길 21-0,간이음식,1341
16,사미헌,부산 부산진구 서면문화로 19-0,한식,1319
17,세연정가야점 [한식],부산 부산진구 가야대로 554-0,한식,1313
18,국제식품초원농원양정점,부산 부산진구 거제대로 70-0,한식,1264
19,공원집,부산 부산진구 가야공원로 83-12,전문음식,1248
20,춘하추동밀면서면본점,부산 부산진구 서면문화로 48-1,한식,1231
21,쉐이크쉑서면점,부산 부산진구 중앙대로 672-0,간이음식,1197
22,스타벅스서면전포역점,부산 부산진구 전포대로199번길 27-0,카페/찻집,1160
23,스타벅스동의대역점,부산 부산진구 가야대로 589-0,카페/찻집,1139
24,양정기사식당,부산 부산진구 중앙대로970번길 38-0,한식,1106
25,홍유단[중식],부산 부산진구 부전로 34-0,외국식,1092
26,더파티범일점,부산 부산진구 자유평화로 11-0,전문음식,1075
27,늘해랑,부산 부산진구 중앙대로928번길 12-0,한식,1049
28,갈비곳간,부산 부산진구 서면문화로 32-0,한식,1001
29,해신킹크랩대게,부산 부산진구 전포대로275번길 65-0,전문음식,1000
30,두번째늘해랑,부산 부산진구 양지로5번길 28-0,한식,980
31,스타벅스부산개금역점,부산 부산진구 가야대로 462-1,카페/찻집,977
32,정동진해물탕해물찜,부산 부산진구 서면문화로 37-0,한식,970
33,시민냉면,부산 부산진구 당감로64번길 16-0,한식,942
34,맥도날드서면3호점,부산 부산진구 중앙대로692번길 33-0,간이음식,941
35,아웃백스테이크하우스서면점,부산 부산진구 중앙대로 672-0,전문음식,920
36,원조범일동매떡,부산 부산진구 골드테마길 52-2,간이음식,875
37,초함,부산 부산진구 성지로 101-0,한식,862
38,하얀농원,부산 부산진구 백양순환로 39-0,한식,861
39,가야정본점,부산 부산진구 가야대로 527-0,한식,814
40,맛찬들왕소금구이서면점,부산 부산진구 중앙대로691번가길 24-3,한식,792
41,전포카페거리,부산 부산진구 전포대로209번길 26-0,음식점기타,790
42,이바돔감자탕전포점,부산 부산진구 중앙대로 808-0,한식,786
43,산청칼국수,부산 부산진구 성지로43번길 57-0,한식,752
44,다금,부산 부산진구 월드컵대로474번길 4-0,한식,740
45,삼오정,부산 부산진구 서면로68번길 11-0,한식,698
46,스콜,부산 부산진구 서면문화로 32-0,전문음식,696
47,급행장차이나[중식],부산 부산진구 부전로96번길 40-1,외국식,687
48,도미노피자초읍점,부산 부산진구 성지로 58-0,간이음식,684
49,투썸플레이스문현금융단지점,부산 부산진구 중앙번영로 31-0,카페/찻집,669
50,진수밥상,부산 부산진구 백양관문로 111-0,한식,665
51,이바돔감자탕가야점,부산 부산진구 가야대로 597-0,한식,661
52,가야공원입구집,부산 부산진구 가야공원로 86-0,전문음식,652
53,소인수분해,부산 부산진구 동천로108번길 11-0,전문음식,640
54,스타벅스양정역점,부산 부산진구 중앙대로 894-0,카페/찻집,633
54,송정3대국밥,부산 부산진구 서면로68번길 33-0,한식,633
56,도레담,부산 부산진구 성지로94번길 133-19,카페/찻집,627
57,스타벅스서면센트럴스퀘어점,부산 부산진구 중앙대로666번길 50-0,카페/찻집,594
58,희와제과,부산 부산진구 전포대로246번길 6-0,간이음식,585
59,월강,부산 부산진구 서면로 7-0,외국식,568
60,칸다소바[일식],부산 부산진구 동천로 105-0,외국식,554
61,청진동아구찜,부산 부산진구 서면문화로 40-0,한식,551
62,도미노피자서면점,부산 부산진구 전포대로 195-0,간이음식,538
63,맛나감자탕초읍점,부산 부산진구 새싹로 208-0,한식,534
64,스페이스앤무드,부산 부산진구 새싹로 22-1,카페/찻집,526
65,코다리덕장,부산 부산진구 당감서로 59-0,한식,509
66,가야포차선지국밥,부산 부산진구 전포대로 274-0,한식,507
67,본가개금점,부산 부산진구 가야대로443번길 29-0,한식,505
68,채선당M부산당감점,부산 부산진구 백양순환로 39-0,전문음식,498
69,쿠우쿠우부산서면점,부산 부산진구 중앙대로702번길 33-0,전문음식,483
70,스타벅스서면트레이더스점,부산 부산진구 시민공원로 31-0,카페/찻집,475
71,후라이드참잘하는집서면점,부산 부산진구 부전로111번길 15-0,간이음식,471
72,초원복국범일점,부산 부산진구 자유평화로 21-10,전문음식,468
73,탁이네반려견카페,부산 부산진구 중앙대로691번길 55-0,카페/찻집,467
74,강원삼계탕,부산 부산진구 개금온정로 10-0,한식,462
75,팔미분식,부산 부산진구 중앙대로691번길 55-0,간이음식,454
76,어반그레이로스터리,부산 부산진구 중앙대로 950-0,카페/찻집,451
77,이리스뷔페,부산 부산진구 서면로 25-0,전문음식,450
78,삼성밀면,부산 부산진구 월드컵대로449번길 47-0,한식,447
79,가디나,부산 부산진구 당감로 37-12,전문음식,445
80,666버거개금점,부산 부산진구 복지로8번길 49-0,간이음식,417
81,마산식당,부산 부산진구 자유평화로 19-0,한식,416
81,카페휘고,부산 부산진구 성지곡로 36-1,카페/찻집,416
83,빈티지38,부산 부산진구 전포대로199번길 38-0,전문음식,413
84,소소헌한식이야기,부산 부산진구 성지로 42-0,한식,411
85,영심이왕족발,부산 부산진구 거제대로60번길 47-0,전문음식,408
86,가가와,부산 부산진구 중앙번영로 6-0,전문음식,407
87,버거킹부산양정점,부산 부산진구 중앙대로 900-0,간이음식,406
88,위파티부산본점,부산 부산진구 냉정로 166-1,간이음식,402
89,급행장,부산 부산진구 서면문화로 4-0,한식,384
90,짬뽕상회부산당감점 [중식],부산 부산진구 동평로 31-0,외국식,383
91,화남정돼지국밥,부산 부산진구 성지로 50-0,한식,381
92,이비가짬뽕부산양정점 [중식],부산 부산진구 중앙대로 978-0,외국식,374
93,선미오리불고기,부산 부산진구 엄광로 57-1,전문음식,369
94,스타벅스부전역점,부산 부산진구 중앙대로 777-0,카페/찻집,361
95,303화덕초읍점,부산 부산진구 월드컵대로 466-0,외국식,360
96,구덕포끝집고기서면전포점,부산 부산진구 전포대로176번길 19-0,한식,352
97,성원칼국수,부산 부산진구 냉정로 220-1,한식,345
98,도미노피자부산개금점,부산 부산진구 가야대로 467-0,간이음식,342
98,초원가든,부산 부산진구 부전로 57-0,한식,342
100,스타벅스서면로R점,부산 부산진구 서면로 49-1,카페/찻집,333
