순위,업소명,주소,분류,현지인 검색 수
1,더도이종가집돼지국밥덕천본점,부산 북구 의성로 91-0,한식,3665
2,외식1번가덕천점,부산 북구 의성로 88-0,한식,3212
3,식당3선덕천점,부산 북구 금곡대로 112-0,한식,2672
4,대박터진돈까스,부산 북구 덕천로304번길 18-0,전문음식,2570
5,갓파스시덕천점,부산 북구 금곡대로 11-0,외국식,1645
6,툇마루,부산 북구 금곡대로285번길 81-0,전문음식,1628
7,신라농원,부산 북구 기찰로 7-0,한식,1447
8,하늘연달스무아흐레,부산 북구 덕천로 375-0,카페/찻집,1151
9,흥부네화덕,부산 북구 용당로20번길 6-0,간이음식,1079
10,함경면옥덕천점,부산 북구 금곡대로 21-0,한식,962
11,샤브마니아부산화명점,부산 북구 화명대로94번길 116-0,전문음식,959
12,웅천집,부산 북구 금곡대로616번길 7-14,전문음식,880
13,메종드마레,부산 북구 만덕고개길 85-0,전문음식,792
14,스시투어화명점,부산 북구 용당로16번길 23-0,외국식,771
15,도랑추어탕,부산 북구 금곡대로324번길 7-0,한식,767
16,곰배령가든,부산 북구 중리로 88-7,한식,758
17,육선당,부산 북구 화명대로 17-0,한식,730
18,화명옥,부산 북구 용당로9번길 3-0,전문음식,726
19,착한낙지화명점,부산 북구 금곡대로 195-0,전문음식,724
20,마피아떡볶이부산북구점,부산 북구 금곡대로 238-0,간이음식,724
21,구포설렁탕,부산 북구 백양대로 1182-0,한식,676
22,로얄펠리스,부산 북구 화명신도시로 130-0,음식점기타,655
23,맛나감자탕부산경남지사,부산 북구 금곡대로 121-0,한식,653
24,꽃마름부산덕천점,부산 북구 낙동대로 1791-0,전문음식,635
25,덕천구룡성[중식],부산 북구 금곡대로 17-0,외국식,629
26,북경의자전거[중식],부산 북구 용당로5번길 14-0,외국식,624
27,명가밀면,부산 북구 금곡대로303번길 70-0,간이음식,604
28,취밍,부산 북구 금곡대로285번길 16-0,외국식,586
29,우리장[한식],부산 북구 중리로 88-14,한식,576
30,수림식당3호점,부산 북구 화명대로94번길 116-0,외국식,565
31,이상한나라의밀가루공장,부산 북구 만덕2로44번길 42-14,카페/찻집,525
32,골든프라자,부산 북구 화명신도시로 129-0,음식점기타,517
33,덕천복집,부산 북구 기찰로 41-2,전문음식,513
34,샤브20부산화명점,부산 북구 용당로16번길 22-0,전문음식,502
35,그린하노이화명점,부산 북구 금곡대로199번길 11-0,외국식,496
36,샤브쌈주머니만덕점,부산 북구 만덕3로33번길 4-9,한식,475
37,숨카페,부산 북구 만덕고개길 131-0,카페/찻집,470
38,큐빅스타워,부산 북구 금곡대로285번길 46-0,음식점기타,465
39,하이페리온타워,부산 북구 화명대로 15-0,음식점기타,446
40,평양집,부산 북구 금곡대로20번길 21-0,한식,428
41,화명코아활어회센터,부산 북구 금곡대로303번길 80-0,전문음식,391
42,면채움,부산 북구 용당로16번길 10-0,한식,380
43,올타미스터스시화명점,부산 북구 용당로5번길 12-0,외국식,372
44,장수장꼬리곰탕,부산 북구 사상로 577-0,한식,357
45,길세이로무시화명점,부산 북구 금곡대로303번길 62-0,외국식,337
46,오늘도짬뽕,부산 북구 화명신도시로 133-0,외국식,335
47,민속아구찜,부산 북구 백양대로1016번가길 14-0,한식,323
48,혜미식품,부산 북구 낙동대로1570번길 16-0,음식점기타,322
49,금용,부산 북구 구포만세길 75-0,외국식,318
50,리산옥[중식],부산 북구 금곡대로303번길 25-0,외국식,315
51,만선참가자미회전문점본점,부산 북구 금곡대로8번길 19-0,전문음식,310
52,풍어횟집,부산 북구 금곡대로285번길 62-0,전문음식,306
53,우미남화명점,부산 북구 용당로16번길 20-0,한식,305
54,샤브향덕천점,부산 북구 만덕대로 176-0,전문음식,301
55,코지하우스화명점,부산 북구 화명대로 31-0,전문음식,297
56,두울원화명점,부산 북구 화명대로12번길 48-0,한식,292
57,화명참숯불갈비,부산 북구 화명신도시로 127-0,한식,289
58,샤브향화명점,부산 북구 금곡대로303번길 25-0,전문음식,288
59,오케이도매횟집화명점,부산 북구 화명대로 67-0,전문음식,283
60,국수나무부산만덕점,부산 북구 덕천로276번길 16-0,간이음식,283
61,전티마이베트남쌀국수덕천점,부산 북구 만덕대로16번길 33-0,외국식,279
62,메아리산장,부산 북구 만덕고개길 23-0,전문음식,278
63,날마다대박나는집,부산 북구 만덕3로 9-0,한식,277
64,트레몬토710,부산 북구 금곡대로 710-15,카페/찻집,268
65,5키친,부산 북구 화명대로12번길 88-0,전문음식,266
66,삼소통나무집,부산 북구 중리로 78-0,한식,264
67,목촌돼지국밥,부산 북구 금곡대로 374-0,한식,261
68,경원해물찜화명점,부산 북구 용당로 20-0,한식,260
69,백소정화명점,부산 북구 학사로 8-0,전문음식,258
70,원카츠화명점,부산 북구 용당로20번길 12-0,전문음식,251
71,봉평막국수화명점,부산 북구 화명대로 69-13,한식,250
72,오픈하우스가든,부산 북구 중리로 90-0,전문음식,249
73,큰집게장,부산 북구 와석장터로 13-0,한식,248
74,명소,부산 북구 용당로 7-0,한식,243
75,오미정아구찜,부산 북구 용당로15번길 21-0,한식,239
76,해남쌈밥,부산 북구 산성로12번길 75-0,한식,235
77,만면옥,부산 북구 용당로16번길 14-0,한식,233
78,사랑도횟집,부산 북구 금곡대로285번길 81-0,전문음식,233
