순위,업소명,주소,분류,현지인 검색 수
1,영진돼지국밥본점,부산 사하구 하신번영로157번길 39-0,한식,5877
2,맥도날드부산하단DT점,부산 사하구 낙동대로 431-0,간이음식,5688
3,스타벅스을숙도강변DT점,부산 사하구 하신번영로 381-6,카페/찻집,4105
4,블랙업커피을숙도점,부산 사하구 낙동남로1233번길 30-0,카페/찻집,2531
5,맥도날드부산다대DT점,부산 사하구 다대로 532-1,간이음식,2522
6,카페만디,부산 사하구 오작로 104-7,카페/찻집,2434
7,스타벅스사하장림DT점,부산 사하구 을숙도대로 682-0,카페/찻집,2230
8,버거킹부산신평DT점,부산 사하구 을숙도대로 564-0,간이음식,2113
9,대티물꽁,부산 사하구 낙동대로135번안길 15-0,한식,1828
10,아웃백스테이크하우스부산하단점,부산 사하구 낙동남로 1403-0,전문음식,1631
11,이지요661,부산 사하구 다대로 661-0,카페/찻집,1344
12,동원장수촌,부산 사하구 동매로 117-0,전문음식,1331
13,하기연진주냉면,부산 사하구 괴정로 34-0,한식,1304
14,푸주옥부산점,부산 사하구 사하로 133-0,한식,1151
15,꽃마름하단역점,부산 사하구 낙동남로 1427-0,전문음식,1134
15,투썸플레이스장림점,부산 사하구 장림로 222-0,카페/찻집,1134
17,할매복집,부산 사하구 다대로 12-0,전문음식,1101
18,이티135,부산 사하구 다대로 95-0,카페/찻집,1060
19,스타벅스다대포DT점,부산 사하구 다대로 493-0,카페/찻집,1044
20,스타벅스다대포비치점,부산 사하구 다대로 714-0,카페/찻집,1028
21,오사카[일식],부산 사하구 낙동대로324번길 2-0,외국식,969
22,식당3선당리점,부산 사하구 제석로 31-0,한식,959
23,노을365,부산 사하구 하신번영로261번길 10-0,카페/찻집,935
24,복성반점[중식],부산 사하구 하신중앙로 289-0,외국식,928
25,본가부산사하점,부산 사하구 하신번영로 401-0,한식,914
26,다대포회초장센터,부산 사하구 다대동로 40-0,전문음식,910
27,해주냉면,부산 사하구 낙동대로324번길 5-0,한식,883
28,명륜진사갈비부산장림점,부산 사하구 장림로 234-0,한식,820
29,스타벅스부산괴정역점,부산 사하구 사하로186번길 6-0,카페/찻집,804
30,리에또,부산 사하구 다대낙조2길 85-0,전문음식,778
31,청송집,부산 사하구 하신번영로 432-0,전문음식,751
32,쿠우쿠우부산괴정점,부산 사하구 사하로 200-0,전문음식,746
33,카페플랜트370,부산 사하구 신산로 94-0,카페/찻집,729
34,코지하우스다대포점,부산 사하구 다대로 712-0,전문음식,660
35,엔제리너스부산당리점,부산 사하구 낙동대로 433-0,카페/찻집,657
35,더도이종가집돼지국밥신평점,부산 사하구 비봉로 6-0,한식,657
37,선미아구찜,부산 사하구 괴정로 25-1,한식,647
38,버거킹구평DT점,부산 사하구 을숙도대로 767-0,간이음식,633
39,롯데리아부산하단점,부산 사하구 낙동대로 457-0,간이음식,620
40,밀양순대돼지국밥,부산 사하구 하신번영로 165-1,한식,606
41,투썸플레이스부산다대포점,부산 사하구 다대로 708-0,카페/찻집,580
42,해풍코다리,부산 사하구 다송로84번길 50-0,한식,553
43,늘솜,부산 사하구 낙동대로343번길 18-0,전문음식,534
44,맥도날드동아대점,부산 사하구 낙동대로 548-0,간이음식,531
45,투썸플레이스몰운대점,부산 사하구 다대로 655-0,카페/찻집,496
46,홍소,부산 사하구 하신번영로 157-0,전문음식,492
46,행복을짓는수향촌밥상,부산 사하구 다대로 592-0,한식,492
48,명가정,부산 사하구 감천로38번길 25-0,한식,467
49,도미노피자하단점,부산 사하구 하신중앙로 333-0,간이음식,455
50,명륜진사갈비부산괴정점,부산 사하구 낙동대로 256-0,한식,445
51,키친보리에,부산 사하구 다송로72번길 50-0,간이음식,435
52,누리마을감자탕앤등뼈찜,부산 사하구 낙동대로 477-0,한식,428
53,산수갑산식당,부산 사하구 낙동대로450번길 8-0,한식,421
54,올타미스터스시하단점,부산 사하구 낙동남로1390번길 10-0,외국식,420
55,육간명가,부산 사하구 하신중앙로 270-0,한식,419
56,통뼈감자탕사하점,부산 사하구 장림번영로 65-0,한식,411
57,길짜장[중식],부산 사하구 장림로 170-0,외국식,397
58,교동면옥부산하단점,부산 사하구 낙동남로 1382-0,한식,394
59,투썸플레이스다송로점,부산 사하구 다송로84번길 38-0,카페/찻집,391
60,목구멍하단점,부산 사하구 낙동대로450번길 12-0,한식,387
61,1등숯불갈비,부산 사하구 사하로185번길 8-0,한식,382
62,하이뽕장림본점 [중식],부산 사하구 장림로 228-0,외국식,379
63,하가람,부산 사하구 장림로 275-0,한식,367
64,영성방[중식],부산 사하구 하신번영로201번길 36-0,외국식,363
65,오두리할매셋째딸연탄쭈꾸미,부산 사하구 사리로8번길 2-0,전문음식,362
66,백두봉삼계탕,부산 사하구 다대로 714-1,한식,360
67,돈미담왕소금구이,부산 사하구 하신번영로 378-0,한식,358
68,하단본가콩나물국밥,부산 사하구 낙동남로 1382-1,한식,350
69,해운대신대구탕,부산 사하구 낙동남로 1393-0,한식,342
69,서가앤쿡부산하단점,부산 사하구 낙동대로 491-0,전문음식,342
71,아리랑목살,부산 사하구 사하로 164-0,한식,341
71,착한소사하다대점,부산 사하구 다대로381번길 60-0,한식,341
73,카페미슈,부산 사하구 다대낙조2길 85-0,카페/찻집,328
74,다대336장작구이,부산 사하구 다송로84번길 138-0,한식,324
75,광식당,부산 사하구 하신번영로167번길 65-0,외국식,321
76,88양곱창센타,부산 사하구 낙동남로1389번길 10-2,전문음식,320
77,할매집,부산 사하구 몰운대1길 55-0,한식,315
77,명품달인김밥괴정점,부산 사하구 낙동대로 280-0,간이음식,315
77,최가네촌국수,부산 사하구 하신번영로207번길 8-0,한식,315
80,365꼬막정찬,부산 사하구 낙동대로 388-0,한식,312
