순위,업소명,주소,분류,현지인 검색 수
1,EL16.52,부산 서구 암남공원로 177-0,카페/찻집,1087
2,송도공원,부산 서구 암남공원로 75-0,한식,889
3,옛날오막집,부산 서구 구덕로274번길 14-0,전문음식,819
4,산정,부산 서구 보수대로320번길 55-0,한식,713
5,영남냉면밀면부산동대신점,부산 서구 보수대로201번길 7-0,한식,701
6,카페해인,부산 서구 암남로94번길 94-0,카페/찻집,695
7,원조18번완당발국수,부산 서구 구덕로238번길 6-0,한식,683
8,신창국밥,부산 서구 보수대로 53-0,한식,452
9,서대시장원조족발,부산 서구 대영로 43-2,전문음식,392
10,고주몽,부산 서구 구덕로148번길 43-1,한식,363
11,조새호부산송도직영점,부산 서구 송도해변로 10-0,전문음식,362
12,해궁아구찜,부산 서구 구덕로285번길 14-0,한식,313
13,흑산도횟집,부산 서구 대영로85번길 20-0,전문음식,306
14,동경초밥,부산 서구 구덕로321번길 21-0,외국식,279
15,명품물회송도점,부산 서구 충무대로 130-0,전문음식,268
16,몽실종가돼지국밥,부산 서구 까치고개로197번길 3-0,한식,266
17,디에이블송도점,부산 서구 충무대로34번길 47-0,전문음식,263
18,송도1913,부산 서구 등대로 11-0,전문음식,201
19,사천해물탕,부산 서구 충무대로 12-0,한식,189
20,청죽[일식],부산 서구 망양로 23-0,외국식,178
21,송원식당,부산 서구 성산길 23-0,한식,173
22,TCC송도점,부산 서구 송도해변로 143-0,카페/찻집,170
23,채선당대신점,부산 서구 망양로33번길 3-0,전문음식,150
24,북창동순두부부산송도점,부산 서구 송도해변로 97-0,한식,146
25,진선,부산 서구 암남공원로 46-0,외국식,144
26,송도속시원해대구탕,부산 서구 송도해변로 79-0,한식,137
27,송도키친,부산 서구 송도해변로 113-0,전문음식,134
28,맘담은식당,부산 서구 구덕로 316-3,한식,129
29,편의방만두,부산 서구 대신공원로 13-5,한식,124
30,금호복요리,부산 서구 충무대로177번길 7-0,전문음식,116
31,왕밀면냉면전문점,부산 서구 충무대로 122-1,한식,107
32,지리산어탕,부산 서구 엄광산로 29-0,한식,107
33,뉴거인통닭,부산 서구 구덕로193번길 25-0,간이음식,100
34,홍복,부산 서구 보수대로 254-1,한식,99
35,착한소대신점,부산 서구 구덕로 249-0,한식,98
36,맛나기사식당,부산 서구 대영로74번길 58-0,한식,97
37,곤포횟집,부산 서구 송도해변로 9-0,전문음식,91
38,박수식당,부산 서구 보수대로 248-1,한식,91
39,시골한방돼지국밥부산부민점,부산 서구 보수대로 87-0,한식,86
40,노드피자,부산 서구 시약로 119-0,간이음식,81
41,태성하모횟집,부산 서구 송도해변로 149-0,전문음식,79
42,장군성숯불갈비,부산 서구 암남공원로 240-0,한식,75
43,등대식당,부산 서구 흑교로109번길 25-1,전문음식,73
44,숙이네조개구이,부산 서구,전문음식,72
45,송이삼,부산 서구 꽃마을로169번길 6-3,한식,70
46,문토스트송도점,부산 서구 송도해변로 55-0,간이음식,69
47,짬뽕의신[중식],부산 서구 대청로6번길 30-0,외국식,69
48,와와샤브대신점,부산 서구 대영로 54-0,전문음식,68
49,디아펠리즈,부산 서구 암남공원로 39-0,카페/찻집,68
50,인창서구그린빌노인요양원,부산 서구 대영로73번길 111-0,음식점기타,68
51,예천집,부산 서구 엄광산로 23-0,한식,67
52,컵넛송도점,부산 서구 송도해변로 61-0,카페/찻집,65
53,송도제일밀면,부산 서구 충무대로 8-0,간이음식,65
