순위,업소명,주소,분류,현지인 검색 수
1,수변최고돼지국밥민락본점,부산 수영구 광안해변로370번길 9-32,한식,5308
2,맥도날드부산남천DT점,부산 수영구 수영로 470-0,간이음식,3221
3,맥도날드부산수영SK DT점,부산 수영구 연수로 411-0,간이음식,2931
4,테라로사수영점,부산 수영구 구락로123번길 20-0,카페/찻집,2824
5,언양불고기부산집,부산 수영구 남천바다로 32-0,한식,2650
6,스타벅스수영망미DT점,부산 수영구 과정로 68-0,카페/찻집,2069
7,톤쇼우광안점,부산 수영구 광안해변로279번길 13-0,전문음식,2039
8,할매재첩국부산본점,부산 수영구 광남로120번길 8-0,한식,1678
9,수영돼지국밥,부산 수영구 무학로 6-0,한식,1670
10,아웃백스테이크하우스남천점,부산 수영구 광안해변로 9-0,전문음식,1572
11,씨랜드회센터,부산 수영구 광안해변로 299-0,전문음식,1433
12,국이네낙지볶음,부산 수영구 연수로 410-0,한식,1323
13,자매국밥,부산 수영구 민락본동로27번길 56-0,한식,1321
14,다리집본점,부산 수영구 남천바다로10번길 70-0,간이음식,1280
15,디에이블광안점,부산 수영구 민락수변로 29-0,외국식,1209
16,닭발의지존,부산 수영구 연수로 374-0,전문음식,1196
17,엄용백돼지국밥,부산 수영구 수영로680번길 39-0,한식,1129
18,오후의홍차,부산 수영구 민락수변로 243-0,간이음식,1125
19,하나돈까스남천점,부산 수영구 광남로 62-0,전문음식,1111
20,자갈치횟집,부산 수영구 수영로702번길 28-0,전문음식,1091
21,홍유단[중식],부산 수영구 민락수변로 29-0,외국식,1061
22,수정궁,부산 수영구 민락수변로 25-0,전문음식,1056
23,조마루감자탕수영점,부산 수영구 수영로 723-0,한식,1010
24,보성녹차,부산 수영구 수영로394번길 29-0,카페/찻집,983
25,필소굿커피,부산 수영구 광안해변로 44-0,카페/찻집,908
26,엘올리브,부산 수영구 좌수영로 129-1,외국식,907
27,옵스남천점,부산 수영구 황령대로489번길 37-0,간이음식,867
28,배덕장코다리찜,부산 수영구 연수로 384-0,전문음식,841
29,커피스미스광안리점,부산 수영구 광안해변로255번길 5-0,카페/찻집,834
30,반상[한식],부산 수영구 광안해변로 263-0,한식,823
31,호박가게,부산 수영구 광남로48번길 21-0,한식,800
32,석화연,부산 수영구 광안해변로 199-0,한식,793
33,게스후레스토랑,부산 수영구 광안해변로 183-0,전문음식,791
34,영남식육식당,부산 수영구 황령대로489번길 61-0,한식,783
35,옥미아구찜망미본점,부산 수영구 망미번영로55번길 35-0,한식,781
36,영진돼지국밥코스트코센텀점,부산 수영구 구락로 86-0,한식,767
37,무궁화,부산 수영구 황령산로8번길 5-0,전문음식,737
38,송원일식,부산 수영구 남천동로9번길 41-0,외국식,703
39,VIPS광안점,부산 수영구 광안해변로 11-0,전문음식,662
40,랜디스도넛광안리점,부산 수영구 수영로510번길 58-0,간이음식,661
41,백수농원,부산 수영구 수영로680번길 45-0,한식,659
42,커피스미스광안리게스후점,부산 수영구 광안해변로 183-0,카페/찻집,651
43,초필살돼지구이광안직영점,부산 수영구 광남로108번길 9-0,한식,640
44,바로해장,부산 수영구 광남로94번길 2-0,한식,635
45,장덕풍천산삼민물장어,부산 수영구 민락수변로 147-0,전문음식,627
46,뉴러우멘관즈[중식],부산 수영구 수영로388번길 25-4,외국식,620
46,스타벅스광안수변공원점,부산 수영구 민락수변로 29-0,카페/찻집,620
48,로얄경양식&스테이크광안점,부산 수영구 민락수변로 29-0,전문음식,616
49,신라횟집,부산 수영구 민락수변로7번길 16-0,전문음식,613
50,샤브남바완,부산 수영구 민락수변로 29-0,전문음식,611
51,한다솥,부산 수영구 남천바다로33번길 101-0,한식,596
52,진미언양불고기,부산 수영구 남천바다로33번길 7-0,한식,584
53,광안다찌,부산 수영구 광안해변로344번길 17-20,전문음식,581
53,비스포레,부산 수영구 민락수변로239번길 4-0,외국식,581
55,순쌀빵남천점,부산 수영구 광안해변로 122-0,간이음식,562
56,알로이삥삥,부산 수영구 광안해변로344번길 17-17,외국식,560
57,농장갈비,부산 수영구 무학로9번길 16-0,한식,548
