순위,업소명,주소,분류,현지인 검색 수
1,외식1번가연제점,부산 연제구 월드컵대로 201-0,한식,3169
2,맥도날드부산교대SK DT점,부산 연제구 중앙대로 1179-0,간이음식,2968
3,맥도날드시청DT점,부산 연제구 중앙대로 1031-0,간이음식,2895
4,국제밀면본점,부산 연제구 중앙대로1235번길 23-6,한식,2563
5,갓파스시연산점,부산 연제구 반송로 44-0,외국식,2222
6,청담[한식],부산 연제구 연안로 1-0,한식,2144
7,구자윤과자점교대점,부산 연제구 세병로 29-0,간이음식,1837
8,버거킹부산연산RFS점,부산 연제구 중앙대로 1087-0,간이음식,1433
9,스타벅스부산교대역DT점,부산 연제구 중앙대로 1250-0,카페/찻집,1376
10,수복돼지국밥,부산 연제구 고분로 41-1,한식,1322
11,더파티시청점,부산 연제구 중앙대로 1000-0,전문음식,1254
12,맥도날드토곡점,부산 연제구 과정로 226-0,간이음식,1084
13,토곡식육식당,부산 연제구 토곡로 7-0,한식,1046
14,누리마을감자탕연산토곡점,부산 연제구 연안로 15-0,한식,982
15,할매칼국수,부산 연제구 과정로191번가길 70-0,한식,962
16,스타벅스부산교대역점,부산 연제구 명륜로 3-0,카페/찻집,961
17,스타벅스연산시티타워점,부산 연제구 중앙대로 1125-0,카페/찻집,892
18,시골통돼지볶음전문점부산본점,부산 연제구 중앙대로1075번길 9-0,한식,863
19,도미노피자연산점,부산 연제구 중앙대로 1173-0,간이음식,832
20,팔미초밥,부산 연제구 월드컵대로119번길 8-0,외국식,830
21,채선당플러스연산점,부산 연제구 중앙대로 1125-0,전문음식,828
22,오소리순대,부산 연제구 월드컵대로 162-0,한식,814
23,서울깍두기,부산 연제구 안연로 18-0,한식,800
24,구자윤과자점연산점,부산 연제구 쌍미천로156번길 1-0,간이음식,783
25,스타벅스부산시청점,부산 연제구 중앙천로 93-0,카페/찻집,758
26,한방장어구이사직거제점,부산 연제구 아시아드대로 8-0,전문음식,729
27,취원[중식],부산 연제구 신촌로 38-0,외국식,659
28,크리스피크림도넛부산연산점,부산 연제구 반송로 32-0,간이음식,627
29,연산낙지해물탕,부산 연제구 과정로 121-0,전문음식,614
30,독도참가자미회,부산 연제구 거제천로154번길 13-0,전문음식,600
31,녹산횟집,부산 연제구 월드컵대로99번길 37-0,전문음식,590
32,마파람해물찜해물탕시청점,부산 연제구 거제천로 64-0,한식,585
33,서울왕돈까스,부산 연제구 거제천로 205-0,전문음식,578
34,이디야커피부산연제초교점,부산 연제구 중앙대로1075번길 8-0,카페/찻집,550
35,이흥용과자점사직점,부산 연제구 아시아드대로 90-0,간이음식,508
36,더파티목화점,부산 연제구 중앙대로 1125-0,전문음식,506
36,투썸플레이스부산거제점,부산 연제구 아시아드대로 101-0,카페/찻집,506
38,아키야마초밥,부산 연제구 월드컵대로145번길 6-0,외국식,495
39,수제국수부산시청점,부산 연제구 중앙대로1043번길 40-0,한식,479
40,등촌동샤브샤브부산본점,부산 연제구 과정로 216-0,전문음식,455
41,투썸플레이스부산시청점,부산 연제구 시청로 6-0,카페/찻집,442
42,메이리[중식],부산 연제구 거제시장로 3-0,외국식,430
43,롯데리아부산물만골역점,부산 연제구 월드컵대로 12-0,간이음식,424
44,호야 스시,부산 연제구 교대로22번길 51-0,외국식,414
45,스타벅스부산교대점,부산 연제구 교대로 20-2,카페/찻집,410
46,맛나감자탕연제구청점,부산 연제구 양연로 3-0,한식,399
47,골든리지시청점,부산 연제구 신촌로 27-0,전문음식,394
48,코하루,부산 연제구 중앙대로1043번길 20-0,전문음식,383
49,그린피그숯불갈비,부산 연제구 고분로 3-0,한식,382
50,용문각[중식],부산 연제구 거제천로 209-0,외국식,379
51,국제밀면법조타운점,부산 연제구 법원남로9번길 22-1,한식,376
52,정정,부산 연제구 온천천공원길 56-0,외국식,367
52,명륜진사갈비부산연산점,부산 연제구 월드컵대로 156-0,한식,367
54,박가네,부산 연제구 교대로22번길 35-0,한식,354
55,일공공샤브토곡점,부산 연제구 과정로 152-0,전문음식,352
55,사이먼커피,부산 연제구 중앙대로1056번길 2-0,카페/찻집,352
57,버거킹부산망미SK점,부산 연제구 과정로 120-0,간이음식,348
58,부잣집식당,부산 연제구 거제대로272번길 23-0,한식,346
58,강산해오름,부산 연제구 고분로236번길 6-0,음식점기타,346
60,스타벅스연산중앙로점,부산 연제구 중앙대로 1091-0,카페/찻집,332
61,스타벅스연산트레이더스점,부산 연제구 좌수영로 241-0,카페/찻집,330
62,거북이동네부산연산직영점,부산 연제구 안연로 32-0,한식,327
63,스타벅스부산연산역점,부산 연제구 반송로 20-0,카페/찻집,322
64,디저트시네마,부산 연제구 쌍미천로 32-1,카페/찻집,320
65,포항물회,부산 연제구 거제천로182번길 42-2,전문음식,318
66,밥이랑 돈이랑,부산 연제구 월드컵대로58번길 64-0,한식,308
67,수매풍생선구이식당,부산 연제구 월드컵대로188번길 39-0,한식,300
68,피자헛부산연산점,부산 연제구 중앙대로 1174-0,간이음식,296
69,평사리순두부,부산 연제구 중앙천로19번길 40-0,한식,294
70,매운수제비,부산 연제구 중앙대로1133번길 13-0,한식,291
71,쭈꾸미본색연산점,부산 연제구 중앙대로1150번길 26-0,전문음식,285
71,거제시장손칼국수,부산 연제구 거제시장로14번길 28-0,한식,285
73,이영식옛날돈까스,부산 연제구 중앙대로1075번길 7-0,전문음식,277
74,로타리양곱창센타,부산 연제구 반송로 13-7,전문음식,275
75,본가아구찜,부산 연제구 고분로 47-1,한식,269
76,정가네양곱창,부산 연제구 과정로 123-0,전문음식,267
77,스시아이가,부산 연제구 진연로 30-15,외국식,266
78,진송추어탕 시청점,부산 연제구 시청로 12-0,한식,263
79,정원집,부산 연제구 고분로235번길 52-0,전문음식,262
80,목구멍부산연산직영점,부산 연제구 고분로13번길 70-0,한식,258
81,조선화로집온천천점,부산 연제구 반송로 89-0,한식,256
82,담[중식],부산 연제구 고분로 3-0,외국식,255
83,장덕풍천산삼민물장어거제리직영점,부산 연제구 거제대로 94-0,전문음식,251
84,도미노피자연제토곡점,부산 연제구 과정로 156-0,간이음식,250
85,해운대31cm해물칼국수연산점,부산 연제구 반송로 62-0,한식,243
86,다비다웨딩홀부페,부산 연제구 연수로 86-0,전문음식,241
87,오복미역연산점 [한식],부산 연제구 월드컵대로145번길 19-0,한식,240
88,대소가,부산 연제구 중앙대로1150번길 49-0,외국식,233
89,카페게더,부산 연제구 세병로 84-0,카페/찻집,232
90,마장동김씨연산시청점,부산 연제구 거제천로104번길 9-0,한식,228
91,롯데리아부산연산점,부산 연제구 반송로 8-0,간이음식,224
92,내사랑족발,부산 연제구 신촌로 37-0,전문음식,221
93,대왕민물장어,부산 연제구 반송로 43-0,전문음식,218
94,연일한우참숯구이,부산 연제구 고분로32번길 42-0,한식,215
95,배스킨라빈스부산시청점,부산 연제구 시청로 26-1,간이음식,213
96,호야짬뽕1650부산시청본점 [중식],부산 연제구 거제대로118번길 51-0,외국식,212
96,투썸플레이스부산연산점,부산 연제구 반송로 30-0,카페/찻집,212
98,보배밥상[한식],부산 연제구 월드컵대로 179-0,한식,203
99,샤브향연산점,부산 연제구 중앙대로 1111-0,전문음식,199
100,칠보락,부산 연제구 쌍미천로 175-10,외국식,198
