순위,업소명,주소,분류,현지인 검색 수
1,피아크카페앤베이커리,부산 영도구 해양로195번길 180-0,카페/찻집,4876
2,목장원,부산 영도구 절영로 355-0,한식,3071
3,맥도날드부산영도DT점,부산 영도구 태종로 150-0,간이음식,2840
4,스타벅스영도청학DT점,부산 영도구 태종로 373-0,카페/찻집,2649
5,카페38.5,부산 영도구 태종로 539-0,카페/찻집,1777
6,모모스로스터리&커피바,부산 영도구 봉래나루로 160-0,카페/찻집,1603
7,오구카페,부산 영도구 남항서로 52-0,카페/찻집,1238
8,백세촌24시순대돼지국밥,부산 영도구 해양로65번길 8-0,한식,971
9,몽작,부산 영도구 남항서로 36-0,한식,965
10,화복반점[중식],부산 영도구 일산봉로39번길 14-0,외국식,955
11,카페신기산업,부산 영도구 와치로51번길 2-0,카페/찻집,938
12,제주복국,부산 영도구 절영로 481-0,전문음식,873
13,버거킹부산영도DT점,부산 영도구 태종로 173-0,간이음식,857
14,바릇식당영도점,부산 영도구 해양로247번길 35-0,전문음식,802
15,백설대학,부산 영도구 웃서발로 72-0,간이음식,786
16,왔다식당,부산 영도구 하나길 811-0,한식,722
17,신기숲,부산 영도구 와치로 65-0,카페/찻집,680
18,카페드220볼트,부산 영도구 하나길 807-0,카페/찻집,622
19,얼큰이칼국수,부산 영도구 해양로 70-0,한식,608
20,무명일기,부산 영도구 봉래나루로 178-0,카페/찻집,602
21,그라치에,부산 영도구 청학동로 12-0,전문음식,542
22,에테르,부산 영도구 절영로 234-0,카페/찻집,512
23,파스쿠찌부산태종대점,부산 영도구 태종로 794-0,카페/찻집,503
24,태종대욜로조개구이,부산 영도구 감지길87번길 21-0,전문음식,459
25,도날드즉석떡볶이,부산 영도구 꿈나무길 267-0,간이음식,458
26,재기돼지국밥,부산 영도구 절영로49번길 25-0,한식,442
27,스타벅스영도대교점,부산 영도구 태종로 39-0,카페/찻집,430
28,호박터숯불촌,부산 영도구 절영로 531-0,한식,419
29,영도면옥,부산 영도구 해양로 70-0,한식,415
30,현미해물천국,부산 영도구 절영로36번길 5-0,한식,394
31,빨간등대,부산 영도구 남항서로 40-0,전문음식,381
32,뚜레쥬르영도미라주,부산 영도구 동삼로 89-0,간이음식,355
33,선인장식당,부산 영도구 와치로 15-0,전문음식,339
34,토로,부산 영도구 태종로750번길 46-0,전문음식,284
35,영도솔밭농원,부산 영도구 와치로 318-0,한식,270
36,태종대짬뽕[중식],부산 영도구 태종로 825-0,외국식,254
37,젬스톤,부산 영도구 대교로6번길 33-0,카페/찻집,245
38,영도우,부산 영도구 조내기로5번길 2-0,간이음식,235
39,명륜진사갈비부산영도점,부산 영도구 절영로 544-0,한식,234
40,에쎄떼,부산 영도구 대평북로 29-0,카페/찻집,231
41,와글와글,부산 영도구 중리북로22번길 5-0,간이음식,230
42,가마솥돼지국밥,부산 영도구 남항시장길 350-0,한식,214
43,올리버다이너,부산 영도구 와치로27번길 19-0,전문음식,210
44,복성만두,부산 영도구 대평로34번길 5-8,한식,209
44,목촌돼지국밥영도점,부산 영도구 태종로 692-5,한식,209
46,만소,부산 영도구 동삼로 56-0,한식,200
47,북창동순두부,부산 영도구 동삼로28번길 15-0,한식,199
47,모티브커피,부산 영도구 조내기로5번길 27-0,카페/찻집,199
49,엘림오리고기집,부산 영도구 태종로384번길 5-0,전문음식,194
50,석화정,부산 영도구 동삼로42번길 16-11,한식,183
51,에르마나,부산 영도구 와치로 195-0,외국식,178
52,오유미당영도점,부산 영도구 태종로65번길 12-0,전문음식,171
53,산호횟집,부산 영도구 하리해안길 12-0,전문음식,165
54,날마다대박나는집,부산 영도구 동삼로 54-0,전문음식,164
55,옥천횟집,부산 영도구 중리남로 2-21,전문음식,161
56,함흥보쌈,부산 영도구 남항로 42-0,전문음식,158
57,크리스탈제이드부산피아크점,부산 영도구 해양로195번길 180-0,외국식,152
57,청동숯불갈비신관,부산 영도구 태종로 341-0,한식,152
59,림스치킨영도대교점,부산 영도구 태종로 96-0,간이음식,151
60,동삼동불짬뽕[중식],부산 영도구 동삼남로 21-0,외국식,149
61,어리목도새기촌,부산 영도구 절영로 485-0,한식,144
62,또시아[중식],부산 영도구 절영로 6-0,외국식,143
62,롯데리아영도동삼점,부산 영도구 동삼로 25-0,간이음식,143
64,도미노피자영도점,부산 영도구 태종로 329-1,간이음식,136
65,설빙영도점,부산 영도구 절영로 33-0,카페/찻집,132
66,톤섬,부산 영도구 남항로9번길 36-0,전문음식,128
67,동방밀면,부산 영도구 꿈나무길 239-0,한식,127
68,안락다락방,부산 영도구 하나길 894-0,카페/찻집,126
68,목구멍영도점,부산 영도구 절영로35번길 30-0,한식,126
70,아브라함커피랩,부산 영도구 와치로 195-0,카페/찻집,125
71,사랑방조개구이,부산 영도구 태종로 816-0,전문음식,124
71,자매보리밥,부산 영도구 태종로73번길 25-0,한식,124
73,영선불고기,부산 영도구 남항로49번길 42-0,한식,121
74,샤브향영도점,부산 영도구 동삼로 56-0,전문음식,119
75,홍차왕자영도점,부산 영도구 와치로 13-0,카페/찻집,118
75,암튼커피스탠드,부산 영도구 남항서로 40-0,카페/찻집,118
75,오채담,부산 영도구 절영로 355-0,전문음식,118
78,태종아리랑,부산 영도구 와치로 328-0,한식,115
79,원조밀면,부산 영도구 중리로 12-0,한식,114
80,큰집꼬리곰탕,부산 영도구 태종로 630-0,한식,110
80,맛나감자탕봉래점,부산 영도구 대교로6번길 33-0,한식,110
82,청해수산,부산 영도구 태종로113번길 35-0,전문음식,107
83,영도김가네쑥밀면,부산 영도구 중리로 3-1,한식,104
84,맛나감자탕동삼점,부산 영도구 동삼로 47-0,한식,101
85,해빙모먼트,부산 영도구 절영로 196-0,카페/찻집,100
86,청학동가야밀면청학점,부산 영도구 산업로 10-0,한식,99
87,더노벰버라운지부산영도점,부산 영도구 동삼오션로 30-0,카페/찻집,92
88,포항물회일번지,부산 영도구 절영로35번길 6-0,전문음식,90
88,경북밀면,부산 영도구 태종로105번길 13-0,한식,90
