순위,업소명,주소,분류,현지인 검색 수
1,이재모피자,부산 중구 광복중앙로 31-0,간이음식,1223
2,본참치,부산 중구 해관로 73-0,전문음식,551
3,한우뭉치부산본점,부산 중구 보수대로 106-0,한식,532
4,물꽁식당,부산 중구 흑교로59번길 3-0,전문음식,479
5,노티스,부산 중구 대교로 135-0,카페/찻집,400
6,백화양곱창,부산 중구 자갈치로23번길 6-0,전문음식,394
7,무궁화,부산 중구 충장대로5번길 46-0,한식,325
8,중앙모밀,부산 중구 중앙대로49번길 9-1,한식,313
9,원조부산족발,부산 중구 광복로 19-1,전문음식,267
10,이가네떡볶이본점,부산 중구 부평1길 48-0,간이음식,248
11,신동아회센터27호,부산 중구 자갈치로 42-0,전문음식,234
12,일미기사식당,부산 중구 흑교로 10-1,한식,229
13,뚱보집,부산 중구 중앙대로29번길 2-11,전문음식,210
14,부평동족발골목,부산 중구 광복로 16-0,음식점기타,199
15,부산명물횟집,부산 중구 자갈치해안로 55-0,전문음식,198
16,한양족발,부산 중구 광복로 13-0,전문음식,176
17,개미집부산본점,부산 중구 중구로30번길 22-0,한식,157
18,성일집,부산 중구 대교로 103-0,전문음식,153
19,거인통닭,부산 중구 중구로47번길 34-0,간이음식,151
20,18번완당집,부산 중구 비프광장로 31-0,한식,150
21,호랭이국수,부산 중구 충장대로9번길 32-0,한식,146
22,롯데쇼핑롯데시네마대영,부산 중구 비프광장로 37-0,한식,143
23,할매가야밀면,부산 중구 광복로 56-14,한식,142
24,물레방아즉석구이,부산 중구 중앙대로41번길 11-1,한식,142
25,석기시대본점,부산 중구 동광길 75-1,한식,141
26,돌고래순두부,부산 중구 중구로40번길 17-0,한식,136
27,동화반점[중식],부산 중구 흑교로75번길 3-0,외국식,132
28,대정양곱창본관,부산 중구 중구로23번길 31-0,전문음식,129
29,서울깍두기,부산 중구 구덕로34번길 8-0,한식,128
30,부산숯불갈비,부산 중구 중구로48번길 9-0,한식,126
31,백구당,부산 중구 중앙대로81번길 3-0,간이음식,119
32,옥생관[중식],부산 중구 대청로 66-0,외국식,116
33,홍유단남포본점 [중식],부산 중구 구덕로34번길 5-0,외국식,113
34,깡돼후,부산 중구 부평1길 57-0,간이음식,110
35,큰집,부산 중구 중구로24번길 19-0,한식,108
36,공순대,부산 중구 중구로29번길 18-5,한식,99
37,삼송초밥,부산 중구 광복로55번길 13-0,외국식,95
38,돌쇠장작구이,부산 중구 중앙대로 45-21,한식,92
39,한월식당,부산 중구 자갈치해안로 27-0,전문음식,91
40,김해식당,부산 중구 자갈치로 51-2,한식,85
41,산해갈비,부산 중구 중구로48번길 11-0,한식,85
42,화국반점[중식],부산 중구 백산길 3-1,외국식,83
43,새진주식당[한식],부산 중구 흑교로 60-0,한식,82
44,양산집,부산 중구 중구로47번길 30-0,한식,81
45,상짱,부산 중구 해관로 59-1,외국식,78
46,모리쵸광복점,부산 중구 광복중앙로 34-0,외국식,71
47,영도다리횟집,부산 중구 자갈치해안로 73-2,전문음식,69
48,제일산꼼장어,부산 중구 자갈치해안로 65-0,전문음식,68
49,그집곱도리탕본점,부산 중구 충장대로5번길 56-2,한식,63
50,산복도로370,부산 중구 망양로 370-0,카페/찻집,61
51,연경재,부산 중구 중앙대로29번길 6-0,카페/찻집,60
52,스톤스트리트,부산 중구 광복중앙로24번길 9-0,전문음식,58
53,이비가짬뽕부산중앙점 [중식],부산 중구 중앙대로 148-0,외국식,57
54,원조바다집,부산 중구 광복로43번길 18-5,전문음식,56
55,옥성반점[중식],부산 중구 보수북길 14-0,외국식,56
56,섬진강재첩국,부산 중구 보수대로 58-0,한식,52
57,굿올데이즈,부산 중구 중앙대로41번길 5-0,카페/찻집,50
58,하늘어장[일식],부산 중구 구덕로 40-0,외국식,49
59,미친막창본점,부산 중구 흑교로35번길 5-0,전문음식,48
60,수복센타,부산 중구 남포길 25-3,한식,47
61,구포집,부산 중구 보수대로36번길 14-1,한식,46
62,어촌,부산 중구 충장대로5번길 52-0,전문음식,46
63,원산면옥,부산 중구 광복로 56-8,한식,46
64,맛찬들왕소금구이부산부평점,부산 중구 광복로 3-0,한식,46
65,중앙식당,부산 중구 해관로 20-3,한식,43
66,영빈관[한식],부산 중구 광복로97번길 17-0,한식,43
67,홍소족발남포점,부산 중구 광복로 21-2,전문음식,43
68,서진섭돼지국밥분점,부산 중구 광복로39번길 30-1,한식,43
69,부평양곱창,부산 중구 부평2길 17-0,전문음식,43
70,푸줏간,부산 중구 대청로138번길 7-1,한식,42
71,명송,부산 중구 해관로 32-0,외국식,41
72,대궁한정식[한식],부산 중구 태종로 14-1,한식,40
73,고래1번지,부산 중구 자갈치로 58-0,전문음식,40
74,광복경양식남포본점,부산 중구 광복중앙로 9-0,전문음식,36
75,동방축산남포점,부산 중구 광복로 19-1,한식,36
76,보수떡집,부산 중구 보수대로118번길 41-1,간이음식,36
77,엄마집숯불곰장어,부산 중구 자갈치해안로 47-2,전문음식,35
78,칭구집,부산 중구 흑교로75번길 6-0,전문음식,35
79,만석미역본점,부산 중구 충장대로5번길 32-1,한식,35
80,일력초밥,부산 중구 충장대로5번길 20-0,외국식,34
81,오복미역남포직영점,부산 중구 구덕로34번길 4-0,한식,34
82,뽕사시미,부산 중구 충장대로5번길 56-0,전문음식,33
83,산수갑산,부산 중구 중구로24번길 21-0,한식,32
84,조선의한우남포점,부산 중구 부평2길 12-0,한식,32
