순위,업소명,주소,분류,현지인 검색 수
1,식당3선센텀1관,부산 해운대구 해운대로 230-0,한식,10040
2,해운대암소갈비집,부산 해운대구 중동2로10번길 32-10,한식,9105
3,금수복국해운대본점,부산 해운대구 중동1로43번길 23-0,전문음식,8486
4,더파티센텀점,부산 해운대구 센텀중앙로 79-0,전문음식,6671
5,그랜드애플,부산 해운대구 센텀1로 25-0,전문음식,5622
6,해운대가야밀면,부산 해운대구 좌동순환로 27-0,한식,4366
7,해목[일식],부산 해운대구 구남로24번길 8-0,외국식,4286
8,풍원장꼬막정찬마린시티점,부산 해운대구 마린시티2로 38-0,한식,4090
9,기와집대구탕,부산 해운대구 달맞이길104번길 46-0,한식,3952
10,양산왕돼지국밥,부산 해운대구 재반로 70-0,한식,3483
11,풍원장미역국정찬마린시티점,부산 해운대구 마린시티3로 51-0,한식,3481
12,오발탄부산해운대점,부산 해운대구 해운대로570번길 10-0,전문음식,3285
13,다솥맛집,부산 해운대구 송정광어골로 29-0,한식,3234
14,어밤부,부산 해운대구 송정광어골로 87-0,외국식,3218
15,제주은희네해장국부산본점,부산 해운대구 대천로42번길 8-0,한식,3187
16,외식1번가해운대점,부산 해운대구 해운대로 425-0,한식,3096
17,거대곰탕,부산 해운대구 해운대해변로 163-0,한식,3017
18,스시미르네본점,부산 해운대구 세실로 75-0,외국식,3011
19,더파티해운대프리미엄점,부산 해운대구 해운대해변로298번길 24-0,전문음식,2990
20,거대갈비본관,부산 해운대구 달맞이길 22-0,한식,2924
21,수민이네,부산 해운대구 청사포로58번길 118-0,전문음식,2897
22,배비장보쌈해운대점,부산 해운대구 해운대로483번길 1-1,전문음식,2780
23,거대갈비신관,부산 해운대구 좌동순환로 459-0,한식,2771
24,양산국밥해운대본점,부산 해운대구 좌동로10번길 75-0,한식,2714
25,호랑이젤라떡,부산 해운대구 달맞이길62번길 38-0,카페/찻집,2704
26,개미집신도시점,부산 해운대구 좌동로10번길 51-5,전문음식,2704
27,풍원장고기정찬달맞이점,부산 해운대구 달맞이길117번가길 175-0,한식,2648
28,올드머그,부산 해운대구 송정구덕포길 122-0,카페/찻집,2554
29,문토스트,부산 해운대구 송정해변로 16-0,간이음식,2503
30,영남돼지,부산 해운대구 해운대해변로209번가길 13-0,한식,2477
31,이레옥부산점,부산 해운대구 마린시티3로 51-0,한식,2442
32,오막집,부산 해운대구 해운대해변로209번나길 28-0,전문음식,2415
