순위,업소명,주소,분류,현지인 검색 수
1,새벽집청담동점,서울 강남구 도산대로101길 6-0,한식,17124
2,압구정공주떡,서울 강남구 논현로161길 10-0,간이음식,15428
3,삼원가든본점,서울 강남구 언주로 835-0,한식,13661
4,영천영화청담점,서울 강남구 도산대로90길 3-0,한식,12182
5,강강술래역삼점 [한식],서울 강남구 논현로 325-0,한식,9994
6,중앙해장,서울 강남구 영동대로86길 17-0,한식,9719
7,스케줄청담,서울 강남구 선릉로152길 37-0,전문음식,8564
8,진미평양냉면,서울 강남구 학동로 305-3,한식,8513
9,런던베이글뮤지엄도산점,서울 강남구 언주로168길 33-0,간이음식,7849
10,김영모과자점도곡타워점,서울 강남구 언주로30길 10-0,간이음식,7728
11,보메청담,서울 강남구 선릉로152길 40-0,전문음식,7204
12,포레스트청담,서울 강남구 선릉로 803-0,전문음식,7024
13,한우리본점,서울 강남구 도산대로 304-0,한식,6976
14,몽중헌대치점,서울 강남구 영동대로 325-0,외국식,6906
15,몽중헌청담점 [중식],서울 강남구 도산대로 445-0,외국식,6522
16,포브라더스도곡점,서울 강남구 논현로28길 40-0,외국식,6517
17,한일관압구정점 [한식],서울 강남구 압구정로38길 14-0,한식,6073
18,노티드청담,서울 강남구 도산대로53길 15-0,카페/찻집,5982
19,오엔,서울 강남구 압구정로11길 37-30,외국식,5840
20,울프강스테이크하우스,서울 강남구 선릉로152길 21-0,전문음식,5693
21,노티드삼성,서울 강남구 테헤란로103길 9-0,카페/찻집,5663
22,아베크청담,서울 강남구 선릉로 823-0,전문음식,5601
23,송쉐프[중식],서울 강남구 도산대로1길 40-0,외국식,5584
24,청담골,서울 강남구 선릉로148길 48-0,전문음식,5437
25,영양센타대치점,서울 강남구 도곡로 436-0,한식,5418
26,오리지널팬케이크하우스가로수길점,서울 강남구 강남대로162길 41-0,전문음식,5276
27,강강술래청담점,서울 강남구 도산대로 535-0,한식,5076
28,곰바위본점,서울 강남구 영동대로115길 10-0,전문음식,4908
29,농민백암순대본점,서울 강남구 선릉로86길 40-4,한식,4810
30,대도식당삼성직영점,서울 강남구 삼성로 545-0,한식,4754
31,긴자청담점 [일식],서울 강남구 도산대로 534-0,외국식,4750
32,강남면옥대치점,서울 강남구 도곡로 428-0,한식,4734
33,갓포준에스테반,서울 강남구 논현로163길 10-0,외국식,4716
