순위,업소명,주소,분류,현지인 검색 수
1,하이그라운드제빵소,서울 강북구 삼양로181길 157-0,카페/찻집,3136
2,카페산아래,서울 강북구 삼양로181길 56-0,카페/찻집,2405
3,고메스퀘어수유점,서울 강북구 도봉로 308-0,전문음식,2328
4,다래함박스텍,서울 강북구 수유로 20-2,전문음식,1933
5,대보명가서울본점 [한식],서울 강북구 4.19로 69-0,한식,1860
6,릴렉스,서울 강북구 삼양로181길 142-0,카페/찻집,1737
7,우이산장키토산오리집,서울 강북구 삼양로181길 141-5,전문음식,1701
8,아카데미하우스,서울 강북구 4.19로 135-0,카페/찻집,1685
9,한옥카페선운각,서울 강북구,카페/찻집,1681
10,엘림들깨수제비본점,서울 강북구 삼각산로 67-0,한식,1576
11,소담촌수유점,서울 강북구 도봉로 388-0,전문음식,1458
12,북한산착한낙지수유점,서울 강북구 4.19로 82-0,전문음식,1245
13,문가네정육식당수유본점,서울 강북구 한천로 1077-0,한식,1238
14,갈비예찬미아점,서울 강북구 도봉로 156-0,한식,1079
15,장수마늘보쌈,서울 강북구 덕릉로 192-0,전문음식,1062
16,미즐카페엠,서울 강북구 4.19로 107-0,카페/찻집,987
17,수유손칼국수,서울 강북구 도봉로101길 45-0,한식,980
18,서당골,서울 강북구 한천로 1153-0,한식,927
19,엄마손기사식당,서울 강북구 한천로 1138-0,한식,926
20,능이마을,서울 강북구 솔샘로 330-0,전문음식,925
21,소담촌미아사거리점,서울 강북구 월계로 3-0,한식,896
22,미림산장[한식],서울 강북구 삼양로181길 253-0,한식,895
23,진호횟집,서울 강북구 도봉로98길 33-0,전문음식,826
24,산성골,서울 강북구 덕릉로 126-0,한식,796
25,옛가,서울 강북구 노해로 91-14,한식,790
26,몽브루,서울 강북구 4.19로 105-0,카페/찻집,777
27,시래기화덕생선구이,서울 강북구 4.19로 61-1,한식,741
28,명인갈비미아직영점,서울 강북구 솔샘로 327-0,한식,719
29,이설함흥냉면,서울 강북구 4.19로 42-0,한식,709
30,백란,서울 강북구 삼양로181길 201-20,카페/찻집,697
31,벼랑순대국,서울 강북구 한천로 924-0,한식,683
32,왕가,서울 강북구 삼양로 681-0,한식,668
33,왕의장어,서울 강북구 삼양로181길 141-5,전문음식,650
34,시골길본점,서울 강북구 삼양로179길 172-0,한식,640
35,쉐이크쉑수유점,서울 강북구 도봉로 315-0,간이음식,639
36,수유리우동집본점,서울 강북구 덕릉로 94-0,외국식,627
37,제프리카벤디쉬런던수유프리미어엠점,서울 강북구 덕릉로 76-0,카페/찻집,592
38,조마루감자탕미아점,서울 강북구 솔샘로 332-0,한식,568
39,석가갈비냉면수유점,서울 강북구 한천로 1160-0,한식,550
40,한일산장,서울 강북구 삼양로181길 239-0,한식,543
41,더소야소수유직영점,서울 강북구 수유로 47-0,한식,540
42,풍천장어마을,서울 강북구 삼양로181길 45-0,전문음식,535
43,카페어니언미아점,서울 강북구 솔매로50길 55-0,카페/찻집,506
44,숲속에바다,서울 강북구 삼양로181길 194-19,한식,494
45,섬진강민물장어,서울 강북구 한천로 1151-0,전문음식,486
46,크을농,서울 강북구 4.19로 91-0,한식,463
47,하늘아래작은마을,서울 강북구 삼양로181길 253-0,한식,439
48,스시노칸도수유점,서울 강북구 한천로139나길 1-0,외국식,437
49,옥류헌[한식],서울 강북구 삼양로181길 142-0,한식,435
50,카페멘디,서울 강북구 4.19로8길 7-2,카페/찻집,416
51,샘터마루,서울 강북구 4.19로12길 35-0,한식,415
52,우리콩순두부,서울 강북구 삼양로173길 46-0,한식,393
53,마루국시미아직영점,서울 강북구 도봉로 242-0,한식,380
54,송담추어탕미아점,서울 강북구 도봉로 30-0,한식,368
55,홍익짬뽕수유직영점 [중식],서울 강북구 노해로 33-0,외국식,359
56,골방집,서울 강북구 한천로 926-0,한식,352
57,두눈,서울 강북구 솔매로 131-0,카페/찻집,351
58,메이린[중식],서울 강북구 월계로 173-0,외국식,348
59,소귀골백운산장,서울 강북구 삼양로181길 206-0,한식,312
60,아람장,서울 강북구 삼양로181길 88-0,한식,301
61,우디 플레이트,서울 강북구 삼양로 689-0,전문음식,299
62,오늘통닭본점,서울 강북구 도봉로 384-0,간이음식,297
63,고향산천,서울 강북구 도봉로 171-0,전문음식,288
64,삼각산숯불생고기,서울 강북구 삼양로163길 8-0,한식,283
65,우리가,서울 강북구 솔샘로 334-8,한식,271
66,붉은대게수유본점,서울 강북구 노해로 28-0,전문음식,263
67,경계선,서울 강북구 삼각산로 22-7,카페/찻집,258
68,코코라야,서울 강북구 도봉로96다길 22-0,한식,253
69,상다리기사식당,서울 강북구 수유로 18-0,한식,249
70,황금성[중식],서울 강북구 덕릉로 62-0,외국식,249
71,지우정,서울 강북구 삼각산로 130-0,한식,248
72,산이네,서울 강북구 4.19로 86-0,한식,243
73,양다리걸쳤네수유점,서울 강북구 노해로8길 16-0,한식,242
