순위,업소명,주소,분류,현지인 검색 수
1,강강술래신림점,서울 관악구 남부순환로 1660-0,한식,6321
2,쟝블랑제리,서울 관악구 낙성대역길 8-0,간이음식,3365
3,정담은보쌈신림점,서울 관악구 남부순환로 1661-0,전문음식,3090
4,아리차이신림점 [중식],서울 관악구 신림동길 4-0,외국식,2890
5,월화고기보라매점,서울 관악구 보라매로3길 16-0,한식,1841
6,미가할매집,서울 관악구 신림로 374-0,한식,1633
7,디자이너리카페,서울 관악구 관천로 71-1,카페/찻집,1610
8,우리설렁탕,서울 관악구 신림로 190-0,한식,1583
9,외래향서울대점 [중식],서울 관악구 남부순환로 1801-0,외국식,1495
10,은행골본점,서울 관악구 조원로 10-1,외국식,1470
11,녹두거리,서울 관악구,음식점기타,1464
12,기절초풍왕순대,서울 관악구 봉천로62길 2-0,한식,1425
13,푸드웰,서울 관악구 호암로22길 25-0,한식,1200
14,오월의김밥,서울 관악구 봉천로 605-0,간이음식,1156
15,고창복의낙지세상봉천점,서울 관악구 남부순환로 1725-0,전문음식,1150
16,옛날농장신림점,서울 관악구 봉천로 262-0,한식,1098
17,온정돈까스본점,서울 관악구 조원로 60-0,전문음식,1068
18,혼자두면장판뜯어서차린개카페,서울 관악구 남부순환로 1665-0,카페/찻집,997
19,한근한방삼계탕,서울 관악구 봉천로 396-0,한식,954
20,신림동순대타운,서울 관악구,음식점기타,946
21,볼트떡볶이신림점,서울 관악구 신림로67길 6-0,간이음식,941
22,정가한정식[한식],서울 관악구 남부순환로 1710-0,한식,902
23,팔공[중식],서울 관악구 남부순환로 1680-0,외국식,891
24,소담촌봉천현대시장점,서울 관악구 양녕로 50-0,전문음식,832
25,구수옥설렁탕,서울 관악구 남부순환로 1674-0,한식,786
26,하이보,서울 관악구 관악로 134-0,외국식,780
27,산촌신쭈꾸미서울대점,서울 관악구 호암로24길 67-0,전문음식,692
28,김영자나주곰탕신림본점,서울 관악구 신림로28길 30-0,한식,691
29,강릉형제장칼국수서울점,서울 관악구 대학5길 10-7,한식,683
30,발루토,서울 관악구 신림로23길 28-0,카페/찻집,675
31,버거앤프라이즈신대방역점,서울 관악구 난곡로 356-1,간이음식,671
32,박막례청진동해장국,서울 관악구 관악로 105-0,한식,643
33,차이나당,서울 관악구 낙성대로 16-0,외국식,631
34,진순자계란말이김밥봉천본점,서울 관악구 청룡1길 19-0,간이음식,623
35,신선설농탕서울대역점,서울 관악구 관악로 163-0,한식,606
36,시골집,서울 관악구 낙성대로 22-7,한식,599
37,논밭골봉천점,서울 관악구 청룡길 30-0,한식,591
38,대원갈비,서울 관악구 신림로67길 5-0,한식,587
39,카페인중독신림본점,서울 관악구 봉천로6길 40-0,카페/찻집,585
40,낙성기사식당[한식],서울 관악구 봉천로 550-0,한식,574
41,서울갈비신림점,서울 관악구 남부순환로 1645-0,한식,568
42,청기와타운서울대점,서울 관악구 남부순환로 1838-0,한식,543
43,풍천민물장어삼억집,서울 관악구 남부순환로 1875-0,전문음식,534
44,정원쌈밥보리밥,서울 관악구 신림로18가길 23-0,한식,527
45,천미미[중식],서울 관악구 시흥대로 552-0,외국식,492
46,양평해장국,서울 관악구 봉천로 229-0,한식,487
47,미림분식,서울 관악구 호암로 553-0,간이음식,479
48,이라운지서울대점,서울 관악구 관악로 1-0,전문음식,470
49,조마루감자탕구로1호점,서울 관악구 조원로 8-0,한식,469
50,미추원주추어탕서울본점,서울 관악구 관악로 108-0,한식,466
51,들깨향장수밀,서울 관악구 봉천로 355-0,한식,459
52,서울밥집,서울 관악구 관천로 36-1,한식,453
53,도림항,서울 관악구 조원로4길 8-0,전문음식,448
54,고기싸롱신대방역점,서울 관악구 난곡로 339-0,한식,436
55,청보리한우화로구이,서울 관악구 남부순환로 1453-0,한식,436
56,황제갈비,서울 관악구 남부순환로 1644-0,한식,436
57,피자나라치킨공주관악구청점,서울 관악구 봉천로41길 7-0,간이음식,431
58,부림식당[한식],서울 관악구 청룡길 9-0,한식,428
59,하남돼지집서울대입구역점,서울 관악구 관악로17길 3-0,한식,426
60,만양순대국,서울 관악구 은천로 132-0,한식,426
61,모힝낙성대점,서울 관악구 봉천로62길 7-0,전문음식,418
62,신림정,서울 관악구 봉천로 248-0,한식,407
63,려,서울 관악구 봉천로 456-0,외국식,396
64,서울집신림직영점,서울 관악구 신림동길 6-0,한식,394
65,쥬벤쿠바,서울 관악구 관악로14나길 10-0,외국식,387
66,완산정,서울 관악구 봉천로 484-0,한식,385
67,카페모리츠,서울 관악구 남부순환로 1711-0,카페/찻집,377
68,성암축산정육식당,서울 관악구 관천로 45-0,한식,368
69,정수사[일식],서울 관악구 관악로 263-0,외국식,347
70,유천냉면봉천점,서울 관악구 쑥고개로 104-0,한식,336
71,놀부보쌈부대찌개난곡점,서울 관악구 남부순환로 1487-0,전문음식,312
72,쉐이크쉑신림점,서울 관악구 신림로 330-0,간이음식,309
73,크리스피크림도넛서울대입구역점,서울 관악구 관악로 202-0,간이음식,303
