순위,업소명,주소,분류,현지인 검색 수
1,맥도날드쌍문DT점,서울 도봉구 도봉로 541-0,간이음식,6975
2,하누소창동본점,서울 도봉구 노해로 327-0,한식,3845
3,맥도날드방학역DT점,서울 도봉구 도봉로 735-0,간이음식,3481
4,스타벅스쌍문도봉로점,서울 도봉구 도봉로 444-0,카페/찻집,2296
5,대문한정식[한식],서울 도봉구 시루봉로 139-6,한식,2089
6,메이다이닝,서울 도봉구 도봉로169길 202-0,전문음식,1881
7,사이코우스시쌍문점,서울 도봉구 방학로7길 99-0,외국식,1864
8,도봉산양고기,서울 도봉구 도봉로191길 99-6,한식,1556
9,무수옥,서울 도봉구 도봉로165길 15-0,한식,1555
10,황금정원,서울 도봉구 방학로 312-0,한식,1539
11,경복궁창동점,서울 도봉구 도봉로 610-0,한식,1472
12,와겐커피방학점,서울 도봉구 도봉로150마길 15-0,카페/찻집,1469
13,설담재창동본점,서울 도봉구 도봉로 562-0,한식,1459
14,버거킹쌍문SK점,서울 도봉구 도봉로 437-0,간이음식,1406
15,천지연서울창동점,서울 도봉구 도봉로 526-0,한식,1373
16,탐앤탐스창동본점,서울 도봉구 노해로 285-0,카페/찻집,1358
17,감포면옥,서울 도봉구 노해로 243-0,한식,1355
18,스타벅스방학역점,서울 도봉구 도봉로 684-0,카페/찻집,1202
19,동해수산,서울 도봉구 도봉로 663-8,전문음식,1197
20,조마루감자탕쌍문점,서울 도봉구 도봉로 569-0,한식,1179
21,버거킹쌍문점,서울 도봉구 도당로 6-0,간이음식,1178
22,옹기꽃게장,서울 도봉구 도봉산4가길 14-9,전문음식,1114
23,우설화창동점,서울 도봉구 도봉로 526-0,한식,1103
24,장수옥설렁탕도가니탕,서울 도봉구 도봉로 805-0,한식,1041
25,스시혼,서울 도봉구 도봉로110길 8-0,외국식,991
26,일심해장국,서울 도봉구 방학로 204-0,한식,957
27,산도토리임자탕,서울 도봉구 덕릉로60길 13-0,한식,943
28,쌍문동판다쓰[중식],서울 도봉구 우이천로24길 49-0,외국식,918
29,VIPS방학점,서울 도봉구 도봉로 684-0,전문음식,870
30,동적깡통구이쌍문점,서울 도봉구 도봉로109길 30-0,한식,869
31,최고집칼국수방학점,서울 도봉구 방학로 286-0,한식,868
32,KFC우이동점,서울 도봉구 삼양로 544-0,간이음식,829
33,망향비빔국수창동점,서울 도봉구 도봉로 534-0,한식,828
34,황금코다리쌍문점,서울 도봉구 시루봉로 68-0,한식,819
35,채선당쌍문점,서울 도봉구 도봉로 533-0,전문음식,775
