순위,업소명,주소,분류,현지인 검색 수
1,홍능갈비집본점,서울 동대문구 제기로 85-0,한식,7469
2,어머니대성집,서울 동대문구 왕산로11길 4-0,한식,3193
3,나정순할매주꾸미,서울 동대문구 무학로 144-0,전문음식,2575
4,일미간장게장본점,서울 동대문구 장한로24길 7-0,전문음식,2121
5,갈비명가이상답십리점,서울 동대문구 천호대로 327-0,한식,2102
6,홍익돈까스회기역점,서울 동대문구 망우로21길 52-0,전문음식,1570
7,먹깨비간장게장해물아구찜,서울 동대문구 장한로 92-0,전문음식,1400
8,성천막국수,서울 동대문구 답십리로48나길 2-0,한식,1372
9,늘봄해물찜손칼국수답십리본점,서울 동대문구 전농로 39-0,한식,1366
10,함경면옥,서울 동대문구 왕산로 87-0,한식,1352
11,용두동쭈꾸미본점,서울 동대문구 무학로36길 10-0,전문음식,1215
12,신토불이장안직영점,서울 동대문구 사가정로 278-0,전문음식,1150
13,정대감감자탕,서울 동대문구 천호대로83길 46-0,한식,1122
14,소담촌장안점,서울 동대문구 사가정로 207-0,전문음식,1107
15,송쉐프,서울 동대문구 장한로2길 20-0,외국식,1094
16,마루샤브용두직영점,서울 동대문구 왕산로 61-0,전문음식,1038
17,장안정본점,서울 동대문구 답십리로 291-3,전문음식,1026
18,부부횟집,서울 동대문구 장한로 198-0,전문음식,1017
19,제주은희네해장국장안점,서울 동대문구 장한로 43-0,한식,1006
20,대한닭발1979본점,서울 동대문구 장한로 116-0,전문음식,949
21,혜성칼국수,서울 동대문구 왕산로 247-1,한식,864
22,육전식당본점,서울 동대문구 난계로30길 16-0,한식,861
23,육전식당3호점,서울 동대문구 천호대로 38-0,한식,825
24,흥부골숯불돼지왕갈비본점,서울 동대문구 장한로24길 46-0,한식,813
25,송학수산,서울 동대문구 장한로26길 67-0,전문음식,807
26,짬뽕지존장안점 [중식],서울 동대문구 장한로 109-0,외국식,806
27,오소리순대본점,서울 동대문구 회기로4길 16-0,한식,806
28,천호낙지,서울 동대문구 사가정로 207-0,전문음식,800
29,은하곱창,서울 동대문구 전농로15길 22-0,전문음식,784
30,진미기사식당,서울 동대문구 장한로 64-0,한식,762
31,안흥갈비,서울 동대문구 장한로 153-0,한식,670
32,할머니냉면,서울 동대문구 왕산로37길 51-0,한식,658
33,서산간장게장,서울 동대문구 장한로24길 7-0,전문음식,642
34,일심해장국본점,서울 동대문구 장한로 179-0,한식,620
35,채선당답십리점,서울 동대문구 사가정로 6-0,전문음식,618
36,영동교집장안직영점,서울 동대문구 천호대로83길 32-0,한식,614
37,대한곱창장안점,서울 동대문구 천호대로85길 21-0,전문음식,585
38,원골전통순대국,서울 동대문구 사가정로 232-0,한식,579
39,행운돈까스지기장안본점,서울 동대문구 장한로 173-0,전문음식,555
40,삼형제김밥답십리본점,서울 동대문구 전농로11길 65-0,간이음식,541
41,커피빈장안점,서울 동대문구 장한로 115-0,카페/찻집,518
42,비케이볏짚직화구이장안동본점,서울 동대문구 장한로26가길 29-0,한식,514
43,한우천국장안점,서울 동대문구 장한로 96-0,한식,512
44,커피나인본점,서울 동대문구 전농로3길 12-0,카페/찻집,511
45,네남자[중식],서울 동대문구 장한로17길 13-2,외국식,508
46,964커피&너만보여크루아상,서울 동대문구 망우로21길 63-0,카페/찻집,485
47,지호한방삼계탕장안점,서울 동대문구 장한로 161-0,한식,482
48,소담촌용두점,서울 동대문구 왕산로 60-1,전문음식,475
49,용두동복집,서울 동대문구 왕산로16길 9-0,전문음식,471
50,대흥설농탕,서울 동대문구 한천로 60-0,한식,465
51,한상차림코다리명가답십리점,서울 동대문구 사가정로 80-0,한식,463
52,로운샤브샤브롯데백화점청량리점,서울 동대문구 왕산로 214-0,전문음식,463
53,신락원[중식],서울 동대문구 전농로20길 2-0,외국식,458
54,와규스타답십리점,서울 동대문구 천호대로 319-0,한식,445
55,현고대닭발본점,서울 동대문구 제기로2가길 3-0,간이음식,443
56,40년전통할머니추어탕장안점,서울 동대문구 장한로 39-0,한식,441
57,본노엘,서울 동대문구 전농로 75-18,간이음식,438
58,망향비빔국수답십리점,서울 동대문구 한천로 103-0,한식,438
59,일번지정육식당,서울 동대문구 장한로 18-0,한식,429
60,선진국낙지마당,서울 동대문구 장한로 149-1,전문음식,413
61,행복한식탁,서울 동대문구 장한로 150-0,한식,407
62,만선애꿈동대문점,서울 동대문구 한천로 42-0,한식,403
63,흥부골숯불갈비장안2호점,서울 동대문구 장한로 149-0,한식,398
64,오징어데이,서울 동대문구 천호대로83길 89-0,전문음식,391
65,장안순대국밥,서울 동대문구 고미술로 81-0,한식,386
66,팔각도경희대점,서울 동대문구 회기로13길 10-0,전문음식,382
67,등촌샤브칼국수장안점,서울 동대문구 장한로 140-0,한식,382
68,영화장[중식],서울 동대문구 휘경로 3-8,외국식,374
69,비사벌 전주콩나물국밥,서울 동대문구 장한로 51-0,한식,361
70,장원닭한마리,서울 동대문구 전농로 30-1,한식,359
71,레알라면,서울 동대문구 회기로25길 23-5,간이음식,355
72,삼삼뼈국,서울 동대문구 망우로21길 52-0,한식,344
73,온니당,서울 동대문구 답십리로63길 125-0,카페/찻집,338
