순위,업소명,주소,분류,현지인 검색 수
1,홍대입구,서울 마포구,음식점기타,6083
2,리치몬드과자점성산본점,서울 마포구 월드컵북로 86-0,간이음식,4477
3,감나무집기사식당,서울 마포구 연남로 23-0,한식,4177
4,을밀대본점,서울 마포구 숭문길 24-0,한식,3982
5,마포양지설렁탕,서울 마포구 새창로 6-0,한식,3286
6,망원동즉석우동,서울 마포구 동교로 83-0,외국식,2899
7,황금콩밭,서울 마포구 마포대로16길 9-0,한식,2774
8,마포옥,서울 마포구 토정로 312-0,한식,2541
9,저스티나,서울 마포구 양화진2길 31-0,카페/찻집,2418
10,채그로,서울 마포구 마포대로4다길 31-0,카페/찻집,2174
11,서강8경,서울 마포구 토정로 128-0,전문음식,2171
12,몽중헌공덕점 [중식],서울 마포구 마포대로 92-0,외국식,2108
13,경기떡집,서울 마포구 동교로9길 24-0,간이음식,2089
14,각시보쌈,서울 마포구 성지길 25-0,전문음식,2014
15,다이닝원상암점,서울 마포구 매봉산로 80-0,전문음식,1958
16,만복기사식당[한식],서울 마포구 희우정로 121-0,한식,1903
17,명인갈비,서울 마포구 연남로 85-0,한식,1894
18,램랜드,서울 마포구 토정로 255-0,전문음식,1807
19,원조조박집본관,서울 마포구 토정로 313-1,한식,1795
20,노티드연남,서울 마포구 월드컵북로6길 12-13,카페/찻집,1706
21,비파티세리공덕점,서울 마포구 마포대로14길 4-0,카페/찻집,1688
22,역전회관,서울 마포구 토정로37길 47-0,한식,1648
23,대도식당마포대로점,서울 마포구 마포대로 19-0,한식,1634
24,채선당광흥창점,서울 마포구 창전로 20-0,전문음식,1609
25,고도식마포점,서울 마포구 마포대로1길 16-0,한식,1568
26,경복궁서교점,서울 마포구 월드컵북로 37-0,한식,1565
27,마루심마포점,서울 마포구 토정로 316-0,전문음식,1534
28,교동집,서울 마포구 동교로 208-0,한식,1512
29,진평925,서울 마포구 망원로 87-0,한식,1476
30,봉피양마포점,서울 마포구 토정로 308-0,한식,1470
31,랜디스도넛연남점,서울 마포구 동교로 247-0,간이음식,1422
32,거구장,서울 마포구 백범로 23-0,한식,1407
33,서교가든,서울 마포구 동교로 120-0,한식,1401
34,송추가마골인어반마포점,서울 마포구 독막로 311-0,한식,1363
35,맛이차이나[중식],서울 마포구 독막로 68-0,외국식,1361
36,마키노차야마포점,서울 마포구 마포대로 92-0,전문음식,1320
37,파네트,서울 마포구 마포대로11길 17-0,간이음식,1319
38,산리오러버스클럽,서울 마포구 와우산로19길 18-0,카페/찻집,1288
39,딥커피,서울 마포구 동교로 209-0,카페/찻집,1287
40,모연마포본점,서울 마포구 토정로 318-0,한식,1287
41,청어람망원점,서울 마포구 망원로 97-0,전문음식,1278
42,군산찜,서울 마포구 새터산길 2-0,한식,1263
43,소이연남,서울 마포구 동교로 267-0,외국식,1262
44,오레노라멘,서울 마포구 독막로6길 14-0,전문음식,1249
45,일일향마포5호점 [중식],서울 마포구 새창로2길 15-2,외국식,1243
46,진진본관 [중식],서울 마포구 잔다리로 123-0,외국식,1235
47,원마산해물찜해물탕,서울 마포구 마포대로1길 46-0,한식,1231
48,바다회사랑2호점,서울 마포구 동교로 143-0,전문음식,1206
49,삿뽀로홍대점,서울 마포구 월드컵북로 14-0,외국식,1201
50,아소정,서울 마포구 백범로25길 9-0,한식,1185
51,와이키키마켓,서울 마포구 마포나루길 332-0,전문음식,1174
52,빈브라더스합정점,서울 마포구 토정로 35-1,카페/찻집,1161
53,색동저고리마포점 [한식],서울 마포구 도화길 27-0,한식,1141
54,프랑제리피어 신촌점,서울 마포구 서강로 75-16,간이음식,1127
55,당가원[중식],서울 마포구 월드컵북로 173-0,외국식,1126
56,피오니연남점,서울 마포구 연남로 59-1,카페/찻집,1116
57,하이디라오홍대점,서울 마포구 양화로 176-0,외국식,1102
58,부영각[중식],서울 마포구 토정로 268-0,외국식,1099
59,핑크솔트숯불구이,서울 마포구 양화로 16-0,한식,1090
60,앤트러사이트합정점,서울 마포구 토정로5길 10-0,카페/찻집,1080
61,김영섭초밥,서울 마포구 월드컵북로 352-18,외국식,1058
62,신성각[중식],서울 마포구 임정로 55-1,외국식,1057
63,피오니,서울 마포구 독막로7길 51-0,카페/찻집,1053
64,툭툭누들타이,서울 마포구 성미산로 161-8,외국식,1045
65,할리스공덕경의선숲길점,서울 마포구 백범로28길 22-0,카페/찻집,1031
66,일등식당,서울 마포구 방울내로 82-0,한식,1027
67,합정옥,서울 마포구 양화로1길 21-0,한식,1018
68,청기와타운마포용강점,서울 마포구 토정로 296-0,한식,997
69,조선초가한끼[한식],서울 마포구 독막로 288-0,한식,993
70,덕승재[한식],서울 마포구 월드컵북로 361-0,한식,986
71,포비베이직합정점,서울 마포구 양화로3길 66-0,카페/찻집,974
72,무대륙,서울 마포구 토정로5길 12-0,카페/찻집,966
73,서룡[중식],서울 마포구 월드컵북로 361-0,외국식,965
74,제주은희네해장국홍대점,서울 마포구 월드컵북로 43-0,한식,965
75,경복궁블랙마포로이넷호텔점 [한식],서울 마포구 마포대로 67-0,한식,960
76,현래장[중식],서울 마포구 마포대로 20-0,외국식,936
