순위,업소명,주소,분류,현지인 검색 수
1,모래내설농탕본점,서울 서대문구 모래내로 271-0,한식,5175
2,연희동손칼국수본점,서울 서대문구 연희맛로 37-0,한식,3883
3,수빈[한식],서울 서대문구 연희로25길 31-3,한식,2678
4,형제갈비,서울 서대문구 명물1길 2-0,한식,1888
5,앤트러사이트연희점,서울 서대문구 연희로 135-0,카페/찻집,1729
6,녹원쌈밥,서울 서대문구 연희로25길 22-0,한식,1609
7,목란[중식],서울 서대문구 연희로15길 21-0,외국식,1607
8,피터팬1978본점,서울 서대문구 증가로 10-0,간이음식,1453
9,이화원[중식],서울 서대문구 연희맛로 13-0,외국식,1445
10,월순철판동태찜연희본점,서울 서대문구 연희맛로 17-14,한식,1384
11,고미정,서울 서대문구 연희로26길 28-0,한식,1321
12,등촌샤브칼국수명지대점,서울 서대문구 모래내로 273-0,전문음식,1287
13,연경연희점 [중식],서울 서대문구 연희로 145-0,외국식,1262
14,락희안가좌본점 [중식],서울 서대문구 가재울로4길 53-0,외국식,1141
15,연희김밥본점,서울 서대문구 연희로11가길 2-0,간이음식,1114
16,청송함흥냉면본관,서울 서대문구 연희맛로 6-0,한식,974
17,연남장,서울 서대문구 연희로5길 22-0,간이음식,943
18,로덴드론연희점,서울 서대문구 연희로25길 82-0,카페/찻집,812
19,연희보리밥,서울 서대문구 연희맛로 33-0,한식,796
20,짚불집,서울 서대문구 연희로8길 5-3,한식,755
21,연대북문우리집[한식],서울 서대문구 연희로26길 23-0,한식,748
22,맛있는칼국수,서울 서대문구 불광천길 150-0,한식,733
23,백련시장낙원떡집,서울 서대문구 가재울로6길 53-87,간이음식,721
24,아워온즈,서울 서대문구 연희맛로 45-0,카페/찻집,706
25,노아스로스팅연희 헤리티지점,서울 서대문구 연희로 160-0,카페/찻집,698
26,꽃마름가좌역점,서울 서대문구 수색로 56-0,전문음식,681
27,한촌설렁탕북가좌점,서울 서대문구 응암로 67-0,한식,679
28,강수사,서울 서대문구 연희로 157-0,외국식,632
29,쿳사,서울 서대문구 증가로 48-0,카페/찻집,623
30,엄마손떡볶이,서울 서대문구 증가로10길 37-0,간이음식,615
31,그로어스,서울 서대문구 연희로27길 52-0,전문음식,585
32,콘하스연희점,서울 서대문구 연희로27길 99-0,카페/찻집,582
33,영양센타모래내점,서울 서대문구 모래내로 271-0,한식,564
34,쏘렌토명지대점,서울 서대문구 가좌로 114-0,전문음식,550
35,우자매순대국,서울 서대문구 거북골로24길 65-0,한식,547
36,모래내곱창,서울 서대문구 증가로10길 26-0,전문음식,542
37,이정희떡볶이,서울 서대문구 증가로10길 14-0,간이음식,535
38,맛있는집,서울 서대문구 거북골로20길 55-0,간이음식,528
39,한옥집김치찜본점,서울 서대문구 통일로9길 12-0,한식,523
40,연탄생고기집,서울 서대문구 홍제천로 76-0,한식,500
41,호천식당,서울 서대문구 연희로14길 5-0,한식,489
42,평화빌딩,서울 서대문구 연희로 81-5,음식점기타,447
43,홍루이젠아현점,서울 서대문구 신촌로35길 10-0,간이음식,440
44,사조미가[한식],서울 서대문구 통일로 107-39,한식,439
45,홍은손칼국수전문점,서울 서대문구 홍은중앙로 27-0,한식,438
46,소담촌홍제점,서울 서대문구 통일로 413-0,한식,435
47,도깨비우동,서울 서대문구 증가로 250-0,외국식,432
48,크리스피크림도넛가좌역점,서울 서대문구 수색로 56-0,간이음식,431
49,문화촌초밥집,서울 서대문구 세무서7길 12-6,외국식,424
50,우동카덴연희점,서울 서대문구 연희로 173-0,외국식,423
51,조은집[한식],서울 서대문구 연희맛로 43-0,한식,408
52,평택고여사집냉면,서울 서대문구 연희로 81-9,한식,408
53,하노이의아침연희점,서울 서대문구 연희맛로 10-0,외국식,392
54,오트,서울 서대문구 연희로25길 95-0,전문음식,375
55,시오[일식],서울 서대문구 연희로11가길 23-0,외국식,369
56,주재근베이커리,서울 서대문구 통일로 438-0,간이음식,361
57,연희곰탕,서울 서대문구 증가로 17-0,한식,359
58,37.5DMC가재울점,서울 서대문구 가재울미래로 17-0,전문음식,354
59,카페 곳,서울 서대문구 홍제내2나길 2-0,카페/찻집,353
60,연희화로갈비,서울 서대문구 모래내로 376-0,한식,352
61,백년약수골,서울 서대문구 백련사길 99-0,한식,351
62,지호한방삼계탕연희점,서울 서대문구 연희로25길 10-0,한식,345
63,진보[중식],서울 서대문구 연희맛로 9-0,외국식,335
64,만동제과,서울 서대문구 연희로 32-0,간이음식,328
65,연희예술극장,서울 서대문구 연희맛로 2-3,카페/찻집,328
66,연희녹두삼계탕,서울 서대문구 연희맛로 43-1,한식,327
67,최고집바지락생칼국수,서울 서대문구 응암로 59-0,한식,325
68,제풀,서울 서대문구 증가로32안길 35-0,음식점기타,319
69,데스툴,서울 서대문구 연희로25길 98-0,카페/찻집,313
70,경성팥집옥루몽신촌본점,서울 서대문구 연대동문길 18-0,카페/찻집,305
71,서대문족발본점,서울 서대문구 충정로6안길 54-0,전문음식,301
72,거북이집[한식],서울 서대문구 연희맛로 12-1,한식,288
73,벽제갈비신촌점,서울 서대문구 명물길 22-0,한식,286
74,장도리곰탕연희점,서울 서대문구 연희로25길 27-0,한식,286
