순위,업소명,주소,분류,현지인 검색 수
1,맥도날드양재SK DT점,서울 서초구 바우뫼로 178-0,간이음식,9610
2,영동설렁탕,서울 서초구 강남대로101안길 24-0,한식,8516
3,맥도날드서초GS점,서울 서초구 효령로49길 52-0,간이음식,7940
4,임병주산동손칼국수,서울 서초구 강남대로37길 65-0,한식,7620
5,장꼬방김치찌개전문,서울 서초구 효령로 364-0,한식,7294
6,통나무집강남점,서울 서초구 헌인릉길 9-0,한식,4812
7,스타벅스서울웨이브아트센터점,서울 서초구 잠원로 145-35,카페/찻집,4613
8,버드나무집서초본점,서울 서초구 효령로 434-0,한식,4545
9,마루심본점,서울 서초구 고무래로10길 10-0,전문음식,4383
10,옛골토성청계산점,서울 서초구 청계산로 434-0,전문음식,4311
11,소호정본점,서울 서초구 논현로 27-0,한식,4129
12,백년옥,서울 서초구 남부순환로 2407-0,한식,4045
13,한소반청계산점,서울 서초구 청계산로 249-0,전문음식,3894
14,서관면옥교대본점,서울 서초구 서초대로56길 11-0,한식,3663
15,경복궁서초점,서울 서초구 서초중앙로 195-0,한식,3615
16,우참판서래본점,서울 서초구 서래로 23-0,한식,3539
17,구름떡,서울 서초구 방배로33길 21-0,간이음식,3485
18,VIPS반포역점,서울 서초구 신반포로 257-0,전문음식,3438
19,카페캐틀앤비양재점,서울 서초구 양재천로 131-0,카페/찻집,3258
20,서래본가,서울 서초구 사평대로 126-0,한식,3118
21,김영모과자점서초성당점,서울 서초구 서초대로64길 41-4,간이음식,3019
22,이남장서초점,서울 서초구 서초대로49길 4-0,한식,3017
23,대나무골[한식],서울 서초구 법원로3길 15-0,한식,2971
24,곤드레집,서울 서초구 청룡마을1길 1-0,한식,2950
25,설마중,서울 서초구 남부순환로 2648-0,한식,2947
26,퀸즈파크서래점,서울 서초구 동광로 95-1,전문음식,2880
27,TODAH,서울 서초구 성촌6길 39-0,카페/찻집,2857
28,채빛퀴진,서울 서초구 올림픽대로 2085-14,전문음식,2781
29,갈비사랑,서울 서초구 강남대로 204-0,한식,2619
30,인덕원비빔국수양재직영점,서울 서초구 남부순환로 2656-0,한식,2606
31,금수복국서초점,서울 서초구 서초중앙로24길 22-0,전문음식,2584
32,차이797블랙서래마을점 [중식],서울 서초구 동광로 78-0,외국식,2566
33,오발탄서초점,서울 서초구 반포대로 154-0,한식,2493
34,소백산양재별관,서울 서초구 강남대로8길 36-0,한식,2437
35,대도식당강남대로점,서울 서초구 강남대로 589-0,한식,2389
36,진동둔횟집,서울 서초구 강남대로91길 18-0,전문음식,2383
37,커피빈방배카페골목점,서울 서초구 방배중앙로 187-0,카페/찻집,2376
38,파리크라상반포서래,서울 서초구 서래로5길 2-0,간이음식,2368
39,봉산옥서초동본점,서울 서초구 반포대로8길 5-6,한식,2334
40,태양커피,서울 서초구 서초대로25길 55-0,카페/찻집,2207
41,미우야,서울 서초구 강남대로23길 90-0,전문음식,2186
42,하이디라오서초지점,서울 서초구 서초대로77길 54-0,외국식,2173
43,스타벅스하이브랜드점,서울 서초구 매헌로 16-0,카페/찻집,2165
44,한국순대,서울 서초구 바우뫼로35길 4-0,한식,2162
45,서석대,서울 서초구 서초대로 346-0,한식,2160
46,카페노티드서래,서울 서초구 방배로32길 30-9,카페/찻집,2138
47,탐라도야지본점,서울 서초구 서초대로50길 82-0,한식,2089
48,산들해반포점 [한식],서울 서초구 반포대로 287-0,한식,2081
49,몽중헌반포점 [중식],서울 서초구 서초중앙로 249-0,외국식,2070
50,프리퍼,서울 서초구 반포대로5길 4-0,카페/찻집,2032
51,스타벅스반포역점,서울 서초구 신반포로 257-0,카페/찻집,2024
52,서초면옥서래마을점,서울 서초구 동광로 97-0,한식,1974
53,배나무골양재점,서울 서초구 마방로2길 12-0,전문음식,1973
54,브루클린더버거조인트서래마을점,서울 서초구 서래로2길 27-0,간이음식,1956
55,봉피양양재점,서울 서초구 강남대로 283-0,한식,1940
55,딘타이펑강남역점,서울 서초구 서초대로73길 12-0,외국식,1940
57,한국회관,서울 서초구 사평대로18길 10-0,한식,1937
58,일품헌양재본점,서울 서초구 남부순환로 2634-27,전문음식,1936
59,버드나무집우면점,서울 서초구 남부순환로 2461-0,한식,1907
60,삿뽀로서초점,서울 서초구 서초중앙로 195-0,외국식,1905
61,김영모과자점신반포점,서울 서초구 신반포로 100-0,간이음식,1903
62,교대이층집본점,서울 서초구 서초대로50길 24-0,한식,1900
63,밴건디스테이크하우스,서울 서초구 사평대로22길 5-0,전문음식,1852
64,소호정신관,서울 서초구 논현로13길 1-0,한식,1850
65,스타벅스청계산입구역점,서울 서초구 청계산로 203-0,카페/찻집,1810
66,풍천가서초직영점,서울 서초구 강남대로4길 4-0,전문음식,1802
67,카페보아즈,서울 서초구 양재천로 53-0,카페/찻집,1801
68,아티제서초역점,서울 서초구 반포대로27길 16-0,카페/찻집,1783
69,맥도날드서초뱅뱅점,서울 서초구 강남대로 305-0,간이음식,1773
70,여의도생고기내곡점,서울 서초구 신흥말길 27-9,한식,1746
71,볼라레,서울 서초구 사평대로20길 8-0,전문음식,1741
72,3대삼계장인,서울 서초구 반포대로28길 56-3,한식,1730
73,소들녘서초점,서울 서초구 효령로 232-0,한식,1729
74,하이브랜드푸드코트,서울 서초구 매헌로 16-0,음식점기타,1710
75,영양센타서초역점,서울 서초구 명달로 130-0,한식,1700
76,울돌목가는길[한식],서울 서초구 서초대로40길 41-0,한식,1688
77,해담채남부터미널점 [한식],서울 서초구 서초중앙로5길 10-8,한식,1687
78,37.5서래마을점,서울 서초구 서래로7길 16-0,카페/찻집,1643
79,푸주옥,서울 서초구 서초중앙로26길 5-0,한식,1618
80,모던샤브하우스센트럴시티점,서울 서초구 신반포로 176-0,전문음식,1616
81,라그릴리아양재점,서울 서초구 남부순환로 2620-0,전문음식,1613
82,프로간장게장신사본점,서울 서초구 강남대로97길 7-0,전문음식,1611
83,오선채[한식],서울 서초구 남부순환로 2634-8,한식,1608
84,만다린[중식],서울 서초구 방배로6길 10-15,외국식,1607
85,스타벅스강남GT타워점,서울 서초구 서초대로 411-0,카페/찻집,1574
86,오리지널팬케이크하우스잠원파스텔점,서울 서초구 신반포로33길 27-0,전문음식,1515
87,모나크비스트로,서울 서초구 잠원로 145-57,전문음식,1489
88,하오차이[중식],서울 서초구 효령로 260-0,외국식,1486
89,소나무집,서울 서초구 식유촌길 71-0,한식,1480
90,로얄맨션반포점,서울 서초구 사평대로22길 9-0,전문음식,1466
91,장수원,서울 서초구 방배중앙로 153-0,한식,1464
92,비스트로누,서울 서초구 사평대로26길 26-6,전문음식,1457
93,크라이치즈버거양재점,서울 서초구 강남대로41길 8-0,간이음식,1449
94,샘밭막국수,서울 서초구 서초중앙로24길 27-0,한식,1448
95,디오디아,서울 서초구 강남대로 213-0,전문음식,1430
96,3 Birds센트럴시티점,서울 서초구 사평대로 205-0,전문음식,1425
97,청와옥양재직영점,서울 서초구 강남대로8길 3-0,한식,1415
98,제이에스가든앤로바잠원점 [중식],서울 서초구 잠원로4길 33-2,외국식,1384
99,서라벌한정식서초점 [한식],서울 서초구 법원로3길 6-9,한식,1375
100,신선설농탕서초점,서울 서초구 효령로 322-0,한식,1371
