순위,업소명,주소,분류,현지인 검색 수
1,소문난성수감자탕본관,서울 성동구 연무장길 45-0,한식,11101
2,RSG성수,서울 성동구 연무장15길 11-0,카페/찻집,6725
3,대도식당본점,서울 성동구 무학로12길 3-0,한식,5980
4,성수족발,서울 성동구 아차산로7길 7-0,전문음식,2380
5,블루보틀성수카페,서울 성동구 아차산로 7-0,카페/찻집,1986
6,유래회관,서울 성동구 마장로 196-0,한식,1770
7,강남면옥성수점,서울 성동구 성수일로 77-0,한식,1714
8,할아버지공장,서울 성동구 성수이로7가길 9-0,카페/찻집,1702
9,마장동한우촌,서울 성동구 마장로35길 68-0,한식,1578
10,본앤브레드신관(레스토랑),서울 성동구 마장로42길 1-0,한식,1548
11,카페어니언성수점,서울 성동구 아차산로9길 8-0,카페/찻집,1508
12,인더매스마장점,서울 성동구 마장로 270-0,카페/찻집,1413
13,코끼리베이글성수점,서울 성동구 성수이로26길 17-0,간이음식,1330
14,목포산꽃게아구찜탕,서울 성동구 마장로 331-0,한식,1323
15,잠수교집성수점,서울 성동구 아차산로 137-0,한식,1161
16,노티드성수,서울 성동구 연무장길 29-17,카페/찻집,1105
17,카페차성수점,서울 성동구 서울숲6길 2-0,카페/찻집,1039
18,악어떡볶이,서울 성동구 마조로 33-0,간이음식,1009
19,대성갈비,서울 성동구 서울숲4길 27-0,한식,1002
20,춘향미엔,서울 성동구 왕십리로21길 26-0,외국식,950
21,옥수해물찜칼국수,서울 성동구 독서당로40길 37-0,한식,937
22,만두전빵,서울 성동구 행당로15길 2-1,한식,914
23,인생한우,서울 성동구 마장로31길 43-0,한식,901
24,백야드빌더성수점,서울 성동구 광나루로 152-0,카페/찻집,892
25,화로구이마장점,서울 성동구 마장로 315-0,한식,851
26,서울앵무새,서울 성동구 서울숲9길 3-0,카페/찻집,841
27,쎈느,서울 성동구 연무장5길 20-0,카페/찻집,835
28,커농,서울 성동구 살곶이길 346-0,카페/찻집,825
29,제일곱창본점,서울 성동구 고산자로 281-0,전문음식,822
30,스케줄성수,서울 성동구 아차산로 104-0,전문음식,818
31,훼미리손칼국수보쌈,서울 성동구 왕십리로 134-0,한식,794
32,채선당성수점,서울 성동구 왕십리로 38-0,전문음식,777
33,제스티살룬성수점,서울 성동구 서울숲4길 13-0,간이음식,770
34,마장동고기구이골목,서울 성동구,음식점기타,769
35,미분당신당점,서울 성동구 왕십리로 410-0,외국식,761
36,일일향성수점 [중식],서울 성동구 성수일로6길 47-0,외국식,757
37,땅코참숯구이본점,서울 성동구 행당로17길 26-0,한식,757
38,몽실이네토종한우,서울 성동구 마장로35길 70-0,한식,731
39,특우정,서울 성동구 무학로12길 13-0,한식,680
40,테니,서울 성동구 뚝섬로17가길 55-0,카페/찻집,659
41,원기옥,서울 성동구 아차산로17길 48-0,한식,655
42,성수다락,서울 성동구 뚝섬로9길 20-0,전문음식,653
43,일미락,서울 성동구 상원6나길 22-20,한식,653
44,꿉당성수점,서울 성동구 성수이로20길 10-0,한식,642
45,난포,서울 성동구 서울숲4길 18-8,한식,635
46,띵똥와플,서울 성동구 마조로1길 32-0,카페/찻집,618
47,오발탄서울숲점,서울 성동구 왕십리로 50-0,전문음식,587
48,밀도성수점,서울 성동구 왕십리로 96-0,간이음식,571
49,한스케익왕십리점,서울 성동구 왕십리로 390-0,간이음식,570
50,오늘회성수센터,서울 성동구 성수이로 149-0,전문음식,569
51,비사벌전주콩나물국밥,서울 성동구 왕십리로6길 1-2,한식,554
52,호호식당성수동점,서울 성동구 서울숲4길 25-0,외국식,543
53,전풍호텔라운지,서울 성동구 무학봉28길 7-0,전문음식,535
54,카나비스트릿,서울 성동구 왕십리로 136-0,카페/찻집,520
55,중앙감속기,서울 성동구 성수일로6길 7-1,외국식,515
56,더코너키친,서울 성동구 한림말3길 8-0,외국식,514
57,송계옥성수점,서울 성동구 아차산로11길 11-0,전문음식,504
58,오로라베이커리카페성수점,서울 성동구 아차산로 126-0,간이음식,497
59,조개창고왕십리점,서울 성동구 왕십리로 331-0,전문음식,495
60,차이나플레인서울숲점 [중식],서울 성동구 뚝섬로1길 25-0,외국식,491
61,빙봉까사,서울 성동구 독서당로 202-0,전문음식,483
62,문츠바베큐,서울 성동구 연무장5길 6-0,전문음식,481
63,메종파이프그라운드,서울 성동구 왕십리로 83-21,전문음식,481
64,아우프글렛금호점,서울 성동구 독서당로51길 7-0,카페/찻집,478
65,스트로베리32성수점,서울 성동구 왕십리로10길 9-31,간이음식,475
66,누데이크성수점,서울 성동구 성수이로7길 26-0,카페/찻집,467
67,무식당,서울 성동구 왕십리로10길 5-9,한식,467
68,스시도쿠,서울 성동구 왕십리광장로 6-0,외국식,454
69,카페온화성수점,서울 성동구 아차산로 78-0,카페/찻집,454
70,일일향왕십리점,서울 성동구 왕십리로 345-0,외국식,436
71,오우드성수1호점,서울 성동구 연무장길 101-1,카페/찻집,434
72,카멜커피성수점,서울 성동구 성덕정19길 6-0,카페/찻집,432
73,삼원옥수해천탕,서울 성동구 독서당로 160-0,한식,410
74,용답기사식당,서울 성동구 천호대로 352-13,한식,403
75,진작다이닝[일식],서울 성동구 왕십리로14나길 10-0,외국식,400
76,소안도풍경성수점,서울 성동구 아차산로 126-0,한식,395
77,마크69,서울 성동구 서울숲길 24-0,카페/찻집,393
78,성일정육식당,서울 성동구 아차산로3길 9-0,한식,392
79,훔볼트,서울 성동구 성수이로 58-0,카페/찻집,391
80,소리숲카페,서울 성동구 뚝섬로 47-7,카페/찻집,384
