순위,업소명,주소,분류,현지인 검색 수
1,청와옥올림픽공원점,서울 송파구 위례성대로 48-0,한식,10723
2,함경도찹쌀순대,서울 송파구 송파대로28길 32-0,한식,8932
3,봉피양방이점,서울 송파구 양재대로71길 1-4,한식,7473
4,청와옥석촌호수점,서울 송파구 삼학사로 96-0,한식,6282
5,골목떡볶이,서울 송파구 문정로1길 33-0,간이음식,6226
6,유천냉면본점,서울 송파구 강동대로3길 22-0,한식,5653
7,툇마루밥상[한식],서울 송파구 송파대로 111-0,한식,5625
8,군산오징어본점,서울 송파구 삼학사로 101-0,전문음식,5216
9,본가설렁탕,서울 송파구 석촌호수로 204-0,한식,5181
10,산들해송파점 [한식],서울 송파구 위례성대로 6-0,한식,4999
11,주은감자탕,서울 송파구 삼학사로 71-0,한식,4859
12,경복궁방이점 [한식],서울 송파구 올림픽로 348-0,한식,4701
13,오향가가락본점,서울 송파구 송이로 106-0,전문음식,4201
14,노티드잠실,서울 송파구 백제고분로45길 3-0,카페/찻집,4008
15,몽중헌방이점 [중식],서울 송파구 위례성대로 10-0,외국식,3834
16,몽중헌문정점,서울 송파구 새말로5길 31-0,외국식,3609
17,오발탄송파본점,서울 송파구 위례성대로 206-0,전문음식,3585
18,하츠베이커리,서울 송파구 중대로 210-0,간이음식,3502
19,황도바지락칼국수,서울 송파구 백제고분로 358-0,한식,3318
20,늘푸른목장잠실본점,서울 송파구 백제고분로9길 34-0,한식,3294
21,장털보설렁탕본점,서울 송파구 중대로 304-0,한식,3245
22,해주냉면,서울 송파구 백제고분로7길 8-16,한식,3195
23,버드나무집,서울 송파구 동남로 309-0,한식,3154
24,다운타우너잠실,서울 송파구 백제고분로45길 3-0,간이음식,3143
25,채선당플러스위례신도시점,서울 송파구 위례광장로 199-0,전문음식,3141
26,벽제갈비방이본점,서울 송파구 양재대로71길 1-4,한식,3131
27,산삼청각,서울 송파구 송이로 151-0,한식,3127
28,프로퍼커피바2호점,서울 송파구 오금로31가길 20-0,카페/찻집,2996
29,가락골마산아구찜,서울 송파구 송이로19길 3-0,한식,2857
30,프로퍼커피바,서울 송파구 위례성대로22길 6-0,카페/찻집,2842
31,돈까스의집,서울 송파구 삼전로 100-0,전문음식,2810
32,제주은희네해장국잠실직영점,서울 송파구 송파대로49길 10-0,한식,2792
33,이경진우렁쌈밥정식오금점,서울 송파구 중대로 310-0,한식,2699
34,명인밥상,서울 송파구 송이로 157-0,한식,2600
35,흥부골숯불돼지왕갈비,서울 송파구 백제고분로33길 35-0,한식,2562
36,일일향잠실점 [중식],서울 송파구 석촌호수로 290-0,외국식,2555
37,춘향골남원추어탕오금본점,서울 송파구 위례성대로22길 18-0,한식,2478
38,홈수끼방이점,서울 송파구 위례성대로 134-0,전문음식,2377
39,방이샤브샤브칼국수방이본점,서울 송파구 오금로31길 42-0,한식,2341
40,짬뽕지존송파점 [중식],서울 송파구 오금로 152-0,외국식,2316
41,놀부유황오리잠실점,서울 송파구 오금로 131-0,전문음식,2293
42,송쉐프[중식],서울 송파구 백제고분로 357-0,외국식,2284
43,밀파니,서울 송파구 위례서로 273-0,카페/찻집,2260
44,논현삼계탕송파점,서울 송파구 송이로 138-0,한식,2193
45,잠수교집3호점,서울 송파구 송파대로49길 51-0,한식,2180
46,오모리찌개잠실본점,서울 송파구 송파대로 471-0,한식,2168
47,소담촌가락시장직영점,서울 송파구 송파대로28길 13-0,한식,2159
48,등촌샤브칼국수방이본점,서울 송파구 올림픽로30길 10-0,한식,2103
49,취영루송파점 [중식],서울 송파구 송이로 162-0,외국식,2062
50,할머니추어탕잠실점,서울 송파구 석촌호수로 110-0,한식,2038
51,홍팥집오금점,서울 송파구 성내천로 77-0,카페/찻집,2037
