순위,업소명,주소,분류,현지인 검색 수
1,스타벅스신정DT점,서울 양천구 신월로 341-0,카페/찻집,7999
2,맥도날드양천구청DT점,서울 양천구 목동동로 71-0,간이음식,7466
3,맥도날드파리공원DT점,서울 양천구 목동서로 45-0,간이음식,6803
4,토다이U목동점,서울 양천구 목동동로 401-0,전문음식,5142
5,더아리엘목동점,서울 양천구 오목로 300-0,전문음식,4054
6,맥도날드신월DT점,서울 양천구 남부순환로 404-0,간이음식,4014
7,항아리보쌈,서울 양천구 신목로 48-0,전문음식,3759
8,스타벅스신월IC DT점,서울 양천구 남부순환로 430-0,카페/찻집,3531
9,원두막,서울 양천구 신목로 56-0,한식,3457
10,삿뽀로목동점,서울 양천구 목동동로 189-0,외국식,3312
11,푸주옥,서울 양천구 남부순환로 663-0,한식,3036
12,경복궁목동점,서울 양천구 목동동로 189-0,한식,2941
13,착한낙지목동점,서울 양천구 국회대로 289-0,전문음식,2810
14,맥도날드신월남부DT점,서울 양천구 남부순환로 553-0,간이음식,2576
15,스타벅스목동8단지점,서울 양천구 목동서로 299-0,카페/찻집,2411
16,서가앤쿡서울목동점,서울 양천구 오목로 286-0,전문음식,2263
17,나폴레옹과자점목동점,서울 양천구 목동동로 401-0,간이음식,2258
18,아웃백스테이크하우스목동점,서울 양천구 목동동로 293-0,전문음식,2146
19,파리바게뜨신월사거리점,서울 양천구 남부순환로 358-0,간이음식,2021
20,VIPS프리미어목동41타워점,서울 양천구 목동동로 293-0,전문음식,1942
21,양천옥설렁탕,서울 양천구 등촌로 86-0,한식,1923
22,양천뼈다귀,서울 양천구 목동동로 258-0,한식,1905
23,브런치빈목동점,서울 양천구 목동동로 233-3,전문음식,1802
24,이조면옥,서울 양천구 신목로 88-0,한식,1640
25,대가,서울 양천구 신정중앙로 66-0,한식,1626
26,매드포갈릭목동점,서울 양천구 목동동로 233-3,전문음식,1605
27,젠틀한식탁목동점,서울 양천구 목동동로14길 6-1,외국식,1504
28,억조1978,서울 양천구 목동동로10길 24-0,한식,1465
29,락희안목동직영점 [중식],서울 양천구 오목로 330-0,외국식,1439
30,황금오리농장,서울 양천구 국회대로 176-0,전문음식,1438
31,비엔나커피하우스목동7단지점,서울 양천구 목동서로 211-0,카페/찻집,1402
32,락앤웍목동점 [중식],서울 양천구 목동동로 233-3,외국식,1364
33,마실목동점 [한식],서울 양천구 목동동로 55-0,한식,1342
34,포코아,서울 양천구 목동중앙북로24길 23-13,전문음식,1319
35,망향비빔국수양천점,서울 양천구 신월로 344-0,한식,1309
36,살구나무집칼국수,서울 양천구 중앙로32길 35-0,한식,1308
37,맥도날드목동점,서울 양천구 목동로 221-0,간이음식,1302
38,스타벅스목동10단지점,서울 양천구 목동서로 401-0,카페/찻집,1300
39,스타벅스오목교역점,서울 양천구 오목로 354-0,카페/찻집,1282
40,색동저고리[한식],서울 양천구 목동동로 411-0,한식,1242
41,봉피양신월점,서울 양천구 신월로 112-0,한식,1224
42,도미노피자양천점,서울 양천구 신월로 371-0,간이음식,1180
43,신선설농탕목동점,서울 양천구 목동서로 349-0,한식,1173
44,스타벅스신월동DT점,서울 양천구 남부순환로 319-0,카페/찻집,1156
45,맥도날드양천구청점,서울 양천구 목동동로 71-0,간이음식,1155
46,스타벅스목동파리공원점,서울 양천구 목동동로 377-0,카페/찻집,1143
47,금화왕돈까스신월점,서울 양천구 화곡로 91-0,전문음식,1091
48,원조양평신내서울해장국양천직영점,서울 양천구 공항대로 646-0,한식,1083
49,할머니추어탕,서울 양천구 가로공원로 146-0,한식,1062
50,창고43목동점,서울 양천구 목동서로 159-1,한식,1037
51,봉스시,서울 양천구 은행정로7길 25-0,외국식,989
52,투썸플레이스목동하이페리온점,서울 양천구 오목로 300-0,카페/찻집,981
53,만복순대국,서울 양천구 목동로 219-0,한식,980
54,파리바게뜨신목동역점,서울 양천구 목동서로2길 22-0,간이음식,979
55,닥터로빈목동점,서울 양천구 오목로 299-0,외국식,962
56,한스목동점,서울 양천구 오목로 287-0,간이음식,950
57,버거킹신월점,서울 양천구 화곡로 64-0,간이음식,946
58,히노야마목동점,서울 양천구 목동서로 349-0,외국식,944
59,제주은희네해장국양천목동점,서울 양천구 오목로 321-1,한식,923
60,파리크라상목동점,서울 양천구 목동동로 293-0,간이음식,920
61,밥초[일식],서울 양천구 오목로48길 10-0,외국식,906
62,금성수제돈까스,서울 양천구 신목로5길 3-0,전문음식,899
63,동호철판낙지,서울 양천구 신월로15길 12-0,전문음식,897
64,투썸플레이스신월IC DI점,서울 양천구 남부순환로 424-0,카페/찻집,879
65,현경목동점 [중식],서울 양천구 오목로 312-0,외국식,870
65,금석궁[중식],서울 양천구 오목로48길 19-0,외국식,870
67,옛날마차,서울 양천구 신정중앙로 84-0,전문음식,831
68,BHC목동역점,서울 양천구 오목로 215-1,간이음식,819
69,파티세리소나2호점,서울 양천구 신목로12길 8-0,간이음식,814
70,숲속도토리마을,서울 양천구 중앙로25길 46-0,한식,804
71,애슐리퀸즈목동행복한백화점점,서울 양천구 목동동로 309-0,전문음식,798
72,카페멍,서울 양천구 오목로 337-10,카페/찻집,796
73,마루샤브목동점,서울 양천구 목동동로 339-0,전문음식,785
74,오목집목동본점,서울 양천구 목동서로 155-0,전문음식,777
75,크리스피크림도넛오목교점,서울 양천구 오목로 300-0,간이음식,769
76,대합탕수제비포장마차,서울 양천구 목동동로 350-0,한식,768
77,초애삼계탕,서울 양천구 남부순환로 605-0,한식,752
78,제이브라운목동점,서울 양천구 오목로 354-0,전문음식,747
79,마장동김씨신정네거리역점,서울 양천구 중앙로34길 17-0,한식,738
80,스타벅스목동점,서울 양천구 목동서로 67-0,카페/찻집,722
81,소담촌신월점,서울 양천구 신월로 155-0,전문음식,718
82,롯데리아신곡시장점,서울 양천구 신월로 177-0,간이음식,716
83,소플러스신월점,서울 양천구 화곡로 64-0,한식,712
83,한마음정육식당목동점,서울 양천구 신목로 48-0,한식,712
85,가랑누룽지삼계탕,서울 양천구 목동동로14길 5-0,한식,711
86,좋은아침목동점,서울 양천구 목동동로8길 17-0,간이음식,709
87,할리스목동예술인회관점,서울 양천구 목동서로 225-0,카페/찻집,701
88,서귀포화로구이신정점,서울 양천구 신월로 347-0,한식,688
89,부산돼지국밥신월점,서울 양천구 남부순환로 344-0,한식,687
90,일미락,서울 양천구 목동동로 226-16,한식,681
91,파티세리 소나,서울 양천구 오목로34길 4-0,한식,677
92,명륜진사갈비신정 네거리점,서울 양천구 중앙로 222-0,한식,676
93,진대감목동점,서울 양천구 오목로 337-10,한식,651
93,명가들깨칼국수,서울 양천구 은행정로 12-0,한식,651
95,은행골목동점,서울 양천구 목동서로 155-0,외국식,649
96,백년초칼국수,서울 양천구 목동중앙로 45-0,한식,638
97,스타벅스목동5단지점,서울 양천구 목동동로 411-0,카페/찻집,629
98,먹자대게,서울 양천구 목동서로 213-0,전문음식,613
99,피자헛목동중앙점,서울 양천구 목동동로 411-0,간이음식,609
100,팔각도목동본점,서울 양천구 목동동로 266-1,전문음식,578
