순위,업소명,주소,분류,현지인 검색 수
1,돈까스잔치동빙고점,서울 용산구 서빙고로 297-0,전문음식,5527
2,패션5,서울 용산구 이태원로 272-0,카페/찻집,5048
3,빽다방용산국방부점,서울 용산구 이태원로4길 14-0,카페/찻집,4109
4,고메이494한남,서울 용산구 한남대로 91-0,전문음식,3694
5,코끼리베이글한남점,서울 용산구 서빙고로91길 10-0,간이음식,2995
6,봉피양용산점,서울 용산구 한강대로40길 31-0,한식,2555
7,이촌동면옥이촌직영점,서울 용산구 이촌로54길 17-0,한식,2384
8,문배동육칼,서울 용산구 백범로90길 50-0,한식,2265
9,현대본가,서울 용산구 이태원로4길 24-0,한식,2125
10,오근내2닭갈비,서울 용산구 한강대로11길 13-0,전문음식,2073
11,남영돈,서울 용산구 한강대로80길 17-0,한식,2008
12,명동교자이태원점,서울 용산구 녹사평대로 136-0,한식,1987
13,스타벅스동빙고점,서울 용산구 장문로 12-0,카페/찻집,1942
14,쥬에,서울 용산구 독서당로 124-7,외국식,1938
15,한방통닭,서울 용산구 대사관로34길 38-0,간이음식,1869
16,현선이네용산본점,서울 용산구 한강대로39길 2-13,간이음식,1868
17,맥도날드이태원점,서울 용산구 이태원로 142-1,간이음식,1839
18,챔프커피2작업실,서울 용산구 녹사평대로26가길 24-0,카페/찻집,1738
19,평양집,서울 용산구 한강대로 186-0,한식,1652
20,몽탄,서울 용산구 백범로99길 50-0,한식,1625
21,오아시스한남점,서울 용산구 이태원로45길 30-0,카페/찻집,1575
22,종점숯불갈비,서울 용산구 장문로 112-0,한식,1565
23,메종 한남,서울 용산구 유엔빌리지3길 24-0,전문음식,1537
24,용문해장국,서울 용산구 효창원로 110-0,한식,1447
25,차이옌[중식],서울 용산구 이촌로88길 8-0,외국식,1393
26,현대카드뮤직라이브러리,서울 용산구 이태원로 246-0,카페/찻집,1345
27,단박왕돈까스,서울 용산구 백범로90길 74-0,전문음식,1325
28,단비,서울 용산구 한남대로20길 21-12,한식,1221
29,파리크라상한남점,서울 용산구 독서당로 78-0,간이음식,1213
30,한남북엇국,서울 용산구 독서당로 65-7,한식,1187
31,폴바셋한남커피스테이션점,서울 용산구 한남대로 48-0,카페/찻집,1184
32,스타벅스용산리첸시아점,서울 용산구 백범로 341-0,카페/찻집,1174
