순위,업소명,주소,분류,현지인 검색 수
1,쭈꾸미킹2.0상봉점,서울 중랑구 송림길 13-0,전문음식,2348
2,용마해장국,서울 중랑구 용마공원로5길 20-0,한식,2067
3,착한낙지신내점,서울 중랑구 용마산로125길 108-19,전문음식,1908
4,카페브릭,서울 중랑구 신내역로1길 127-11,카페/찻집,1880
5,홍이네분식,서울 중랑구 망우로73길 26-0,간이음식,1823
6,이학갈비,서울 중랑구 면목로 310-0,한식,1663
7,카페252,서울 중랑구 망우로 252-0,전문음식,1518
8,파크더블유,서울 중랑구 양원역로16길 103-111,카페/찻집,1435
9,양지촌,서울 중랑구 망우로 184-0,한식,1270
10,이화김치찌개,서울 중랑구 중랑천로 188-0,한식,1136
11,소담촌상봉점,서울 중랑구 망우로 328-0,한식,1121
12,채선당신내점,서울 중랑구 용마산로 623-0,전문음식,1106
13,박가네뼈다귀감자탕본점,서울 중랑구 망우로 193-0,한식,1083
14,태능가든,서울 중랑구 신내로14길 13-0,한식,1054
15,망우찜쌈밥본점,서울 중랑구 용마공원로2길 8-0,한식,1038
16,노고단칼국수,서울 중랑구 봉화산로56길 1-0,한식,995
17,농부보쌈,서울 중랑구 용마산로 389-0,전문음식,991
18,한동길뼈다귀감자탕신내본점,서울 중랑구 신내로 225-0,한식,919
19,흥부골숯불돼지왕갈비,서울 중랑구 면목로 341-0,한식,878
20,한촌설렁탕면목용마점,서울 중랑구 상봉로 39-0,한식,870
21,동강오리,서울 중랑구 용마산로115길 10-0,전문음식,845
22,신성묵과자점,서울 중랑구 겸재로 113-0,간이음식,823
23,찜집본점,서울 중랑구 면목로 287-0,한식,803
24,태능배밭갈비,서울 중랑구 동일로143길 30-0,한식,773
25,신선한우촌,서울 중랑구 용마산로 707-0,한식,755
26,어글리스토브상봉점,서울 중랑구 상봉로 131-0,전문음식,721
27,먹고을전주콩나물국밥묵동본점,서울 중랑구 중랑역로 268-0,한식,715
28,울타리곱창,서울 중랑구 중랑역로 20-0,전문음식,711
29,빵명장신내점,서울 중랑구 봉화산로 227-0,간이음식,710
30,태릉설렁탕본점,서울 중랑구 공릉로 65-0,한식,689
31,맑은샘,서울 중랑구 용마산로99길 13-0,간이음식,680
32,BBQ면목중앙점,서울 중랑구 면목로39길 59-0,간이음식,632
33,면동떡볶기,서울 중랑구 면목로57길 33-0,간이음식,631
34,하늘정원더파티중랑점,서울 중랑구 숙선옹주로 6-9,전문음식,586
35,할매복집,서울 중랑구 공릉로 82-0,전문음식,550
36,오늘그릴,서울 중랑구 봉화산로54길 5-0,한식,547
37,추오정남원추어탕,서울 중랑구 용마산로125길 108-7,한식,534
38,한도니신내점,서울 중랑구 봉화산로54길 32-0,한식,525
39,갈팡즙팡,서울 중랑구 면목로85길 48-8,카페/찻집,524
40,곽만근갈비탕상봉점,서울 중랑구 봉우재로 117-0,한식,484
41,미스터아구신내점,서울 중랑구 봉화산로 250-0,한식,465
42,이주소곱창,서울 중랑구 봉우재로33길 34-0,전문음식,464
43,본가장수촌중랑점,서울 중랑구 용마공원로3길 14-9,한식,462
44,대관령쌈밥,서울 중랑구 용마산로115길 15-0,한식,457
45,크리스탈,서울 중랑구 봉우재로70길 93-0,간이음식,447
46,꿀삼겹,서울 중랑구 봉우재로 139-0,한식,432
47,스시혼,서울 중랑구 신내로 50-0,외국식,432
48,함평국밥,서울 중랑구 봉우재로33길 73-0,한식,424
49,벌교계절맛집,서울 중랑구 용마산로 713-0,한식,410
50,한우생등심태명,서울 중랑구 공릉로12가길 20-0,한식,407
51,모이카페,서울 중랑구 용마산로125길 108-17,카페/찻집,380
52,통큰소무한리필상봉직영점,서울 중랑구 망우로 316-0,한식,376
53,금화왕돈까스용마산역점,서울 중랑구 용마산로 248-0,전문음식,366
54,채선당묵동점,서울 중랑구 동일로 942-0,전문음식,365
55,남한강물고기,서울 중랑구 동일로114길 43-0,전문음식,356
56,홍어천국,서울 중랑구 면목로 421-0,전문음식,345
57,금용각[중식],서울 중랑구 동일로 927-0,외국식,342
58,개인공간,서울 중랑구 송림길 12-0,카페/찻집,326
59,미락한정식,서울 중랑구 봉우재로 27-0,한식,322
60,장어세상,서울 중랑구 용마산로129길 4-0,전문음식,319
61,상봉갈비,서울 중랑구 봉우재로 111-0,한식,318
62,섬진강오리,서울 중랑구 용마산로116길 6-0,전문음식,306
63,여봉닭발,서울 중랑구 망우로30길 40-0,전문음식,301
64,호강불백,서울 중랑구 신내역로3길 40-36,한식,300
