순위,업소명,주소,분류,현지인 검색 수
1,조양방직,인천 강화군 향나무길5번길 12-0,카페/찻집,12455
2,맛을담은강된장,인천 강화군 해안남로 1164-0,한식,2772
3,금문도[중식],인천 강화군 중앙로 43-0,외국식,2502
4,쌈밥이네,인천 강화군 해안남로 2674-0,한식,2210
5,꼬막한상,인천 강화군 해안남로 334-0,전문음식,2124
6,토크라피,인천 강화군 해안남로1691번길 43-12,카페/찻집,2119
7,스페인마을,인천 강화군 해안남로 2677-21,카페/찻집,1980
8,강화손칼국수본점,인천 강화군 강화남로 678-0,한식,1849
9,흥부골,인천 강화군 중앙로874번길 1-0,한식,1809
10,마니산산채,인천 강화군 해안남로 1182-0,한식,1771
11,마호가니강화점,인천 강화군 해안남로1844번길 19-0,카페/찻집,1652
12,한옥카페갤러리도솔,인천 강화군 길상로210번길 52-71,카페/찻집,1579
13,케이131,인천 강화군 해안남로1691번길 43-8,카페/찻집,1521
14,일오삼간장게장,인천 강화군 중앙로1052번길 16-0,전문음식,1413
15,진복호강화도,인천 강화군 해안남로 488-0,전문음식,1388
16,마니산짜장[중식],인천 강화군 가능포로 221-0,외국식,1350
17,그린홀리데이,인천 강화군 해안남로 814-0,카페/찻집,1241
18,충남서산집,인천 강화군 중앙로 1198-0,전문음식,1222
19,농가의식탁,인천 강화군 해안동로 1037-8,한식,1147
20,멍때림,인천 강화군 해안남로 1970-34,카페/찻집,1136
21,다루지,인천 강화군 마니산로 254-36,카페/찻집,1132
22,홍종흔베이커리강화점,인천 강화군 해안남로 392-0,간이음식,1104
23,도레도레강화점,인천 강화군 해안남로1844번길 19-0,카페/찻집,1085
24,서문김밥,인천 강화군 강화대로430번길 2-1,간이음식,1011
25,신송당,인천 강화군 어류정길212번길 7-4,카페/찻집,1007
26,버거히어로,인천 강화군 해안남로 2714-0,간이음식,1006
27,강화섬쌀밥집,인천 강화군 해안남로 17-0,한식,1005
28,서령,인천 강화군 보리고개로 96-0,한식,997
29,칼국수맛있는집본점,인천 강화군 마니산로 569-1,한식,995
30,매화마름,인천 강화군 길상로25번길 28-0,카페/찻집,989
31,학생분식,인천 강화군 온수길 17-2,한식,965
32,수라전통육개장강화본점,인천 강화군 강화대로403번길 14-0,한식,917
33,강만장,인천 강화군 대룡안길54번길 24-0,카페/찻집,898
34,토가,인천 강화군 해안남로 1912-0,한식,889
35,먹골촌,인천 강화군 해안남로 1147-0,한식,882
36,드리우니,인천 강화군 마니산로 106-1,카페/찻집,880
37,편가네된장,인천 강화군 가능포로89번길 11-0,한식,829
38,숲길따라,인천 강화군 해안남로 309-12,카페/찻집,828
39,카페이림,인천 강화군 길상로210번길 24-0,카페/찻집,818
40,보광호1호점,인천 강화군 해안남로619번길 24-0,전문음식,779
41,강화도맛집숯불생선구이,인천 강화군 해안동로 14-6,한식,765
42,배터지는집,인천 강화군 해안남로 1279-0,한식,753
43,충남서산집,인천 강화군 중앙로 911-0,한식,752
44,솔향기,인천 강화군 장정양오길 147-0,한식,746
45,더라두,인천 강화군 해안동로 112-12,카페/찻집,740
46,카페109하우스,인천 강화군 해안서로 540-0,카페/찻집,740
47,카페라르고,인천 강화군 해안남로2845번길 25-0,카페/찻집,738
48,해명산두부촌,인천 강화군 삼산남로 400-10,전문음식,734
49,일년내내칼국수맛있는집,인천 강화군 해안남로 1421-0,한식,734
50,외포리꽃게집,인천 강화군 중앙로 1206-0,한식,733
51,우트우트,인천 강화군 마니산로 12-0,카페/찻집,729
52,정원식탁,인천 강화군 해안남로 309-0,한식,678
53,봄날의정원한식당,인천 강화군 선원사지로 67-0,한식,677
54,나룻터꽃게집,인천 강화군 중앙로 1270-0,전문음식,669
55,꽃게옥강화직영점,인천 강화군 해안동로 126-18,전문음식,645
56,춘하추동,인천 강화군 삼산남로 823-0,한식,629
57,도란도란,인천 강화군 고비고개로 248-18,한식,619
58,강화섬약쑥한우,인천 강화군 선원사지로 32-0,한식,617
59,2번창고,인천 강화군 강화동로 680-0,카페/찻집,613
60,서울횟집,인천 강화군 해안서로 917-2,전문음식,612
61,강화수라정[한식],인천 강화군 중앙로 417-0,한식,598
62,마레616,인천 강화군 해안동로 96-29,카페/찻집,597
63,바다보다,인천 강화군 해안남로 116-0,카페/찻집,591
64,바그다드카페,인천 강화군 연동로99번길 73-0,카페/찻집,576
65,이유가,인천 강화군 시리미로42번길 62-34,한식,566
66,강나루숯불장어,인천 강화군 해안남로 92-6,전문음식,564
67,개성손만두강화점,인천 강화군 강화동로 1004-0,한식,544
68,선창집,인천 강화군 해안동로 1199-0,전문음식,541
69,왕자정묵밥,인천 강화군 북문길 55-0,한식,538
70,슬로우레인,인천 강화군 해안동로341번길 98-3,카페/찻집,533
71,산당,인천 강화군 해안서로 987-0,한식,530
72,강화도무스비,인천 강화군 해안남로1170번길 10-2,카페/찻집,521
73,산토리니카페,인천 강화군 해안서로 524-0,카페/찻집,521
74,아매네,인천 강화군 해안남로 471-0,카페/찻집,513
75,황금코다리강화점,인천 강화군 해안남로 306-0,한식,512
76,보스턴수제버거동막점,인천 강화군 해안남로 1538-1,간이음식,507
77,옛날주막집설렁탕,인천 강화군 해안남로 77-3,한식,503
78,엠씨,인천 강화군 강화대로 701-0,카페/찻집,493
79,지중해식당,인천 강화군 삼산남로 438-0,전문음식,472
