순위,업소명,주소,분류,현지인 검색 수
1,벌말매운탕본점,인천 계양구 벌말로565번길 5-0,한식,14474
2,이학갈비계산본점,인천 계양구 계산새로 1-0,한식,6019
3,명장시대인천점,인천 계양구 역골로43번길 50-0,카페/찻집,5738
4,벌말기사부페본점 [한식],인천 계양구 벌말로573번길 3-1,한식,4475
5,유진참치,인천 계양구 아나지로 466-0,전문음식,4259
6,가든파티계양점,인천 계양구 경명대로 977-0,한식,3267
7,한상민과자점,인천 계양구 효서로 385-0,간이음식,2958
8,해가연,인천 계양구 장제로 1420-17,한식,2925
9,누룩골계양점,인천 계양구 경명대로 954-0,한식,2708
10,훈장골계양점,인천 계양구 오조산로 15-0,한식,2644
11,계양칼국수,인천 계양구 살라리로2번길 15-0,한식,2336
12,풍천민물장어 이억집,인천 계양구 장제로 1070-0,전문음식,2280
13,장기리추어탕,인천 계양구 장기로2번길 5-0,한식,2222
14,고메돈까스,인천 계양구 서부간선로 257-0,전문음식,2197
15,전민규의황제누룽지탕계양점,인천 계양구 오조산로45번길 11-1,한식,1994
16,고구려짬뽕집10101인천계양점 [중식],인천 계양구 벌말로551번길 1-0,외국식,1975
17,소담한정식[한식],인천 계양구 경명대로1373번길 8-0,한식,1876
18,경복궁계산점,인천 계양구 도두리로 31-1,한식,1811
19,소담촌계양구청점,인천 계양구 계양문화로 54-0,전문음식,1788
20,통큰손쭈꾸미마을계산본점,인천 계양구 계산로 144-0,전문음식,1680
21,벌말기사뷔페식당,인천 계양구 수소길 103-0,전문음식,1643
22,금문도[중식],인천 계양구 효서로 268-0,외국식,1635
23,로즈스텔라정원,인천 계양구 다남로143번길 12-0,카페/찻집,1599
24,요거프레소효성2번종점점,인천 계양구 안남로 571-0,카페/찻집,1582
25,삿뽀로계산점,인천 계양구 도두리로 31-0,외국식,1580
26,물꽁오리,인천 계양구 계산천동로 51-0,전문음식,1522
27,홍장표동해막국수,인천 계양구 학고개길 15-29,한식,1470
28,등촌샤브칼국수계양점,인천 계양구 오조산로45번길 8-1,전문음식,1413
29,향원정,인천 계양구 장제로 1362-0,한식,1374
30,개떼놀이터인천점,인천 계양구 다남로 278-0,카페/찻집,1334
31,신선설농탕작전점,인천 계양구 계양대로 63-0,한식,1299
32,청산별곡계양점 [한식],인천 계양구 장제로 768-0,한식,1274
33,박촌갈비,인천 계양구 장제로 1038-0,한식,1259
34,어리버리소머리국밥,인천 계양구 계산새로65번길 13-0,한식,1250
35,수피아,인천 계양구 정서진로 1247-0,카페/찻집,1229
36,망향비빔국수계양점,인천 계양구 경명대로 1102-1,한식,1156
37,모모아트,인천 계양구 역골로43번길 33-0,카페/찻집,1145
38,경복궁불고기계산점,인천 계양구 오조산로 17-0,한식,1077
39,고양이똥4,인천 계양구 다남로85번길 29-0,카페/찻집,1042
40,갤러리더네이처(휴업 중),인천 계양구 아라로 455-0,카페/찻집,1016
41,금바위감자탕,인천 계양구 장제로 741-0,한식,1010
42,박촌칼국수,인천 계양구 서부간선로 272-0,한식,964
43,라라코스트계양점,인천 계양구 장제로 768-0,전문음식,954
44,호남해장국,인천 계양구 벌말로 541-1,한식,934
45,금강산흑염소전문점,인천 계양구 경명대로 942-0,한식,900
46,화소가,인천 계양구 경명대로957번길 6-0,카페/찻집,855
47,인동잔치국수,인천 계양구 효서로 31-1,간이음식,852
48,노란대문집,인천 계양구 목상길 95-0,한식,834
49,바로족발,인천 계양구 주부토로 545-0,전문음식,814
50,하야로비,인천 계양구 역골로43번길 15-0,한식,789
51,함흥갈비,인천 계양구 서부간선로 262-0,한식,781
52,파인트리하우스,인천 계양구 아라로 243-0,카페/찻집,753
53,부부순대국,인천 계양구 까치말로 16-0,한식,753
54,황금곱창본점,인천 계양구 아나지로 185-0,전문음식,744
55,우리동네맛코다리,인천 계양구 계산새로19번길 4-0,한식,725
56,홍익돈까스계양점,인천 계양구 효서로 230-0,전문음식,713
57,밀밭길,인천 계양구 용마루1길 11-0,한식,704
58,길손농장,인천 계양구 목상길 61-0,한식,702
59,위드티쳐,인천 계양구 성안길 2-0,카페/찻집,698
60,세종병원장례식장식당,인천 계양구 계양문화로 20-0,한식,689
61,서해사랑본점,인천 계양구 새벌로 120-0,한식,686
62,채선당M인천작전역점,인천 계양구 계양대로 58-1,전문음식,679
63,착한낙지인천계양점,인천 계양구 경명대로 984-0,전문음식,677
64,하이테이블계산본점,인천 계양구 도두리로 14-0,카페/찻집,676
65,원조쌈밥집계양구청점,인천 계양구 계양문화로53번길 12-0,한식,674
66,신교령사골순대국본점,인천 계양구 벌말로 608-0,한식,658
67,다남식당,인천 계양구 역골로 142-0,한식,654
68,왕짬뽕,인천 계양구 당미1길 28-0,외국식,622
69,계양명가부대찌개,인천 계양구 계산새로 85-0,전문음식,617
70,어다리횟집계산점,인천 계양구 장제로756번길 5-0,전문음식,601
71,대관령황태해장국,인천 계양구 벌말로601번길 1-0,한식,588
72,복많네해물칼국수부평계양계산동직영점,인천 계양구 계양문화로53번길 13-0,한식,586
73,다남818카페,인천 계양구 역골로119번길 14-0,카페/찻집,577
74,해촌,인천 계양구 용마루길 8-0,한식,575
75,천주채관[중식],인천 계양구 도두리로 33-0,외국식,551
76,오봉집계산점,인천 계양구 계양문화로53번길 4-0,한식,535
77,24시경희궁,인천 계양구 아나지로 138-0,한식,515
78,착한낙지인천박촌점,인천 계양구 장제로 983-0,전문음식,512
79,김태승한우전문점식당,인천 계양구,한식,510
80,설빙인천계양구청점,인천 계양구 계양문화로 86-0,카페/찻집,498
81,스테이바이,인천 계양구 다남로143번길 11-0,카페/찻집,494
82,짬뽕에미치다[중식],인천 계양구 당미2길 6-0,외국식,493
