순위,업소명,주소,분류,현지인 검색 수
1,공단떡볶이,인천 남동구 남동서로 226-0,간이음식,14663
2,장수가든,인천 남동구 수현로14번길 13-7,한식,12632
3,맥도날드만수DT점,인천 남동구 백범로 229-0,간이음식,12497
4,쿠우쿠우인천구월점,인천 남동구 선수촌공원로 1-0,전문음식,9608
5,맥도날드구월아시아드DT점,인천 남동구 남동대로 724-0,간이음식,7248
6,수림공원가든,인천 남동구 주안로 269-0,한식,7159
7,스타벅스간석중앙공원DT점,인천 남동구 경인로 563-0,카페/찻집,6129
8,무지락설렁탕,인천 남동구 논현고잔로 166-0,한식,5345
9,맥도날드구월DT점,인천 남동구 인주대로 514-0,간이음식,5277
10,스타벅스인천논현점,인천 남동구 논고개로 93-0,카페/찻집,5259
11,이당비스트로,인천 남동구 배려터로 9-0,전문음식,5093
12,훈장골서창점,인천 남동구 서창남순환로215번길 17-0,한식,4601
13,복사꽃피는집인천점,인천 남동구 호구포로 595-24,한식,4542
14,안스베이커리구월본점,인천 남동구 인주대로 664-0,간이음식,4492
15,늘솜당,인천 남동구 논고개로 213-2,간이음식,4314
16,아웃백스테이크하우스인천구월점,인천 남동구 인주대로 582-0,전문음식,4299
17,스타벅스인천서창점,인천 남동구 서창남로 51-0,카페/찻집,4275
18,송도갈매기논현점,인천 남동구 논현로26번길 40-15,한식,4268
19,훈장골논현점,인천 남동구 논현로 16-0,한식,3933
20,송추가마골인천구월점,인천 남동구 인주대로 544-0,한식,3863
21,곰설채설렁탕,인천 남동구 인주대로 625-0,한식,3847
22,스타벅스인천간석DT점,인천 남동구 경원대로 974-0,카페/찻집,3817
23,육대장본점,인천 남동구 비류대로 783-0,한식,3682
24,VIPS예술회관역점,인천 남동구 인주대로 556-0,전문음식,3538
25,경복궁구월점 [한식],인천 남동구 인주대로 593-0,한식,3508
26,더노벰버라운지인천구월동점,인천 남동구 인주대로 548-0,카페/찻집,3484
27,영월애곤드레인천본점 [한식],인천 남동구 매소홀로 864-0,한식,3444
28,쿠우쿠우인천논현점,인천 남동구 논고개로 101-0,전문음식,3415
29,옹기꽃게장,인천 남동구 도림북로16번길 31-0,전문음식,3382
30,소플러스논현점,인천 남동구 청능대로 552-0,한식,3313
31,버거킹인천구월아시아드SK점,인천 남동구 호구포로 725-0,간이음식,3236
32,마크로스터스,인천 남동구 오봉동로10번길 35-0,카페/찻집,3196
33,홍익돈까스인천미추홀점,인천 남동구 덕골로 2-0,전문음식,3080
34,배터지는게장,인천 남동구 수현로 27-0,전문음식,3059
35,금메달추어탕,인천 남동구 연락골로 28-0,한식,2905
36,가리비칼국수,인천 남동구 오봉동로4번길 9-0,한식,2834
37,개성손만두요리전문점논현점,인천 남동구 은봉로419번길 27-0,한식,2757
38,스타벅스인천구월아시아드점,인천 남동구 인하로 556-0,카페/찻집,2686
39,온더그린,인천 남동구 능골로 11-2,카페/찻집,2658
40,아트랑샤브&구이월남쌈,인천 남동구 구월남로 151-0,전문음식,2628
41,부암갈비,인천 남동구 용천로 149-0,한식,2536
42,청수옥구월점,인천 남동구 매소홀로 778-0,한식,2518
43,스타벅스부평삼거리역DT점,인천 남동구 경인로 750-0,카페/찻집,2506
44,곤드레밥집,인천 남동구 인주대로626번길 6-0,한식,2504
45,라노비아카페,인천 남동구 남동대로 465-0,카페/찻집,2439
46,초심본점,인천 남동구 하촌로 63-0,한식,2360
47,화로구이구월점,인천 남동구 인주대로 520-0,한식,2308
48,천지연소래포구역점,인천 남동구 소래역남로16번길 75-0,한식,2304
49,상무초밥인천구월점,인천 남동구 인주대로 606-0,외국식,2273
50,노란우체통,인천 남동구 만의골로195번길 60-0,카페/찻집,2228
51,통큰해물손칼국수소래포구본점,인천 남동구 소래역남로 10-0,한식,2219
52,화룽구월점,인천 남동구 인주대로591번길 71-0,한식,2213
53,이화찹쌀순대,인천 남동구 장승로 88-0,한식,2179
54,티쏘커피,인천 남동구 호구포로 595-14,카페/찻집,2172
55,이우철한방누룽지삼계탕도림점,인천 남동구 도림북로 54-0,한식,2154
56,초원에서,인천 남동구 만의골로 204-0,전문음식,2124
57,남촌회관,인천 남동구 찬우물로 9-4,카페/찻집,2076
58,명동보리밥,인천 남동구 예술로 220-0,전문음식,2057
59,소담촌인천서창점,인천 남동구 서창남순환로216번길 12-0,전문음식,2044
60,버거킹인천서창SK점,인천 남동구 서창방산로 112-0,간이음식,1980
61,신포동진순대국,인천 남동구 하촌로 67-0,한식,1892
