순위,업소명,주소,분류,현지인 검색 수
1,소플러스송림점,인천 동구 염전로40번길 85-0,한식,639
2,해장국집,인천 동구 동산로87번길 6-0,한식,534
3,송림기사식당,인천 동구 새천년로 28-0,한식,509
4,벌교꼬막정식1968본점,인천 동구 제물량로 424-0,전문음식,493
5,창영떡집,인천 동구 우각로 82-0,간이음식,452
6,앤드아워,인천 동구 수문통로 27-0,카페/찻집,448
7,수문통짬뽕[중식],인천 동구 수문통로 41-0,외국식,363
8,명가순대,인천 동구 화수로 18-0,한식,303
9,사리원냉면,인천 동구 수문통로 62-0,한식,273
10,문화반점[중식],인천 동구 금곡로 29-0,외국식,266
11,황허장[중식],인천 동구 동산로 28-0,외국식,260
12,진천토종순대,인천 동구 동산로 26-0,한식,232
13,현대물텀벙,인천 동구 샛골로 140-0,한식,219
14,횡성소머리국밥,인천 동구 봉수대로8번길 13-4,한식,208
15,벽란식당,인천 동구 화도진로 102-4,전문음식,195
16,삼대인천게장본점,인천 동구 금곡로81번길 22-0,전문음식,169
17,우순임원조할머니쭈꾸미,인천 동구 제물량로 342-0,전문음식,165
18,동그라미치킨식당,인천 동구 송림로137번길 9-0,간이음식,157
19,레이지커피클럽,인천 동구 석수로 97-0,카페/찻집,149
20,송미옥,인천 동구 화도진로5번길 11-3,전문음식,147
21,갯마을셀프회,인천 동구 송화로42번길 18-0,전문음식,131
22,일미화평동냉면,인천 동구 화평로 18-0,한식,113
23,다겐닭스송현점,인천 동구 수문통로 45-1,간이음식,112
24,육봉달333송림점,인천 동구 송림로 122-0,한식,107
25,힘찬장어,인천 동구 새천년로 97-0,전문음식,105
26,샛골설렁탕,인천 동구 금곡로82번길 12-0,한식,99
27,원조할머니냉면,인천 동구 화평로 24-2,한식,94
28,짬뽕타임송림점 [중식],인천 동구 송미로 11-14,외국식,94
29,화수부두회센터대인8호,인천 동구 화수부두로 28-0,전문음식,86
30,배스킨라빈스인천송림오거리점,인천 동구 송림로 110-0,간이음식,79
31,우진쭈꾸미,인천 동구 만석부두로6번길 6-0,전문음식,73
32,물레방아,인천 동구 화수로 80-1,한식,73
33,엄니밥줘,인천 동구 새천년로 15-0,전문음식,70
34,메가커피인천송현점,인천 동구 수문통로 54-1,카페/찻집,62
35,문성각[중식],인천 동구 송미로 35-0,외국식,56
36,자월보신탕,인천 동구 석수로 23-0,한식,55
37,용대네국수,인천 동구 수문통로 8-0,한식,51
38,유스코베이커리,인천 동구 송미로23번길 24-0,간이음식,50
39,현대원조닭알탕,인천 동구 샛골로 169-0,한식,47
40,태리로제떡볶이&닭강정송림점,인천 동구 송림로82번길 19-0,간이음식,45
41,무한버섯나라송림점,인천 동구 샛골로 173-0,전문음식,43
42,만복분식,인천 동구 샛골로162번길 16-0,간이음식,41
43,땅스부대찌개송현점,인천 동구 송현로 31-1,전문음식,40
44,가연식당[한식],인천 동구 어촌로 7-0,한식,40
45,수문통 숯불민물장어,인천 동구 수문통로 21-0,전문음식,39
46,BBQ인천송림점,인천 동구 동산로 68-1,간이음식,38
47,아저씨냉면,인천 동구 화도진로91번길 27-0,한식,37
48,나무와샘,인천 동구 석수로 30-0,카페/찻집,37
49,송림반점[중식],인천 동구 송림로137번길 3-0,외국식,36
50,하우스홀드송림점,인천 동구 안송로 3-0,간이음식,35
51,달?,인천 동구 서해대로513번길 8-0,외국식,34
52,장강[중식],인천 동구 만석부두로 3-0,외국식,34
53,밤새먹소동인천역점,인천 동구 화도진로 73-0,한식,33
54,한밭식당,인천 동구 화수로 80-2,한식,33
55,창석원조닭알탕,인천 동구 샛골로 169-0,한식,33
56,약선당토속감자탕송림점,인천 동구 동산로 80-1,한식,33
57,미로돈까스,인천 동구 송미로 11-8,전문음식,33
58,육품달본점,인천 동구 수문통로 29-0,한식,32
59,다다익선숯불돼지갈비송림점,인천 동구 샛골로210번길 9-0,한식,31
60,깜상네,인천 동구 화도진로5번길 8-0,한식,28
61,거성치킨송림점,인천 동구 송향로 8-1,간이음식,27
62,원조할머니냉면,인천 동구 화평로 6-0,한식,26
63,청해복물텀벙,인천 동구 수문통로 5-1,한식,25
64,등촌샤브칼국수,인천 동구 송림로 138-0,전문음식,25
65,로타리기사식당,인천 동구 새천년로 21-0,한식,24
66,메가커피인천백병원점,인천 동구 샛골로210번길 9-0,카페/찻집,22
67,아랜역물닭갈비,인천 동구 수문통로 45-1,전문음식,21
68,경상도소문난냉면집,인천 동구 솔빛로85번길 21-0,한식,20
69,토속식당,인천 동구 방축로37번길 41-0,한식,20
70,두찜인천송현점,인천 동구 수문통로 14-0,전문음식,20
71,찐풍천장어,인천 동구 송림로 118-0,전문음식,19
72,송학남원추어탕,인천 동구 수문통로 15-0,한식,18
73,배다리닭칼국수,인천 동구 금곡로 52-0,한식,17
74,기와집감자탕,인천 동구 수문통로 7-2,한식,16
75,문카페&참슬라임카페,인천 동구 금곡로103번길 3-0,카페/찻집,16
76,순살만공격인천송현점,인천 동구 인중로 678-0,간이음식,15
77,육꼬집,인천 동구 수문통로 43-0,한식,15
78,앙카롱,인천 동구 송현로 59-0,간이음식,14
79,반공방첩,인천 동구 샛골로 128-0,한식,14
80,용대네회집,인천 동구 화도진로79번길 16-0,전문음식,14
81,월드웰식당,인천 동구 송미로23번길 21-0,한식,14
82,마리데키친,인천 동구 금곡로 8-1,외국식,13
83,남서방면옥,인천 동구 송림로 109-0,한식,12
84,커피베이인천송현점,인천 동구 송현로 20-0,카페/찻집,12
85,바른국밥본점,인천 동구 송미로 17-11,한식,12
86,성림장[중식],인천 동구 송현로 57-3,외국식,12
87,서울식당,인천 동구 화수부두로 38-0,전문음식,12
88,카페지브라운송림도서관점,인천 동구 새천년로 72-0,카페/찻집,12
89,배스킨라빈스송림트레이더스점,인천 동구 봉수대로 82-0,간이음식,11
