순위,업소명,주소,분류,현지인 검색 수
1,오목골즉석메밀우동,인천 미추홀구 석정로 142-0,외국식,12244
2,청해김밥본점,인천 미추홀구 경인로 414-0,간이음식,7569
3,이대조감자탕본점,인천 미추홀구 토금중로 6-0,한식,5315
4,숭의가든,인천 미추홀구 경인로88번길 10-0,한식,4724
5,백령면옥제물포점,인천 미추홀구 석정로 226-0,한식,3165
6,풍림하나로쇼핑센터,인천 미추홀구 토금중로 13-0,한식,2910
7,얼레꼴레만두,인천 미추홀구 한나루로 420-0,한식,2502
8,공원장[중식],인천 미추홀구 인주대로211번길 49-26,외국식,2486
9,착한낙지인천주안점,인천 미추홀구 미추홀대로 650-0,전문음식,2449
10,황성얼큰오징어찌개,인천 미추홀구 아암대로107번길 13-0,한식,2369
11,송도갈매기주안점,인천 미추홀구 구월로 23-0,한식,2333
12,대오통닭,인천 미추홀구 경인로326번길 75-0,간이음식,2244
13,개성손만두,인천 미추홀구 매소홀로 435-0,한식,2182
14,동락반점[중식],인천 미추홀구 독배로 473-0,외국식,2059
15,함흥관,인천 미추홀구 인중로 1-0,한식,2042
16,초가집,인천 미추홀구 미추홀대로734번길 40-0,한식,2033
17,풍전식당,인천 미추홀구 남주길 5-0,한식,1925
18,부영선지국본점,인천 미추홀구 장천로14번길 20-0,한식,1515
19,무봉리토종순대국,인천 미추홀구 낙섬서로 29-0,한식,1487
20,고을순대국,인천 미추홀구 인주대로320번길 2-0,한식,1485
21,태양식당[한식],인천 미추홀구 독배로498번길 8-0,한식,1473
22,별미감자탕주안점,인천 미추홀구 주염로 8-0,한식,1389
23,변가네옹진냉면,인천 미추홀구 한나루로586번길 92-0,한식,1353
24,동추원불고기,인천 미추홀구 학익소로 67-0,한식,1273
25,인하찹쌀순대,인천 미추홀구 수봉로 95-0,한식,1234
26,명가원설농탕학익점,인천 미추홀구 소성로 194-0,한식,1213
27,소담촌주안역점,인천 미추홀구 주안로 116-0,전문음식,1184
28,청수옥,인천 미추홀구 주승로 84-0,한식,1178
29,경복궁학익점,인천 미추홀구 매소홀로 378-0,한식,1156
30,안스베이커리앨리웨이인천점,인천 미추홀구 숙골로87번길 5-0,간이음식,1155
31,연중반점[중식],인천 미추홀구 구월로 6-0,외국식,1122
32,대연[중식],인천 미추홀구 주안로 190-0,외국식,1079
33,나삼보해물가,인천 미추홀구 미추홀대로 661-0,전문음식,1070
34,추억의기찻길주안점,인천 미추홀구 주안로 59-0,한식,1010
35,장모족발용현본점,인천 미추홀구 낙섬서로 25-0,전문음식,1010
36,경인궁,인천 미추홀구 미추홀대로 646-0,한식,997
37,청실홍실,인천 미추홀구 미추홀대로 697-0,한식,955
38,백세삼계탕도화점,인천 미추홀구 동산로2번길 10-0,한식,954
39,불티나왕돈까스,인천 미추홀구 수봉로130번길 2-0,전문음식,943
40,배스킨라빈스인천제물포점,인천 미추홀구 경인로 140-0,간이음식,911
41,서해해물칼국수,인천 미추홀구 매소홀로446번길 20-0,한식,897
42,서가앤쿡인하대역점,인천 미추홀구 독배로 311-0,전문음식,892
43,농원숯불왕갈비,인천 미추홀구 미추홀대로697번길 36-0,한식,890
44,영월옹심이칼국수주안점,인천 미추홀구 인주대로 421-0,한식,884
45,돈까스빌리지간석역점,인천 미추홀구 주안로 219-0,전문음식,879
46,조은칼국수,인천 미추홀구 미추로19번길 5-0,한식,870
47,용인정,인천 미추홀구 경인로305번길 11-0,한식,858
48,해미집,인천 미추홀구 독배로492번길 38-0,한식,851
49,배스킨라빈스주안역북부점,인천 미추홀구 길파로 1-0,간이음식,848
50,덮다주안점,인천 미추홀구 주안중로 24-0,한식,834
51,보리밥한상,인천 미추홀구 매소홀로 423-0,한식,804
52,숭의쌈밥,인천 미추홀구 독배로462번길 30-0,한식,802
53,명품떡볶이,인천 미추홀구 인하로 239-0,간이음식,793
54,궁중삼계탕학익본점,인천 미추홀구 학익소로63번길 23-0,한식,775
55,모담앨리웨이인천점 [한식],인천 미추홀구 숙골로88번길 12-0,한식,743
56,참숯한우천국문학점,인천 미추홀구 미추홀대로 494-0,한식,739
57,원조성진물텀벙,인천 미추홀구 독배로403번길 10-0,한식,733
58,길손물텀벙,인천 미추홀구 경인로7번길 4-0,한식,703
59,이차돌인천주안점,인천 미추홀구 인주대로 410-0,한식,701
60,참이맛감자탕인천직영점,인천 미추홀구 아암대로 97-0,한식,669
61,배스킨라빈스간석역남부점,인천 미추홀구 주안로 226-0,간이음식,660
62,대청마루[한식],인천 미추홀구 매소홀로 382-0,한식,651
63,경복궁들깨삼계탕용현점,인천 미추홀구 매소홀로 61-0,한식,639
64,테리토리,인천 미추홀구 경원대로628번길 5-0,전문음식,635
65,식객혼푸드뱅크,인천 미추홀구 경인로 469-0,한식,634
66,조선갈비실록인천점,인천 미추홀구 아암대로 53-0,한식,620
67,서문통닭삼계탕,인천 미추홀구 미추홀대로 690-0,간이음식,605
68,고목정학익동지점,인천 미추홀구 한나루로358번길 7-0,한식,598
69,언양닭칼국수용현점,인천 미추홀구 독배로403번길 60-0,한식,582
70,패황제,인천 미추홀구 염전로202번길 48-7,전문음식,579
71,정이품쭈꾸미용현본점,인천 미추홀구 낙섬서로10번길 3-6,전문음식,563
