순위,업소명,주소,분류,현지인 검색 수
1,바베큐광장,인천 부평구 경원대로 1439-0,전문음식,7904
2,모녀떡볶이부평남부역점,인천 부평구 광장로 16-0,간이음식,4010
3,빵카페인천부평점,인천 부평구 마장로 461-1,간이음식,3463
4,신선설농탕부평점,인천 부평구 장제로 206-0,한식,3288
5,양평신내서울해장국부평직영점,인천 부평구 마장로 191-0,한식,3167
6,거궁인천부평점 [한식],인천 부평구 아트센터로 166-0,한식,3127
7,짜우탕인천점 [중식],인천 부평구 무네미로447번길 6-4,외국식,3083
8,보릿골정찬삼산점 [한식],인천 부평구 장제로 350-0,한식,2884
9,대왕김밥,인천 부평구 부평문화로 41-0,간이음식,2652
10,아우라지삼산점,인천 부평구 장제로 346-0,한식,2623
11,착한낙지,인천 부평구 대정로 17-0,전문음식,2560
12,누룩골삼산점,인천 부평구 장제로 348-0,한식,2444
13,밀레,인천 부평구 경원대로1130번길 7-0,전문음식,2292
14,경복궁부평점,인천 부평구 길주로 643-0,한식,2275
15,별미칡냉면,인천 부평구 주부토로145번길 28-0,한식,2113
16,부흥기사식당,인천 부평구 부흥로 387-0,한식,2085
17,돈까스클럽인천부평점,인천 부평구 평천로 140-0,전문음식,2036
18,헤세드스시뷔페,인천 부평구 대정로 66-0,전문음식,2009
19,정정아식당산곡본점,인천 부평구 세월천로40번길 7-0,한식,1973
20,스시애2호점,인천 부평구 부평대로87번길 4-0,외국식,1812
21,함흥관,인천 부평구 마장로 10-0,한식,1766
22,참새초밥,인천 부평구 신트리로 36-0,외국식,1686
23,까치기사식당,인천 부평구 백범로 526-0,한식,1671
24,그린우렁쌈밥,인천 부평구 일신로 32-0,한식,1645
25,명품화덕고등어,인천 부평구 화랑로47번길 4-0,한식,1637
26,미담,인천 부평구 마장로384번길 12-0,외국식,1634
27,오구당당부평본점,인천 부평구 경원대로1377번길 47-0,한식,1634
28,온누리쭈꾸미부평점,인천 부평구 경인로 749-0,전문음식,1378
29,힐록,인천 부평구 청중로29번길 34-0,전문음식,1345
30,이바돔감자탕인천삼산점,인천 부평구 길주로 659-0,한식,1345
31,소담촌부평삼산점,인천 부평구 길주로 641-0,한식,1344
32,쉐라메르과자점,인천 부평구 안남로222번길 30-0,간이음식,1307
33,경복궁삼계탕삼산점,인천 부평구 평천로 553-0,한식,1297
34,장씨아궁이,인천 부평구 길주남로 127-0,전문음식,1292
35,1982삼계정본점,인천 부평구 안남로417번길 20-0,한식,1279
36,온누리장작구이부평점,인천 부평구 동암산로 10-0,전문음식,1178
37,정밀[한식],인천 부평구 함봉로 25-0,한식,1178
38,은수저[한식],인천 부평구 화랑로47번길 24-0,한식,1137
39,명가원설농탕인천점,인천 부평구 백범로 474-0,한식,1109
40,삿뽀로부평점,인천 부평구 길주로 643-0,외국식,1108
41,브런치빈인천삼산점,인천 부평구 길주로 659-0,전문음식,1097
42,샤브모아월남쌈,인천 부평구 경원대로 1415-0,전문음식,1028
43,돈타래게장정식,인천 부평구 열우물로 59-0,전문음식,1027
44,배스킨라빈스부평명동점,인천 부평구 시장로 19-0,간이음식,998
45,덕화원[중식],인천 부평구 원적로315번길 29-1,외국식,993
46,소코아,인천 부평구 주부토로151번길 27-0,전문음식,989
47,시더스초밥부평점,인천 부평구 대정로 7-0,외국식,973
48,아틀리독,인천 부평구 함봉로36번길 22-44,카페/찻집,972
49,짬뽕타운24시삼산점 [중식],인천 부평구 장제로340번길 5-0,외국식,909
50,짬뽕의신화[중식],인천 부평구 부흥로 408-0,외국식,904
51,양촌리동암점,인천 부평구 백범로 466-0,한식,900
52,면박사가야밀면,인천 부평구 주부토로172번길 28-0,한식,860
53,금화왕돈까스삼산점,인천 부평구 평천로 400-0,전문음식,837
54,더소야소부평구청점,인천 부평구 주부토로145번길 47-0,한식,791
55,북새통부평점,인천 부평구 갈월서로 6-0,간이음식,771
56,타르데마부평점,인천 부평구 평천로255번길 13-0,간이음식,744
57,복호두부평점,인천 부평구 세월천로40번길 24-0,간이음식,738
58,더꽃게부평삼산직영점,인천 부평구 체육관로 14-0,전문음식,734
59,경복궁삼계탕부평점,인천 부평구 부평대로 68-1,한식,713
60,전골잘하는곰집,인천 부평구 세월천로 119-7,한식,705
61,아이즈빌CGV부평10,인천 부평구 마장로 489-0,간이음식,699
62,종로왕만두,인천 부평구 마장로 324-0,한식,689
63,청실홍실부평직영점,인천 부평구 부흥로 264-0,한식,684
64,동해해물탕아구찜,인천 부평구 부평문화로 108-0,한식,681
65,할매닭한마리,인천 부평구 열우물로49번길 19-0,한식,677
66,향나무집,인천 부평구 함봉로36번길 19-6,한식,672
67,흥수갈비,인천 부평구 동암남로8번길 6-0,한식,670
68,해바라기정육식당부개점,인천 부평구 부흥로 383-0,한식,669
69,향이랑,인천 부평구 부흥로 264-0,한식,668
70,온누리장어마을부평본점,인천 부평구 경인로 749-0,전문음식,654
71,황가복[중식],인천 부평구 마장로 245-0,외국식,651
72,인브스키친,인천 부평구 부평대로 39-6,전문음식,633
73,사랑채,인천 부평구 함봉로42번길 65-0,한식,624
74,연수해물나라부평삼산점,인천 부평구 충선로203번길 12-0,한식,623
75,이차돌부평역점,인천 부평구 시장로 24-0,한식,609
76,화랑농장,인천 부평구 화랑로77번길 36-0,한식,599
77,랑데자뷰인천부평점,인천 부평구 평천로 16-0,카페/찻집,596
78,취선[중식],인천 부평구 굴포로 50-6,외국식,588
79,삼산월드컨벤션센터,인천 부평구 체육관로 60-0,전문음식,571
