순위,업소명,주소,분류,현지인 검색 수
1,포레스트아웃팅스송도점,인천 연수구 청량로 145-0,카페/찻집,25863
2,동춘사골순대국동춘점,인천 연수구 동곡재로49번길 8-0,한식,12657
3,송도갈비본점,인천 연수구 능허대로 16-0,한식,12056
4,송도갈매기본점,인천 연수구 능허대로151번길 25-0,한식,12031
5,브런치빈송도점,인천 연수구 해돋이로151번길 4-0,전문음식,11452
6,경복궁삼계탕송도점,인천 연수구 센트럴로 263-0,한식,10948
7,이학갈비연수점,인천 연수구 먼우금로 208-0,한식,10116
8,우판등심인천점,인천 연수구 청량로 61-0,한식,10003
9,안스베이커리송도점,인천 연수구 센트럴로 160-0,간이음식,9245
10,바다쏭,인천 연수구 능허대로 16-0,카페/찻집,8940
11,260도송도유원지점,인천 연수구 청량로109번길 1-0,한식,7345
12,송도주막,인천 연수구 청량로79번길 36-0,한식,7262
13,카페꼼마송도점,인천 연수구 센트럴로 263-0,카페/찻집,7221
14,백제원[한식],인천 연수구 해돋이로 157-0,한식,7207
15,경복궁한옥마을점,인천 연수구 테크노파크로 180-0,한식,7035
16,개성손만두송도점,인천 연수구 인천타워대로 99-0,한식,5909
17,숙성도인천송도점,인천 연수구 능허대로 275-0,한식,5896
18,기노스코,인천 연수구 아트센터대로 203-0,카페/찻집,5177
19,밥상편지[한식],인천 연수구 하모니로 124-0,한식,5082
20,천지연송도국제신도시점,인천 연수구 첨단대로 80-0,한식,5015
21,쎄쎄쎄,인천 연수구 컨벤시아대로 165-0,전문음식,4816
22,진시황감자탕,인천 연수구 청능대로113번길 37-0,한식,4781
23,건강밥상심마니송도점,인천 연수구 해돋이로 161-0,한식,4647
24,파티파라나,인천 연수구 센트럴로 194-0,전문음식,4540
25,강민주의들밥송도점 [한식],인천 연수구 인천타워대로 257-0,한식,4487
26,홍익돈까스송도점,인천 연수구 인천타워대로 99-0,전문음식,4448
27,성진아구,인천 연수구 청량로109번길 71-0,한식,4329
28,쉐이크쉑송도점,인천 연수구 송도과학로16번길 33-2,간이음식,4311
29,송도궁중삼계탕,인천 연수구 청량로 84-0,한식,4244
