순위,업소명,주소,분류,현지인 검색 수
1,뻘다방,인천 옹진군 선재로 55-0,카페/찻집,4379
2,플로레도커피선재점,인천 옹진군 선재로 354-0,카페/찻집,1814
3,하이바다,인천 옹진군 영흥북로 374-25,카페/찻집,1308
4,본토바지락칼국수,인천 옹진군 영흥북로 23-0,한식,1099
5,플로레도커피,인천 옹진군 영흥로 301-0,카페/찻집,1056
6,바람의마을,인천 옹진군 선재로 63-0,한식,742
7,고양이역카페,인천 옹진군 영흥로251번길 25-75,카페/찻집,561
8,카페코세드,인천 옹진군 영흥서로418번길 47-0,카페/찻집,552
9,영흥도칼국수,인천 옹진군 영흥북로 195-0,한식,448
10,복건성[중식],인천 옹진군 선재로34번길 23-0,외국식,313
11,쌍곰다방,인천 옹진군 선재로34번길 64-0,카페/찻집,292
12,통큰칼국수,인천 옹진군 영흥북로 55-3,한식,284
13,하늘가든[한식],인천 옹진군 영흥로251번길 24-0,한식,280
14,사곶냉면,인천 옹진군 사곶로122번길 54-19,한식,221
15,송가해장국,인천 옹진군 영흥북로 25-1,한식,203
16,길마바지락손칼국수육개장,인천 옹진군 영흥북로 199-0,한식,200
17,카페폰테,인천 옹진군 선재로 76-16,전문음식,188
18,장성호어부직영횟집,인천 옹진군 영흥로 136-0,전문음식,161
19,장경리바지락손칼국수,인천 옹진군 영흥로 651-0,한식,159
20,십리포황토가든,인천 옹진군 영흥북로 463-0,한식,144
21,만수네회센터,인천 옹진군 영흥로 109-20,전문음식,139
22,카페프린스,인천 옹진군 영흥북로 89-1,카페/찻집,138
23,선재우리밀칼국수,인천 옹진군 선재로 39-0,한식,134
24,선재리커피집,인천 옹진군 선재로34번길 79-0,카페/찻집,126
25,다딤길목,인천 옹진군 선재로 145-0,전문음식,110
26,영흥곰탕,인천 옹진군 선재로 340-0,한식,102
27,북경손짜장[중식],인천 옹진군 선재로 338-0,외국식,101
28,원흥가든,인천 옹진군 영흥남로 412-0,한식,94
29,비치카페,인천 옹진군 영흥로251번길 85-53,카페/찻집,82
30,회 막썰어 먹자! 장미네,인천 옹진군 영흥북로 37-0,전문음식,82
31,선향회집,인천 옹진군 선재로34번길 107-6,전문음식,80
32,오빠애돈카츠,인천 옹진군 영흥로144번길 15-0,전문음식,74
33,어부네칼국수,인천 옹진군 영흥북로 203-0,한식,68
34,청초수물회&섭국,인천 옹진군 선재로 148-0,전문음식,67
35,만나뜨락,인천 옹진군 영흥로 255-0,한식,66
36,꿀꿀이만찬,인천 옹진군 선재로 342-0,한식,65
37,뚱이네맛집,인천 옹진군 백령로 241-0,한식,61
38,섬꾸지,인천 옹진군 영흥로251번길 85-5,카페/찻집,59
39,오다가다,인천 옹진군 선재로 336-0,한식,58
40,영흥가든,인천 옹진군 영흥북로35번길 80-0,전문음식,57
41,선재포구,인천 옹진군 선재로317번길 25-0,전문음식,54
42,영흥일번지식당,인천 옹진군 영흥북로 3-0,한식,51
43,카페포르토,인천 옹진군 영흥로 109-7,카페/찻집,50
44,미진상회,인천 옹진군 영흥로 109-12,전문음식,49
45,양평해장국,인천 옹진군 영흥로251번길 8-0,한식,48
46,이백분,인천 옹진군 영흥로 109-12,전문음식,47
47,하라보라,인천 옹진군 시도로 83-0,카페/찻집,45
48,장촌칼국수,인천 옹진군 백령로345번길 15-0,한식,44
49,유명조칼국수,인천 옹진군 선재로34번길 45-0,한식,42
50,장경리한방통닭,인천 옹진군 영흥로 740-0,간이음식,40
51,신화평양냉면,인천 옹진군 백령로 691-0,한식,40
52,소망식당,인천 옹진군 선재로 98-0,한식,37
53,오금화네집밥,인천 옹진군 영흥남로 300-0,한식,35
54,성난파도,인천 옹진군 영흥남로9번길 179-21,전문음식,35
55,대경민박식당,인천 옹진군 선재로186번길 71-1,한식,34
56,영흥손찐빵만두,인천 옹진군 선재로 163-0,간이음식,33
57,영흥함바식당,인천 옹진군 영흥남로 338-0,한식,30
58,장경리항아리바베큐보쌈,인천 옹진군 영흥로 712-0,전문음식,30
59,황금갯벌,인천 옹진군 선재로34번길 64-0,전문음식,29
60,지개골동태탕,인천 옹진군 영흥로 364-0,한식,27
61,0415카페,인천 옹진군 장봉로605번길 150-0,카페/찻집,27
62,다복칼국수,인천 옹진군 선재로34번길 45-0,한식,27
63,중화루[중식],인천 옹진군 백령로 855-0,외국식,27
64,성원바지락손칼국수,인천 옹진군 선재로 139-0,한식,27
65,콩사랑콩깍지,인천 옹진군 백령로316번길 109-7,전문음식,27
66,유명한집,인천 옹진군 영흥북로 393-0,한식,26
67,바다와만남,인천 옹진군 선재로306번길 27-113,한식,26
68,드무리식당,인천 옹진군 선재로 299-0,한식,25
69,핑크클라우드,인천 옹진군 영흥북로 420-12,카페/찻집,24
70,중국성[중식],인천 옹진군 영흥로 494-0,외국식,24
71,아일랜드소야,인천 옹진군 소야로111번길 40-0,카페/찻집,22
72,선제대교횟집,인천 옹진군 선재로34번길 23-0,전문음식,21
73,제주를품은갈치,인천 옹진군 선재로 299-0,한식,20
74,열매한식뷔페,인천 옹진군 영흥남로 290-0,전문음식,20
75,청와루[중식],인천 옹진군 영흥로144번길 9-0,외국식,19
76,뷰카페,인천 옹진군 선재로 346-0,카페/찻집,19
77,안동본가국밥선재도점,인천 옹진군 선재로 171-0,한식,18
78,해당화나들목,인천 옹진군 모도로50번길 39-0,한식,17
79,그린파크식당,인천 옹진군 백령로297번길 16-0,한식,17
80,진촌돼지,인천 옹진군 백령로 286-2,한식,17
81,바다양푼이동태탕선재점,인천 옹진군 선재로 182-0,한식,16
82,바다식당,인천 옹진군 신도로 248-0,전문음식,16
83,바닷길식당,인천 옹진군 장봉로 216-0,전문음식,16
84,솔밭식당,인천 옹진군 영흥서로 529-0,한식,15
85,커피아마마스,인천 옹진군 선재로306번길 17-0,카페/찻집,15
86,십리포해변칼국수회조개구이,인천 옹진군 영흥북로 389-0,한식,14
87,내리어촌계직판장,인천 옹진군 영흥북로 154-0,전문음식,14
88,명주가든정육식당,인천 옹진군 영흥로176번길 57-0,한식,13
89,우마루한식뷔페,인천 옹진군 영흥남로293번길 20-0,전문음식,13
90,신시모도,인천 옹진군 시도로104번길 27-17,카페/찻집,13
91,중앙정육점식당,인천 옹진군 영흥로 150-0,한식,12
92,언니네닭갈비부대찌개,인천 옹진군 영흥로 144-0,전문음식,12
93,선재치킨,인천 옹진군 선재로 46-0,간이음식,11
94,이화원[중식],인천 옹진군 백령로278번길 28-1,외국식,11
95,바다회집,인천 옹진군 영흥북로 81-0,전문음식,11
96,남도골,인천 옹진군 영흥로 158-0,전문음식,11
97,시골메밀칼국수,인천 옹진군 백령로978번길 8-15,한식,10
