순위,업소명,주소,분류,현지인 검색 수
1,동해막국수,인천 중구 용유서로479번길 16-0,한식,7937
2,해송쌈밥,인천 중구 공항서로 177-0,한식,7160
3,차이나타운,인천 중구 차이나타운로44번길 13-2,음식점기타,6984
4,메이드림,인천 중구 용유서로479번길 42-0,카페/찻집,6829
5,동양염전베이커리카페,인천 중구 용유서로 32-0,카페/찻집,5565
6,마시안제빵소,인천 중구 마시란로 155-0,간이음식,5561
7,선녀풍본점,인천 중구 용유서로 272-0,전문음식,5173
8,버거킹영종하늘도시DT점,인천 중구 자연대로 55-0,간이음식,5145
9,엠클리프,인천 중구 마시란로 51-30,카페/찻집,4683
10,영종제빵소,인천 중구 해맞이길 7-0,간이음식,4576
11,만수채영종도하늘도시점,인천 중구 하늘중앙로225번길 3-0,전문음식,4377
12,황해해물칼국수1호점,인천 중구 마시란로 24-0,한식,4305
13,마시랑카페,인천 중구 마시란로 163-0,카페/찻집,4195
14,스타파이브카페,인천 중구 공항서로 133-1,카페/찻집,3953
15,지금이곳,인천 중구 운남로82번길 40-0,카페/찻집,3828
16,바다앞테라스,인천 중구 은하수로 10-0,간이음식,3762
17,스타벅스영종하늘도시점,인천 중구 하늘중앙로195번길 15-0,카페/찻집,3610
18,맥도날드신흥DT점,인천 중구 인항로 38-0,간이음식,3603
19,넙디빈대떡,인천 중구 운서1로4번길 26-0,한식,3567
20,을왕리꾸덕집,인천 중구 용유서로174번길 44-0,한식,3388
21,강민호을왕리빵판다카페,인천 중구 용유로745번길 14-0,카페/찻집,3130
22,보문항,인천 중구 운남로82번길 37-0,한식,3051
23,황해해물칼국수2호점,인천 중구 마시란로 37-0,한식,3038
24,스타벅스영종도운서역점,인천 중구 신도시남로142번길 17-0,카페/찻집,2951
25,97도씨해물칼국수영종본점,인천 중구 영종진광장로 39-0,한식,2801
26,미애네칼국수본점,인천 중구 용유로21번길 51-0,한식,2763
27,뚜띠쿠치나미단시티점,인천 중구 미단뉴타운로26번길 21-0,외국식,2672
28,훈장골신공항점,인천 중구 신도시남로 28-0,한식,2582
29,C27다운타운선셋점,인천 중구 마시란로 63-0,카페/찻집,2569
30,빨간거짱구네본점,인천 중구 햇내로안길 18-7,전문음식,2565
31,고래해물칼국수,인천 중구 은하수로 43-0,한식,2528
32,빨간거짱구네업무단지점,인천 중구 공항로424번길 72-0,전문음식,2516
33,또와돌솥밥순대국3호점,인천 중구 화랑목로 40-18,한식,2506
34,고목정쌈밥,인천 중구 용유서로172번길 10-0,한식,2505
35,대흥식당,인천 중구 백운로186번길 185-0,한식,2504
36,맘모스회센터,인천 중구 연안부두로33번길 17-0,전문음식,2488
37,투썸플레이스인천영종운서점,인천 중구 햇내로28번길 10-0,카페/찻집,2431
38,조은전골칼국수,인천 중구 운중로 84-0,한식,2386
39,명품관갈비,인천 중구 신도시남로141번길 13-5,한식,2312
40,빌리앤오티스,인천 중구 백운로 333-0,간이음식,2183
41,카페오라,인천 중구 용유서로 380-0,전문음식,2166
42,통영해물뚝배기운서점,인천 중구 화랑목로 40-24,한식,2099
43,봄이보리밥영종점,인천 중구 자연대로 47-0,한식,2047
44,양자강[중식],인천 중구 용유서로 494-0,외국식,2003
45,남도추어탕,인천 중구 흰바위로92번길 6-16,한식,2000
46,쏠마레,인천 중구 영종대로566번길 15-0,카페/찻집,1973
47,경복궁늘목원,인천 중구 용유서로 158-0,한식,1884
48,유정집[한식],인천 중구 화랑목로100번길 39-0,한식,1851
49,카페건,인천 중구 하늘달빛로2번길 8-0,카페/찻집,1829
50,거해짬뽕순두부무의도점,인천 중구 대무의로 281-0,한식,1822
51,불티나조개구이,인천 중구 마시란로 241-0,전문음식,1790
52,원조이화찹쌀순대,인천 중구 인중로26번길 25-0,한식,1768
53,속초그바람에운서점,인천 중구 화랑목로 46-9,전문음식,1738
54,카페륙,인천 중구 공항서로 419-0,카페/찻집,1643
55,브런치빈영종도점,인천 중구 자연대로 47-0,전문음식,1633
56,손커피연구소영종하늘도시점,인천 중구 해맞이길 35-0,카페/찻집,1631
57,평상인제빵소,인천 중구 영종진광장로 46-0,간이음식,1628
58,그릴드키친,인천 중구 운서로7번길 12-0,외국식,1601
59,세아숯불갈비,인천 중구 하늘중앙로 231-0,한식,1561
60,체이스커피,인천 중구 운서로7번길 49-0,카페/찻집,1554
61,또와돌솥밥순대국5호점,인천 중구 영종대로162번길 20-0,한식,1518
62,선녀풍2호점,인천 중구 용유서로 386-0,전문음식,1509
63,공항샤브칼국수,인천 중구 운중로48번길 94-0,한식,1505
64,차덕분,인천 중구 은하수로 12-0,카페/찻집,1503
65,평양옥,인천 중구 도원로8번길 68-0,한식,1473
66,투썸플레이스왕산해수욕장점,인천 중구 용유서로 420-0,카페/찻집,1472
67,만정수산,인천 중구 영종순환로339번길 85-0,전문음식,1471
68,카페오숑,인천 중구 제물량로 137-0,카페/찻집,1452
69,하늘정식,인천 중구 영종진로11번길 27-0,한식,1450
70,기와집담[한식],인천 중구 용유로21번길 65-17,한식,1430
71,파리바게뜨영종운서점,인천 중구 넙디로 13-0,간이음식,1407
72,우리밀손칼국수,인천 중구 용유로21번길 37-0,한식,1398
73,모리,인천 중구 운중로48번길 66-5,외국식,1312
74,노란콩,인천 중구 흰바위로92번길 5-3,한식,1311
75,정순이네밥상,인천 중구 화랑목로 70-9,한식,1300
76,목현,인천 중구 화랑목로 50-9,카페/찻집,1290
77,명륜진사갈비영종하늘도시점,인천 중구 하늘별빛로65번길 7-9,한식,1283
78,롯데리아인천허브DI점,인천 중구 영종대로 283-0,간이음식,1281
79,연경차이나타운본점 [중식],인천 중구 차이나타운로 41-0,외국식,1279
80,보테가마시란점,인천 중구 마시란로 51-32,카페/찻집,1267
81,청초수물회을왕리점,인천 중구 공항서로 179-0,전문음식,1261
82,카페미음,인천 중구 마시란로 119-0,카페/찻집,1247
83,닭곰탱이본점,인천 중구 화랑목로 50-10,전문음식,1201
84,을항,인천 중구 선녀바위로55번길 39-0,전문음식,1182
84,맥도날드동인천,인천 중구 우현로 85-1,간이음식,1182
86,소풀이영종도양평해장국,인천 중구 모랫말로5번길 3-0,한식,1167
87,잉글랜드왕돈까스,인천 중구 우현로90번길 7-0,전문음식,1158
88,미애네칼국수마시안해변점,인천 중구 마시란로 39-0,한식,1143
89,카페얼트,인천 중구 은하수로 1-0,카페/찻집,1120
90,비다,인천 중구 자연대로567번길 14-24,카페/찻집,1115
91,은행나무집,인천 중구 마시란로 9-0,한식,1114
92,안씨안씨한식뷔페,인천 중구 운중로 213-0,한식,1092
93,할리스영종덕교점,인천 중구 잠진도길 55-0,카페/찻집,1076
94,미애네회칼국수왕산점,인천 중구 용유서로423번길 7-0,한식,1067
95,바른찜갈비,인천 중구 마시란로170번길 53-1,한식,1054
96,도미노피자하늘도시점,인천 중구 영종진로66번길 15-0,간이음식,1050
97,도미노피자인천운서점,인천 중구 모랫말로5번길 1-0,간이음식,1049
98,초밥코리아운서점,인천 중구 운서2로68번길 21-0,외국식,1045
99,논머리횟집,인천 중구 영종해안북로847번길 63-1,전문음식,1039
100,그릴드버거,인천 중구 운서로7번길 10-0,간이음식,1036
