순위,업소명,주소,분류,현지인 검색 수
1,삼대광양불고기집,전남 광양시 서천1길 52-0,한식,3374
2,신가가마솥,전남 광양시 희양현로 30-0,한식,2528
3,시내식당,전남 광양시 서천1길 38-0,한식,2054
4,학운정,전남 광양시 발섬4길 17-12,한식,1676
5,거북이초밥,전남 광양시 항만9로 126-0,외국식,1670
6,홍익돈까스광양점,전남 광양시 항만13로 25-0,전문음식,1630
7,은성면옥,전남 광양시 길호4길 10-0,한식,1561
8,영일관[한식],전남 광양시 신금산단5길 76-0,한식,1450
9,향미[중식],전남 광양시 길호5길 6-0,외국식,1385
10,차도리가든,전남 광양시 신재로 337-0,한식,1321
11,소낭구,전남 광양시 서평로 40-0,전문음식,1307
12,청룡식당,전남 광양시 섬진강매화로 160-1,한식,1291
13,내조국국밥광양중마점,전남 광양시 중마로 320-0,한식,1262
14,백운국수방,전남 광양시 눈소5길 45-7,한식,1220
15,지곡산장,전남 광양시 서북로 59-0,한식,1143
16,매실한우 광양불고기,전남 광양시 서천1길 46-0,한식,1017
17,소문한정식[한식],전남 광양시 눈소1길 52-1,한식,1014
18,금정광양불고기,전남 광양시 시청로 27-0,한식,984
19,금목서광양불고기,전남 광양시 읍성길 199-0,한식,977
20,서가앤쿡 광양LF스퀘어점,전남 광양시 순광로 466-0,전문음식,953
21,구루커피,전남 광양시 서천2길 4-0,카페/찻집,941
22,설담가[한식],전남 광양시 매천로 666-0,한식,881
23,장끄방 횟집,전남 광양시 서평1길 25-0,전문음식,866
24,하면옥광양점,전남 광양시 발섬6길 10-0,한식,861
25,니테오,전남 광양시 명당길 59-1,카페/찻집,833
26,청풍한우광양점,전남 광양시 가야로 44-0,한식,822
27,승승칼국수,전남 광양시 눈소1길 54-0,한식,815
28,카페용두,전남 광양시 용두1길 21-0,카페/찻집,789
29,나루터횟집,전남 광양시 망덕길 143-0,전문음식,787
30,그러소,전남 광양시 매천로 716-0,한식,785
31,쌍교숯불갈비광양점,전남 광양시 중마로 61-0,한식,783
32,유일정[일식],전남 광양시 무등1길 6-0,외국식,781
33,모리[일식],전남 광양시 길호5길 2-0,외국식,771
34,맛찬들왕소금구이전남광양점,전남 광양시 눈소로 8-0,한식,756
35,모은정,전남 광양시 서북로 23-0,한식,756
36,싱싱참숯장어,전남 광양시 눈소8길 30-0,전문음식,746
37,광양불고기특화거리,전남 광양시,음식점기타,735
38,광양만횟집,전남 광양시 발섬3길 19-0,전문음식,734
39,한우관,전남 광양시 발섬6길 16-0,한식,722
40,고려삼계탕,전남 광양시 사동로 231-0,한식,698
41,한우대가NO9,전남 광양시 덕산4길 10-0,한식,693
42,전주현대옥광양점,전남 광양시 길호4길 9-0,한식,689
43,시민국밥,전남 광양시 서천2길 19-1,한식,681
44,왕창국밥,전남 광양시 눈소로 36-0,한식,678
45,병암산장,전남 광양시 신재로 1678-67,한식,665
46,장성금생초국밥본점,전남 광양시 인덕로 971-0,한식,655
47,조선옥,전남 광양시 광영로 22-0,한식,641
48,카페오월,전남 광양시 눈소5길 23-0,카페/찻집,622
49,대호돼지국밥,전남 광양시 영수길 63-0,한식,620
50,장원회관,전남 광양시 매천로 821-5,한식,610
51,밀밭해물칼국수,전남 광양시 발섬1길 7-10,한식,605
52,대복삼계탕,전남 광양시 시청로 82-0,한식,582
53,매화향[한식],전남 광양시 중마로 562-0,한식,563
54,능이향,전남 광양시 발섬4길 17-9,한식,563
55,련횟집,전남 광양시 발섬4길 17-8,전문음식,546
56,생선공방,전남 광양시 항만13로 7-8,외국식,544
57,부흥식당,전남 광양시 사동로 13-0,한식,542
58,연화랑[중식],전남 광양시 서천1길 57-0,외국식,538
59,오복미역광양점,전남 광양시 눈소5길 55-14,한식,536
60,모던차이나[중식],전남 광양시 발섬6길 32-1,외국식,534
61,샤브마니아광양점,전남 광양시 항만9로 141-0,전문음식,531
62,인생초장,전남 광양시 해광로 701-21,전문음식,528
63,미트마트한우,전남 광양시 진등2길 6-0,한식,526
64,화둥숯불갈비,전남 광양시 발섬4길 7-10,한식,524
65,대갓집숯불직화구이,전남 광양시 서천2길 27-0,한식,517
66,이모네아구찜,전남 광양시 영수길 148-0,한식,506
67,이정재한우식육식당,전남 광양시 서평7길 52-0,한식,503
68,인마치,전남 광양시 원동길 70-18,카페/찻집,492
69,수목정,전남 광양시 중마청룡길 8-7,한식,486
70,나능이능이버섯백숙광양점,전남 광양시 서북1길 4-0,한식,484
71,행복한한우,전남 광양시 서북3길 20-0,한식,475
72,풀하우스참치,전남 광양시 길호3길 20-0,전문음식,474
73,철따라맛집,전남 광양시 길호5길 20-0,한식,468
74,푸른산장,전남 광양시 신재로 1317-0,한식,466
75,황초갈비냉면,전남 광양시 발섬4길 7-1,한식,460
76,황금도끼,전남 광양시 갈티로 10-0,외국식,452
77,풍천민물장어,전남 광양시 항만13로 27-10,전문음식,439
78,참복집,전남 광양시 발섬4길 3-2,전문음식,438
