순위,업소명,주소,분류,현지인 검색 수
1,나주곰탕하얀집,전남 나주시 금성관길 6-1,한식,13147
2,스타벅스나주혁신DT점,전남 나주시 빛가람로 838-0,카페/찻집,11021
3,스타벅스전남나주점,전남 나주시 상야1길 21-0,카페/찻집,3412
4,나주곰탕노안집,전남 나주시 금성관길 1-3,한식,3059
5,농협사료 전남지사,전남 나주시,음식점기타,2791
6,채선당플러스나주혁신도시점,전남 나주시 배멧3길 11-0,전문음식,2704
7,품장,전남 나주시 건재로 524-11,전문음식,2461
8,영산포홍어거리,전남 나주시,음식점기타,2393
9,이화원[중식],전남 나주시 상야1길 20-0,외국식,2289
10,해미연,전남 나주시 석전2길 20-0,전문음식,2225
11,3917마중,전남 나주시 향교길 42-16,카페/찻집,2213
12,진미국밥,전남 나주시 황동2길 4-15,한식,2119
13,왕곡가든,전남 나주시 나주서부로 389-0,한식,2097
14,비클래시,전남 나주시 건재로 524-11,카페/찻집,1952
15,윤뜰,전남 나주시 재신길 24-0,카페/찻집,1897
16,카페마당,전남 나주시 풍림죽림길 86-0,카페/찻집,1815
17,송현불고기,전남 나주시 건재로 193-0,한식,1726
18,효비초밥,전남 나주시 문화로 216-0,외국식,1603
19,화양연화,전남 나주시 교육길 13-0,카페/찻집,1555
20,벽오동나주점,전남 나주시 세남로 1367-0,한식,1534
21,유딜라이트,전남 나주시 강변1길 36-0,카페/찻집,1443
22,약선명가,전남 나주시 황동2길 3-5,한식,1416
23,카페파밀리에,전남 나주시 영산포로 121-0,카페/찻집,1405
24,불수성풍천장어,전남 나주시 봉황로 711-0,전문음식,1394
25,연방죽참숯불구이,전남 나주시 고분로 1323-0,한식,1364
26,부영식육식당,전남 나주시 지석로 10-0,한식,1333
27,유유샤브나주혁신점,전남 나주시 배멧1길 22-0,전문음식,1318
28,투썸플레이스나주호수공원점,전남 나주시 중야2길 14-0,카페/찻집,1278
29,번영회관,전남 나주시 세남로 1330-0,한식,1185
30,행운분식,전남 나주시 나주로 142-1,간이음식,1173
31,버거킹나주빛가람점,전남 나주시 전력로 2-0,간이음식,1164
32,나주쌍치민물매운탕,전남 나주시 황동1길 69-0,한식,1159
33,깐깐한족발나주빛가람점,전남 나주시 상야1길 21-0,전문음식,1125
34,제줏간나주혁신,전남 나주시 배멧1길 36-0,한식,1104
