순위,업소명,주소,분류,현지인 검색 수
1,북항회센터,전남 목포시 북항로 190-0,전문음식,6829
2,대반동201,전남 목포시 해양대학로 59-0,카페/찻집,4172
3,코롬방제과점,전남 목포시 영산로75번길 7-0,간이음식,3991
4,하당먹거리,전남 목포시 신흥로 98-0,전문음식,2862
5,장터본점,전남 목포시 영산로40번길 23-0,전문음식,2179
6,독천식당,전남 목포시 호남로64번길 3-1,전문음식,2118
7,씨엘비베이커리명륜동본점,전남 목포시 영산로75번길 14-0,간이음식,1918
8,태동중화요리[중식],전남 목포시 마인계터로40번길 10-1,외국식,1802
9,커피창고로,전남 목포시 평화로 51-0,카페/찻집,1687
10,해촌,전남 목포시 미항로 133-0,전문음식,1652
11,포미아구찜평화광장점,전남 목포시 평화로 53-3,한식,1636
12,포미아구찜포미본점,전남 목포시 용당로331번길 8-0,한식,1600
13,선경준치회집,전남 목포시 해안로57번길 2-0,전문음식,1537
14,장수옥설렁탕목포본점,전남 목포시 삼향천로 4-0,한식,1517
15,우정식육식당,전남 목포시 신흥로69번길 18-1,한식,1451
16,독천골,전남 목포시 미항로 197-0,전문음식,1437
17,조선쫄복탕,전남 목포시 해안로 115-0,전문음식,1370
18,인동주마을,전남 목포시 복산길12번길 5-0,한식,1365
19,김정림선지해장국,전남 목포시 번화로 41-3,한식,1337
20,영란횟집,전남 목포시 번화로 42-1,전문음식,1322
21,상무초밥목포점,전남 목포시 원형동로 53-0,외국식,1313
22,성식당,전남 목포시 수강로4번길 6-0,한식,1228
23,백두천지,전남 목포시 옥암로 33-0,한식,1195
24,1965원조제일돌곱창,전남 목포시 해안로173번길 28-0,전문음식,1136
25,레이디벅스목포점,전남 목포시 남악2로9번길 3-6,카페/찻집,1123
26,등대식육식당,전남 목포시 산대로 78-0,한식,1100
27,마지아레스토,전남 목포시 유달로97번길 2-0,전문음식,1091
28,남경회관[한식],전남 목포시 하당로68번길 24-0,한식,1030
29,유달산장,전남 목포시 유달로 119-0,카페/찻집,1027
30,금성칡냉면,전남 목포시 옥암로 109-0,한식,1018
31,명인집본점,전남 목포시 하당로30번길 14-0,한식,996
32,소담,전남 목포시 원형동로 50-2,한식,981
33,베네치아목포하당점,전남 목포시 옥암로 95-0,전문음식,969
34,동경일식,전남 목포시 남악2로 60-8,외국식,969
35,어나더키친목포점,전남 목포시 평화로 124-0,전문음식,943
36,소래기,전남 목포시 미항로 81-0,한식,942
37,아리랑한식,전남 목포시 대양산단로 82-0,전문음식,929
38,송학낙지회관,전남 목포시 하당로30번길 9-0,전문음식,920
39,카페델마르,전남 목포시 해양대학로 77-0,카페/찻집,905
40,장터하당점,전남 목포시 통일대로75번길 25-0,전문음식,903
41,뜰채낙지전문점,전남 목포시 해양대학로 229-0,전문음식,881
42,목포해태초밥평화광장점,전남 목포시 평화로 105-0,외국식,868
43,인헤르또,전남 목포시 평화로 57-0,카페/찻집,843
44,만선식당,전남 목포시 서산로 2-0,한식,836
45,목포항구포차,전남 목포시 삼학로92번길 104-0,음식점기타,800
46,해남해장국,전남 목포시 삼학로18번길 2-2,한식,780
47,포미아구찜하당점,전남 목포시 옥암로 168-6,한식,775
48,해빔목포본점,전남 목포시 미항로 83-0,전문음식,748
49,커피창고로,전남 목포시 청호로219번길 34-15,카페/찻집,742
50,예향정하당점,전남 목포시 통일대로 63-0,한식,723
51,녹색한우프라자,전남 목포시 남악로 113-0,한식,717
52,능소화,전남 목포시 영산로 19-1,전문음식,715
53,이바돔감자탕목포점,전남 목포시 비파로 128-0,한식,693
54,곰집갈비,전남 목포시 호남로58번길 14-0,한식,691
55,어문당,전남 목포시 하당로30번길 1-0,한식,682
56,한국추어탕,전남 목포시 하당로241번길 11-0,한식,678
57,페어링,전남 목포시 미항로 139-0,간이음식,672
58,한사랑숯불갈비,전남 목포시 고하대로 702-0,한식,653
59,화덕고깃간목포점,전남 목포시 옥암로 75-0,한식,651
60,돌집[한식],전남 목포시 번화로 67-0,한식,643
61,기와집농원,전남 목포시 장재마을길3번길 16-0,한식,643
62,호화대반점[중식],전남 목포시 옥암로46번길 8-0,외국식,637
63,해작하당점 [일식],전남 목포시 옥암로 26-0,외국식,636
64,동해수산하당점,전남 목포시 장미로 97-0,전문음식,633
65,명신식당,전남 목포시 영산로40번길 10-0,한식,627
66,포청천[중식],전남 목포시 하당로 243-0,외국식,626
67,초원음식점,전남 목포시 영산로 42-0,한식,608
68,종로,전남 목포시 통일대로37번길 18-0,한식,596
